Log Type; Cue Condition; Layout;Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Combined; Layout 1;Backward;0.01409912;0.8046778;-0.05753522;-16.13538;28.69685;354.805;355.9306; True; True;-0.6827222;-0.723574;0.1016416;0.6032977;0.2433988;0.7719278; False; False; True; False
Fixed; Combined; Layout 1;Backward;0.03411865;0.8046778;-0.05753522;-16.13538;28.69685;354.805;355.9306; True; True;-0.6827222;-0.723574;0.1016416;0.6032977;0.2433988;0.7719278; False; False; True; False
Fixed; Combined; Layout 1;Backward;0.05407715;0.8046778;-0.05753522;-16.13538;28.69685;354.805;355.9306; True; True;-0.6827222;-0.723574;0.1016416;0.6032977;0.2433988;0.7719278; False; False; True; False
Fixed; Combined; Layout 1;Backward;0.07409668;0.8046778;-0.05753522;-16.13538;28.69685;354.805;355.9306; True; True;-0.6827222;-0.723574;0.1016416;0.6032977;0.2433988;0.7719278; False; False; True; False
Fixed; Combined; Layout 1;Backward;0.09411621;0.8046778;-0.05753522;-16.13538;28.69685;354.805;355.9306; True; True;-0.6827222;-0.723574;0.1016416;0.6032977;0.2433988;0.7719278; False; False; True; False
Fixed; Combined; Layout 1;Backward;0.1140747;0.8046778;-0.05753522;-16.13538;28.69685;354.805;355.9306; True; True;-0.6827222;-0.723574;0.1016416;0.6032977;0.2433988;0.7719278; False; False; True; False
Fixed; Combined; Layout 1;Backward;0.1340942;0.7992188;-0.06998867;-16.11991;33.33424;356.2374;355.7122; True; True;-0.6827222;-0.723574;0.1016416;0.627896;0.1740519;0.7320368; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.1541138;0.7992188;-0.06998867;-16.11991;33.33424;356.2374;355.7122; True; True;-0.6827222;-0.723574;0.1016416;0.627896;0.1740519;0.7320368; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.1740723;0.7992188;-0.06998867;-16.11991;33.33424;356.2374;355.7122; True; True;-0.6827222;-0.723574;0.1016416;0.627896;0.1740519;0.7320368; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.1940918;0.7992188;-0.06998867;-16.11991;33.33424;356.2374;355.7122; True; True;-0.6827222;-0.723574;0.1016416;0.627896;0.1740519;0.7320368; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.2141113;0.799238;-0.07103901;-16.10402;34.95141;357.0735;355.8395; True; True;-0.6827222;-0.723574;0.1016416;0.6408759;0.1506925;0.7169277; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.2340698;0.799238;-0.07103901;-16.10402;34.95141;357.0735;355.8395; True; True;-0.6827222;-0.723574;0.1016416;0.6408759;0.1506925;0.7169277; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.2540894;0.799238;-0.07103901;-16.10402;34.95141;357.0735;355.8395; True; True;-0.6827222;-0.723574;0.1016416;0.6408759;0.1506925;0.7169277; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.2741089;0.799238;-0.07103901;-16.10402;34.95141;357.0735;355.8395; True; True;-0.6827222;-0.723574;0.1016416;0.6408759;0.1506925;0.7169277; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.2940674;0.8017814;-0.06869765;-16.08097;34.9897;356.4584;354.7905; True; True;-0.6827222;-0.723574;0.1016416;0.6321149;0.1501449;0.7160491; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.3140869;0.8017814;-0.06869765;-16.08097;34.9897;356.4584;354.7905; True; True;-0.6827222;-0.723574;0.1016416;0.6321149;0.1501449;0.7160491; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.3341064;0.8017814;-0.06869765;-16.08097;34.9897;356.4584;354.7905; True; True;-0.6827222;-0.723574;0.1016416;0.6321149;0.1501449;0.7160491; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.3540649;0.8051481;-0.06683668;-16.0601;32.67442;355.8814;353.2691; True; True;-0.6827222;-0.723574;0.1016416;0.6222662;0.1837096;0.7379366; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.3740845;0.8051481;-0.06683668;-16.0601;32.67442;355.8814;353.2691; True; True;-0.6827222;-0.723574;0.1016416;0.6222662;0.1837096;0.7379366; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.394104;0.8051481;-0.06683668;-16.0601;32.67442;355.8814;353.2691; True; True;-0.6827222;-0.723574;0.1016416;0.6222662;0.1837096;0.7379366; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.4141235;0.8051481;-0.06683668;-16.0601;32.67442;355.8814;353.2691; True; True;-0.6827222;-0.723574;0.1016416;0.6222662;0.1837096;0.7379366; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.434082;0.8100976;-0.06854144;-16.02552;29.50557;355.0975;352.2961; True; True;-0.6781827;-0.7246487;0.1222806;0.6038054;0.2321405;0.7448432; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.4541016;0.8100976;-0.06854144;-16.02552;29.50557;355.0975;352.2961; True; True;-0.6781827;-0.7246487;0.1222806;0.6038054;0.2321405;0.7448432; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.4741211;0.8100976;-0.06854144;-16.02552;29.50557;355.0975;352.2961; True; True;-0.6781827;-0.7246487;0.1222806;0.6038054;0.2321405;0.7448432; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.4940796;0.8100976;-0.06854144;-16.02552;29.50557;355.0975;352.2961; True; True;-0.6781827;-0.7246487;0.1222806;0.6038054;0.2321405;0.7448432; False; False; False; False
Fixed; Combined; Layout 1;Backward;0.5140991;0.8179468;-0.07441866;-15.99049;29.00745;355.0028;352.3656; True; True;-0.6781827;-0.7246487;0.1222806;0.6020022;0.2397254;0.7489518; False; False; False; False
