Log Type; Cue Condition; Layout;Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; No Cues; Layout 5;Backward;0.0177002;0.8031546;-0.09057985;-16.13131;27.23421;345.7275;354.3323; True; True;-0.6199943;-0.6011157;0.5042489;0.4007911;0.1434867;0.3574504; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.03759766;0.8031546;-0.09057985;-16.13131;27.23421;345.7275;354.3323; True; True;-0.6199943;-0.6011157;0.5042489;0.4007911;0.1434867;0.3574504; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.05761719;0.8031546;-0.09057985;-16.13131;27.23421;345.7275;354.3323; True; True;-0.6199943;-0.6011157;0.5042489;0.4007911;0.1434867;0.3574504; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.07763672;0.8031546;-0.09057985;-16.13131;27.23421;345.7275;354.3323; True; True;-0.6199943;-0.6011157;0.5042489;0.4007911;0.1434867;0.3574504; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.09765625;0.7986801;-0.09153908;-16.12823;27.28058;346.7643;354.6527; True; True;-0.6199943;-0.6011157;0.5042489;0.4165033;0.1427673;0.3609148; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.1176758;0.7986801;-0.09153908;-16.12823;27.28058;346.7643;354.6527; True; True;-0.6199943;-0.6011157;0.5042489;0.4165033;0.1427673;0.3609148; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.1376953;0.7986801;-0.09153908;-16.12823;27.28058;346.7643;354.6527; True; True;-0.6199943;-0.6011157;0.5042489;0.4165033;0.1427673;0.3609148; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.1575928;0.7943155;-0.09193482;-16.12459;26.73107;347.5529;354.8378; True; True;-0.6199943;-0.6011157;0.5042489;0.4274917;0.1513124;0.3678862; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.1776123;0.7943155;-0.09193482;-16.12459;26.73107;347.5529;354.8378; True; True;-0.6199943;-0.6011157;0.5042489;0.4274917;0.1513124;0.3678862; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.1976318;0.7943155;-0.09193482;-16.12459;26.73107;347.5529;354.8378; True; True;-0.6199943;-0.6011157;0.5042489;0.4274917;0.1513124;0.3678862; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.2176514;0.788957;-0.09260073;-16.12003;25.8229;348.1701;354.7193; True; True;-0.6199943;-0.6011157;0.5042489;0.4354591;0.1655249;0.3767774; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.2376709;0.788957;-0.09260073;-16.12003;25.8229;348.1701;354.7193; True; True;-0.6199943;-0.6011157;0.5042489;0.4354591;0.1655249;0.3767774; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.2576904;0.7844947;-0.09417871;-16.11547;24.63741;348.41;354.5294; True; True;-0.6199943;-0.6011157;0.5042489;0.4373766;0.1842413;0.3861816; False; False; False; False
Fixed; No Cues; Layout 5;Backward;0.27771;0.7844947;-0.09417871;-16.11547;24.63741;348.41;354.5294; True; True;-0.6199943;-0.6011157;0.5042489;0.4373766;0.1842413;0.3861816; False; False; False; False
