Log Type; Cue Condition; Layout;Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 2;Forward;0.006103516;-0.4505215;-0.100391;-0.7521789;11.79438;165.5973;355.9902; True; False;0.2449784;-0.2054482;-0.9475108;-0.001493558;0.001048222;-0.000611305; False; False; False; False
Fixed; Collocated; Layout 2;Forward;0.02612305;-0.4505215;-0.100391;-0.7521789;11.79438;165.5973;355.9902; True; False;0.2449784;-0.2054482;-0.9475108;-0.001493558;0.001048222;-0.000611305; False; False; False; False
Fixed; Collocated; Layout 2;Forward;0.04614258;-0.4505215;-0.100391;-0.7521789;11.79438;165.5973;355.9902; True; False;0.2449784;-0.2054482;-0.9475108;-0.001493558;0.001048222;-0.000611305; False; False; False; False
Fixed; Collocated; Layout 2;Forward;0.06616211;-0.4505215;-0.100391;-0.7521789;11.79438;165.5973;355.9902; True; False;0.2449784;-0.2054482;-0.9475108;-0.001493558;0.001048222;-0.000611305; False; False; False; False
Fixed; Collocated; Layout 2;Forward;0.08618164;-0.4505215;-0.100391;-0.7521789;11.79438;165.5973;355.9902; True; False;0.2449784;-0.2054482;-0.9475108;-0.001493558;0.001048222;-0.000611305; False; False; False; False
Fixed; Collocated; Layout 2;Forward;0.1062012;-0.4505215;-0.100391;-0.7521789;11.79438;165.5973;355.9902; True; False;0.2449784;-0.2054482;-0.9475108;-0.001493558;0.001048222;-0.000611305; False; False; False; False
Fixed; Collocated; Layout 2;Forward;0.1260986;-0.447464;-0.1000273;-0.7546519;11.69893;165.1158;356.2293; True; False;0.2434849;-0.2044;-0.9481222;0.008044869;0.001631007;0.001751125; False; False; False; False
Fixed; Collocated; Layout 2;Forward;0.1461182;-0.447464;-0.1000273;-0.7546519;11.69893;165.1158;356.2293; True; False;0.2434849;-0.2044;-0.9481222;0.008044869;0.001631007;0.001751125; False; False; False; False
Fixed; Collocated; Layout 2;Forward;0.1661377;-0.447464;-0.1000273;-0.7546519;11.69893;165.1158;356.2293; True; False;0.2434849;-0.2044;-0.9481222;0.008044869;0.001631007;0.001751125; False; False; False; False
Fixed; Collocated; Layout 2;Forward;0.1861572;-0.447464;-0.1000273;-0.7546519;11.69893;165.1158;356.2293; True; False;0.2434849;-0.2044;-0.9481222;0.008044869;0.001631007;0.001751125; False; False; False; False
Fixed; Collocated; Layout 2;Forward;0.2061768;-0.4441419;-0.0995681;-0.7578447;11.80002;164.7892;356.4066; True; True;0.5387381;-0.616644;-0.5740309;-0.2819119;0.4121476;-0.3705441; False; False; False; False
