Log Type; Cue Condition; Layout;Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 2;Backward;0.01452637;0.7628999;-0.115199;-16.0853;357.5632;353.0804;359.7977; True; True;-0.5651075;-0.3205071;0.7602162;0.4447394;0.3630244;0.2316022; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.03442383;0.7628999;-0.115199;-16.0853;357.5632;353.0804;359.7977; True; True;-0.5651075;-0.3205071;0.7602162;0.4447394;0.3630244;0.2316022; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.05444336;0.7628999;-0.115199;-16.0853;357.5632;353.0804;359.7977; True; True;-0.5651075;-0.3205071;0.7602162;0.4447394;0.3630244;0.2316022; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.07446289;0.7628999;-0.115199;-16.0853;357.5632;353.0804;359.7977; True; True;-0.5651075;-0.3205071;0.7602162;0.4447394;0.3630244;0.2316022; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.09448242;0.7616605;-0.1162495;-16.08288;358.2236;352.0874;359.9605; True; True;-0.5651075;-0.3205071;0.7602162;0.4275119;0.3515069;0.2297871; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.114502;0.7616605;-0.1162495;-16.08288;358.2236;352.0874;359.9605; True; True;-0.5651075;-0.3205071;0.7602162;0.4275119;0.3515069;0.2297871; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.1345215;0.7616605;-0.1162495;-16.08288;358.2236;352.0874;359.9605; True; True;-0.5651075;-0.3205071;0.7602162;0.4275119;0.3515069;0.2297871; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.154541;0.7619107;-0.1168078;-16.07984;358.8658;352.1894;359.8707; True; True;-0.5656512;-0.3203981;0.7598578;0.4297783;0.3401922;0.2306708; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.1744385;0.7619107;-0.1168078;-16.07984;358.8658;352.1894;359.8707; True; True;-0.5656512;-0.3203981;0.7598578;0.4297783;0.3401922;0.2306708; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.194458;0.7619107;-0.1168078;-16.07984;358.8658;352.1894;359.8707; True; True;-0.5656512;-0.3203981;0.7598578;0.4297783;0.3401922;0.2306708; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.2144775;0.7627348;-0.1178655;-16.07621;359.9639;352.5829;359.813; True; True;-0.566036;-0.3207701;0.759414;0.4369444;0.3214004;0.2322184; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.2344971;0.7627348;-0.1178655;-16.07621;359.9639;352.5829;359.813; True; True;-0.566036;-0.3207701;0.759414;0.4369444;0.3214004;0.2322184; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.2545166;0.7634708;-0.120052;-16.07264;1.571353;352.471;359.6019; True; True;-0.566036;-0.3207701;0.759414;0.4350573;0.2933482;0.2315918; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.2745361;0.7634708;-0.120052;-16.07264;1.571353;352.471;359.6019; True; True;-0.566036;-0.3207701;0.759414;0.4350573;0.2933482;0.2315918; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.2944336;0.7644336;-0.1202291;-16.06834;3.316291;352.1054;359.181; True; True;-0.566036;-0.3207701;0.759414;0.4289144;0.2629222;0.2294496; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.3144531;0.7644336;-0.1202291;-16.06834;3.316291;352.1054;359.181; True; True;-0.566036;-0.3207701;0.759414;0.4289144;0.2629222;0.2294496; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.3344727;0.7644336;-0.1202291;-16.06834;3.316291;352.1054;359.181; True; True;-0.566036;-0.3207701;0.759414;0.4289144;0.2629222;0.2294496; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.3544922;0.7650261;-0.1220573;-16.06293;4.293489;351.864;359.0428; True; True;-0.566036;-0.3207701;0.759414;0.4249097;0.2459047;0.2277428; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.3745117;0.7650261;-0.1220573;-16.06293;4.293489;351.864;359.0428; True; True;-0.566036;-0.3207701;0.759414;0.4249097;0.2459047;0.2277428; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.3945313;0.7650261;-0.1220573;-16.06293;4.293489;351.864;359.0428; True; True;-0.566036;-0.3207701;0.759414;0.4249097;0.2459047;0.2277428; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.4144287;0.7651548;-0.1234029;-16.05776;5.70954;351.7842;358.8258; True; True;-0.566036;-0.3207701;0.759414;0.423843;0.2212846;0.2254128; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.4344482;0.7651548;-0.1234029;-16.05776;5.70954;351.7842;358.8258; True; True;-0.566036;-0.3207701;0.759414;0.423843;0.2212846;0.2254128; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.4544678;0.7651548;-0.1234029;-16.05776;5.70954;351.7842;358.8258; True; True;-0.566036;-0.3207701;0.759414;0.423843;0.2212846;0.2254128; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.4744873;0.765239;-0.1261449;-16.04831;6.922693;351.6585;358.075; True; True;-0.5702243;-0.3173985;0.7576955;0.426209;0.1968684;0.2245123; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.4945068;0.765239;-0.1261449;-16.04831;6.922693;351.6585;358.075; True; True;-0.5702243;-0.3173985;0.7576955;0.426209;0.1968684;0.2245123; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.5145264;0.7639865;-0.1277467;-16.0389;7.316713;352.0443;357.0632; True; True;-0.5736354;-0.3145038;0.7563265;0.4363558;0.1871499;0.2259847; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.5344238;0.7639865;-0.1277467;-16.0389;7.316713;352.0443;357.0632; True; True;-0.5736354;-0.3145038;0.7563265;0.4363558;0.1871499;0.2259847; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.5544434;0.7639865;-0.1277467;-16.0389;7.316713;352.0443;357.0632; True; True;-0.5736354;-0.3145038;0.7563265;0.4363558;0.1871499;0.2259847; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.5744629;0.762001;-0.1322964;-16.0281;7.30758;352.692;356.0477; True; True;-0.5748167;-0.3134429;0.7558699;0.4486473;0.186247;0.2279505; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.5944824;0.762001;-0.1322964;-16.0281;7.30758;352.692;356.0477; True; True;-0.5748167;-0.3134429;0.7558699;0.4486473;0.186247;0.2279505; False; False; False; False
Fixed; Collocated; Layout 2;Backward;0.614502;0.762001;-0.1322964;-16.0281;7.30758;352.692;356.0477; True; True;-0.5748167;-0.3134429;0.7558699;0.4486473;0.186247;0.2279505; False; False; False; False
