Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 6; Backward; 0.01867676; 16.41854; 0.5462018; 5.66111; 8.448611; 261.7289; 3.516425; True; True; -0.9296429; -0.3014117; -0.2119321; -0.04921663; 0.1544894; 0.06963637; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.03869629; 16.41854; 0.5462018; 5.66111; 8.448611; 261.7289; 3.516425; True; True; -0.9296429; -0.3014117; -0.2119321; -0.04921663; 0.1544894; 0.06963637; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.05871582; 16.41854; 0.5462018; 5.66111; 8.448611; 261.7289; 3.516425; True; True; -0.9296429; -0.3014117; -0.2119321; -0.04921663; 0.1544894; 0.06963637; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.07873535; 16.41854; 0.5462018; 5.66111; 8.448611; 261.7289; 3.516425; True; True; -0.9296429; -0.3014117; -0.2119321; -0.04921663; 0.1544894; 0.06963637; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.09875488; 16.41308; 0.5462318; 5.660376; 8.194577; 262.1306; 3.466885; True; True; -0.9292042; -0.3035623; -0.2107832; -0.05126446; 0.161027; 0.07526438; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.1187744; 16.41308; 0.5462318; 5.660376; 8.194577; 262.1306; 3.466885; True; True; -0.9292042; -0.3035623; -0.2107832; -0.05126446; 0.161027; 0.07526438; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.1387939; 16.41308; 0.5462318; 5.660376; 8.194577; 262.1306; 3.466885; True; True; -0.9292042; -0.3035623; -0.2107832; -0.05126446; 0.161027; 0.07526438; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.1586914; 16.4079; 0.5459236; 5.659373; 8.274295; 262.5447; 3.555441; True; True; -0.9288462; -0.3059511; -0.2088989; -0.05237883; 0.1620389; 0.0804967; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.1787109; 16.4079; 0.5459236; 5.659373; 8.274295; 262.5447; 3.555441; True; True; -0.9288462; -0.3059511; -0.2088989; -0.05237883; 0.1620389; 0.0804967; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.1987305; 16.4079; 0.5459236; 5.659373; 8.274295; 262.5447; 3.555441; True; True; -0.9288462; -0.3059511; -0.2088989; -0.05237883; 0.1620389; 0.0804967; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.21875; 16.4079; 0.5459236; 5.659373; 8.274295; 262.5447; 3.555441; True; True; -0.9288462; -0.3059511; -0.2088989; -0.05237883; 0.1620389; 0.0804967; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.2387695; 16.37204; 0.5396446; 5.658084; 9.46254; 264.4445; 3.898458; True; True; -0.9283292; -0.3089834; -0.2067226; -0.05343097; 0.1445806; 0.1112296; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.2587891; 16.37204; 0.5396446; 5.658084; 9.46254; 264.4445; 3.898458; True; True; -0.9283292; -0.3089834; -0.2067226; -0.05343097; 0.1445806; 0.1112296; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.2786865; 16.37204; 0.5396446; 5.658084; 9.46254; 264.4445; 3.898458; True; True; -0.9283292; -0.3089834; -0.2067226; -0.05343097; 0.1445806; 0.1112296; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.2987061; 16.34782; 0.5328794; 5.659335; 11.81519; 265.2779; 3.378893; True; True; -0.9283292; -0.3089834; -0.2067226; -0.04716164; 0.1042278; 0.1261433; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.3187256; 16.34782; 0.5328794; 5.659335; 11.81519; 265.2779; 3.378893; True; True; -0.9283292; -0.3089834; -0.2067226; -0.04716164; 0.1042278; 0.1261433; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.3387451; 16.34782; 0.5328794; 5.659335; 11.81519; 265.2779; 3.378893; True; True; -0.9283292; -0.3089834; -0.2067226; -0.04716164; 0.1042278; 0.1261433; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.3587646; 16.32052; 0.5273392; 5.660564; 13.22213; 265.5028; 2.92928; True; True; -0.9311705; -0.3027707; -0.2031046; -0.03932291; 0.07404375; 0.1267726; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.3787842; 16.32052; 0.5273392; 5.660564; 13.22213; 265.5028; 2.92928; True; True; -0.9311705; -0.3027707; -0.2031046; -0.03932291; 0.07404375; 0.1267726; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.3986816; 16.29681; 0.5233043; 5.662218; 14.12916; 265.5623; 2.531274; True; True; -0.9337266; -0.2972103; -0.1995511; -0.03311419; 0.05310178; 0.124517; False; False; False; False
