Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 2; Forward; 0.01759338; -2.411888; 0.6753275; 2.403157; 11.01266; 10.70089; 359.891; True; True; 0.1165334; -0.4303401; 0.8951131; 0.06572926; 0.2393142; 0.0694021; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.03759003; -2.411888; 0.6753275; 2.403157; 11.01266; 10.70089; 359.891; True; True; 0.1165334; -0.4303401; 0.8951131; 0.06572926; 0.2393142; 0.0694021; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.0575943; -2.411888; 0.6753275; 2.403157; 11.01266; 10.70089; 359.891; True; True; 0.1165334; -0.4303401; 0.8951131; 0.06572926; 0.2393142; 0.0694021; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.07759094; -2.410916; 0.6725414; 2.411032; 12.04163; 11.0664; 0.1164074; True; True; 0.1165334; -0.4303401; 0.8951131; 0.07118954; 0.2217178; 0.0646978; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.09759521; -2.410916; 0.6725414; 2.411032; 12.04163; 11.0664; 0.1164074; True; True; 0.1165334; -0.4303401; 0.8951131; 0.07118954; 0.2217178; 0.0646978; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.1175919; -2.410916; 0.6725414; 2.411032; 12.04163; 11.0664; 0.1164074; True; True; 0.1165334; -0.4303401; 0.8951131; 0.07118954; 0.2217178; 0.0646978; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.1375961; -2.408906; 0.6706631; 2.41925; 12.84615; 11.16915; 0.3774583; True; True; 0.1243176; -0.4321014; 0.8932153; 0.0645403; 0.2097675; 0.06328893; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.1575928; -2.408906; 0.6706631; 2.41925; 12.84615; 11.16915; 0.3774583; True; True; 0.1243176; -0.4321014; 0.8932153; 0.0645403; 0.2097675; 0.06328893; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.1775894; -2.408906; 0.6706631; 2.41925; 12.84615; 11.16915; 0.3774583; True; True; 0.1243176; -0.4321014; 0.8932153; 0.0645403; 0.2097675; 0.06328893; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.1975937; -2.389387; 0.6651851; 2.452283; 15.74791; 11.24043; 0.2017101; True; True; 0.1243176; -0.4321014; 0.8932153; 0.06329235; 0.160696; 0.05078769; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.2175903; -2.389387; 0.6651851; 2.452283; 15.74791; 11.24043; 0.2017101; True; True; 0.1243176; -0.4321014; 0.8932153; 0.06329235; 0.160696; 0.05078769; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.2375946; -2.376151; 0.6627192; 2.464686; 16.35485; 11.35277; 359.5191; True; True; 0.1243176; -0.4321014; 0.8932153; 0.0645663; 0.150516; 0.04754639; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.2575912; -2.376151; 0.6627192; 2.464686; 16.35485; 11.35277; 359.5191; True; True; 0.1243176; -0.4321014; 0.8932153; 0.0645663; 0.150516; 0.04754639; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.2775955; -2.376151; 0.6627192; 2.464686; 16.35485; 11.35277; 359.5191; True; True; 0.1243176; -0.4321014; 0.8932153; 0.0645663; 0.150516; 0.04754639; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.2975922; -2.360083; 0.6627055; 2.477282; 15.92169; 11.59381; 358.8435; True; True; 0.1228091; -0.4424072; 0.8883659; 0.07045318; 0.168084; 0.05365139; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.3175964; -2.360083; 0.6627055; 2.477282; 15.92169; 11.59381; 358.8435; True; True; 0.1228091; -0.4424072; 0.8883659; 0.07045318; 0.168084; 0.05365139; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.3375931; -2.3432; 0.6618955; 2.491441; 15.22995; 11.90366; 358.6053; True; True; 0.1228091; -0.4424072; 0.8883659; 0.07621339; 0.1797137; 0.0557645; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.3575897; -2.3432; 0.6618955; 2.491441; 15.22995; 11.90366; 358.6053; True; True; 0.1228091; -0.4424072; 0.8883659; 0.07621339; 0.1797137; 0.0557645; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.377594; -2.32443; 0.6600741; 2.505915; 14.59062; 11.86266; 358.661; True; True; 0.1228091; -0.4424072; 0.8883659; 0.0761279; 0.1904963; 0.05871648; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.3975906; -2.32443; 0.6600741; 2.505915; 14.59062; 11.86266; 358.661; True; True; 0.1228091; -0.4424072; 0.8883659; 0.0761279; 0.1904963; 0.05871648; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.4175949; -2.30898; 0.6570653; 2.516712; 14.26118; 11.48027; 358.7885; True; True; 0.1228091; -0.4424072; 0.8883659; 0.07008775; 0.1960649; 0.06142688; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.4375916; -2.30898; 0.6570653; 2.516712; 14.26118; 11.48027; 358.7885; True; True; 0.1228091; -0.4424072; 0.8883659; 0.07008775; 0.1960649; 0.06142688; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.4575958; -2.294136; 0.6544026; 2.526873; 14.30032; 11.08773; 358.821; True; True; 0.1228091; -0.4424072; 0.8883659; 0.06354374; 0.1954029; 0.0625608; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.4775925; -2.294136; 0.6544026; 2.526873; 14.30032; 11.08773; 358.821; True; True; 0.1228091; -0.4424072; 0.8883659; 0.06354374; 0.1954029; 0.0625608; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.4975891; -2.270436; 0.6559206; 2.542937; 14.05276; 10.33523; 359.0575; True; True; 0.1228091; -0.4424072; 0.8883659; 0.05122893; 0.199592; 0.06596714; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.5175934; -2.270436; 0.6559206; 2.542937; 14.05276; 10.33523; 359.0575; True; True; 0.1228091; -0.4424072; 0.8883659; 0.05122893; 0.199592; 0.06596714; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.53759; -2.270436; 0.6559206; 2.542937; 14.05276; 10.33523; 359.0575; True; True; 0.1228091; -0.4424072; 0.8883659; 0.05122893; 0.199592; 0.06596714; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.5575943; -2.252467; 0.6585587; 2.555063; 13.69906; 9.875456; 359.1492; True; True; 0.1220861; -0.4343072; 0.8924529; 0.04454213; 0.197485; 0.06470448; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.5775909; -2.252467; 0.6585587; 2.555063; 13.69906; 9.875456; 359.1492; True; True; 0.1220861; -0.4343072; 0.8924529; 0.04454213; 0.197485; 0.06470448; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.5975952; -2.252467; 0.6585587; 2.555063; 13.69906; 9.875456; 359.1492; True; True; 0.1220861; -0.4343072; 0.8924529; 0.04454213; 0.197485; 0.06470448; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.6175919; -2.217842; 0.6595803; 2.579025; 12.87104; 9.32668; 359.2348; True; True; 0.12136; -0.4377355; 0.8908756; 0.03663135; 0.2149781; 0.07111079; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.6375961; -2.217842; 0.6595803; 2.579025; 12.87104; 9.32668; 359.2348; True; True; 0.12136; -0.4377355; 0.8908756; 0.03663135; 0.2149781; 0.07111079; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.6575928; -2.194186; 0.663198; 2.597453; 13.42754; 9.034867; 359.4755; True; True; 0.1189779; -0.4391135; 0.8905187; 0.03376491; 0.2068981; 0.07007784; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.6775894; -2.194186; 0.663198; 2.597453; 13.42754; 9.034867; 359.4755; True; True; 0.1189779; -0.4391135; 0.8905187; 0.03376491; 0.2068981; 0.07007784; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.6975937; -2.179051; 0.6636736; 2.608366; 14.18173; 8.477056; 359.7891; True; True; 0.117887; -0.4469145; 0.8867751; 0.0250337; 0.2019164; 0.07215637; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.7175903; -2.179051; 0.6636736; 2.608366; 14.18173; 8.477056; 359.7891; True; True; 0.117887; -0.4469145; 0.8867751; 0.0250337; 0.2019164; 0.07215637; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.7375946; -2.157417; 0.6653578; 2.625022; 14.58467; 7.728817; 359.7788; True; True; 0.1174787; -0.4414029; 0.8895855; 0.01267232; 0.1895925; 0.06939948; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.7575912; -2.157417; 0.6653578; 2.625022; 14.58467; 7.728817; 359.7788; True; True; 0.1174787; -0.4414029; 0.8895855; 0.01267232; 0.1895925; 0.06939948; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.7775955; -2.144314; 0.6656378; 2.636413; 14.29302; 7.278296; 359.6315; True; True; 0.1165263; -0.4434921; 0.8886711; 0.006241053; 0.1966112; 0.07256663; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.7975922; -2.144314; 0.6656378; 2.636413; 14.29302; 7.278296; 359.6315; True; True; 0.1165263; -0.4434921; 0.8886711; 0.006241053; 0.1966112; 0.07256663; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.8175964; -2.133126; 0.6661797; 2.647512; 14.82444; 7.136649; 359.3127; True; True; 0.1165263; -0.4434921; 0.8886711; 0.003574625; 0.1876339; 0.07055378; True; True; True; True
Fixed; Collocated; Layout 2; Forward; 0.8375931; -2.133126; 0.6661797; 2.647512; 14.82444; 7.136649; 359.3127; True; True; 0.1165263; -0.4434921; 0.8886711; 0.003574625; 0.1876339; 0.07055378; True; True; True; True
