Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; No Cues; Layout 2; Backward; 0.004486084; -7.411131; 0.04376607; 14.47995; 359.4107; 144.7483; 359.2343; True; True; 0.4331214; -0.02130734; -0.9010838; 0.1440172; 0.03159196; 0.0845024; False; False; False; False
Fixed; No Cues; Layout 2; Backward; 0.02448273; -7.411131; 0.04376607; 14.47995; 359.4107; 144.7483; 359.2343; True; True; 0.4331214; -0.02130734; -0.9010838; 0.1440172; 0.03159196; 0.0845024; False; False; False; False
Fixed; No Cues; Layout 2; Backward; 0.04447937; -7.411131; 0.04376607; 14.47995; 359.4107; 144.7483; 359.2343; True; True; 0.4331214; -0.02130734; -0.9010838; 0.1440172; 0.03159196; 0.0845024; False; False; False; False
Fixed; No Cues; Layout 2; Backward; 0.06448364; -7.412068; 0.04401675; 14.47694; 359.4719; 144.5336; 359.3317; True; True; 0.4387886; -0.02132612; -0.8983372; 0.1414123; 0.0305429; 0.08391577; False; False; False; False
Fixed; No Cues; Layout 2; Backward; 0.08448029; -7.412068; 0.04401675; 14.47694; 359.4719; 144.5336; 359.3317; True; True; 0.4387886; -0.02132612; -0.8983372; 0.1414123; 0.0305429; 0.08391577; False; False; False; False
Fixed; No Cues; Layout 2; Backward; 0.1044846; -7.412911; 0.04405694; 14.47556; 359.4583; 144.5372; 359.3455; True; True; 0.4441299; -0.02129425; -0.8957093; 0.1360191; 0.03074957; 0.08125371; False; False; False; False
Fixed; No Cues; Layout 2; Backward; 0.1244812; -7.413767; 0.04396613; 14.47416; 359.3916; 144.5688; 359.3567; True; True; 0.4487797; -0.02122018; -0.8933905; 0.130913; 0.03183817; 0.07862419; False; False; False; False
Fixed; No Cues; Layout 2; Backward; 0.1444855; -7.414713; 0.04404971; 14.4724; 359.3878; 144.6111; 359.4147; True; True; 0.4532311; -0.02114204; -0.8911422; 0.1258595; 0.03182691; 0.07594872; False; False; False; False
Fixed; No Cues; Layout 2; Backward; 0.1644821; -7.414713; 0.04404971; 14.4724; 359.3878; 144.6111; 359.4147; True; True; 0.4532311; -0.02114204; -0.8911422; 0.1258595; 0.03182691; 0.07594872; False; False; False; False
Fixed; No Cues; Layout 2; Backward; 0.1844788; -7.415353; 0.04454617; 14.47158; 359.3434; 144.6374; 359.3671; True; True; 0.4554147; -0.02092287; -0.8900335; 0.1232963; 0.03238165; 0.07458109; False; False; False; False
