Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 3; Forward; 0.008911133; -0.4185542; 0.09451275; 1.306314; 348.1223; 4.563514; 0.6491827; True; False; 0.0843909; 0.2178041; 0.9723371; -0.006530285; -0.01198053; 0.003149629; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.02893066; -0.4185542; 0.09451275; 1.306314; 348.1223; 4.563514; 0.6491827; True; False; 0.0843909; 0.2178041; 0.9723371; -0.006530285; -0.01198053; 0.003149629; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.04888916; -0.4185542; 0.09451275; 1.306314; 348.1223; 4.563514; 0.6491827; True; False; 0.0843909; 0.2178041; 0.9723371; -0.006530285; -0.01198053; 0.003149629; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.06890869; -0.4185542; 0.09451275; 1.306314; 348.1223; 4.563514; 0.6491827; True; False; 0.0843909; 0.2178041; 0.9723371; -0.006530285; -0.01198053; 0.003149629; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.08892822; -0.4142078; 0.09181386; 1.313577; 348.3094; 4.152729; 0.55266; True; False; 0.08243352; 0.2142144; 0.9733021; -0.01152034; -0.01158863; 0.003383219; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.1088867; -0.4142078; 0.09181386; 1.313577; 348.3094; 4.152729; 0.55266; True; False; 0.08243352; 0.2142144; 0.9733021; -0.01152034; -0.01158863; 0.003383219; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.1289063; -0.4142078; 0.09181386; 1.313577; 348.3094; 4.152729; 0.55266; True; False; 0.08243352; 0.2142144; 0.9733021; -0.01152034; -0.01158863; 0.003383219; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.1489258; -0.4080387; 0.09166624; 1.322471; 348.6073; 3.303439; 1.202005; True; False; 0.07919534; 0.2109607; 0.9742811; -0.02270678; -0.01342845; 0.004386365; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.1688843; -0.4080387; 0.09166624; 1.322471; 348.6073; 3.303439; 1.202005; True; False; 0.07919534; 0.2109607; 0.9742811; -0.02270678; -0.01342845; 0.004386365; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.1889038; -0.4080387; 0.09166624; 1.322471; 348.6073; 3.303439; 1.202005; True; False; 0.07919534; 0.2109607; 0.9742811; -0.02270678; -0.01342845; 0.004386365; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.2089233; -0.4029343; 0.08923395; 1.329651; 349.6385; 1.944073; 1.525677; True; False; 0.07206406; 0.206756; 0.975735; -0.03869331; -0.02689743; 0.007391274; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.2288818; -0.4029343; 0.08923395; 1.329651; 349.6385; 1.944073; 1.525677; True; False; 0.07206406; 0.206756; 0.975735; -0.03869331; -0.02689743; 0.007391274; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.2489014; -0.397315; 0.09118885; 1.339075; 349.2106; 359.6374; 1.995438; True; False; 0.05787265; 0.1969324; 0.9787075; -0.06408903; -0.009732723; 0.003594697; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.2689209; -0.397315; 0.09118885; 1.339075; 349.2106; 359.6374; 1.995438; True; False; 0.05787265; 0.1969324; 0.9787075; -0.06408903; -0.009732723; 0.003594697; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.2888794; -0.397315; 0.09118885; 1.339075; 349.2106; 359.6374; 1.995438; True; False; 0.05787265; 0.1969324; 0.9787075; -0.06408903; -0.009732723; 0.003594697; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.3088989; -0.3889582; 0.08533912; 1.359052; 347.5323; 356.4179; 2.899319; True; False; 0.02882357; 0.1926193; 0.9808501; -0.0898281; 0.02327074; -0.006339967; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.3289185; -0.3889582; 0.08533912; 1.359052; 347.5323; 356.4179; 2.899319; True; False; 0.02882357; 0.1926193; 0.9808501; -0.0898281; 0.02327074; -0.006339967; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.348877; -0.3889582; 0.08533912; 1.359052; 347.5323; 356.4179; 2.899319; True; False; 0.02882357; 0.1926193; 0.9808501; -0.0898281; 0.02327074; -0.006339967; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.3688965; -0.3815131; 0.07593469; 1.379467; 348.9762; 354.3752; 2.506269; True; False; -0.02424196; 0.206576; 0.9781302; -0.0719636; -0.01535968; -0.001308441; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.388916; -0.3815131; 0.07593469; 1.379467; 348.9762; 354.3752; 2.506269; True; False; -0.02424196; 0.206576; 0.9781302; -0.0719636; -0.01535968; -0.001308441; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.4089355; -0.3815131; 0.07593469; 1.379467; 348.9762; 354.3752; 2.506269; True; False; -0.02424196; 0.206576; 0.9781302; -0.0719636; -0.01535968; -0.001308441; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.428894; -0.3786947; 0.07280692; 1.40892; 350.8657; 353.6319; 1.42774; True; False; -0.07760614; 0.1952962; 0.9776689; -0.03190289; -0.03654706; 0.003558099; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.4489136; -0.3786947; 0.07280692; 1.40892; 350.8657; 353.6319; 1.42774; True; False; -0.07760614; 0.1952962; 0.9776689; -0.03190289; -0.03654706; 0.003558099; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.4689331; -0.3786947; 0.07280692; 1.40892; 350.8657; 353.6319; 1.42774; True; False; -0.07760614; 0.1952962; 0.9776689; -0.03190289; -0.03654706; 0.003558099; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.4888916; -0.3814831; 0.07404716; 1.429648; 352.7048; 353.6577; 1.635; True; False; -0.1059911; 0.1628123; 0.9809475; -0.003583454; -0.03583013; 0.004886627; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.5089111; -0.3814831; 0.07404716; 1.429648; 352.7048; 353.6577; 1.635; True; False; -0.1059911; 0.1628123; 0.9809475; -0.003583454; -0.03583013; 0.004886627; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.5289307; -0.3814831; 0.07404716; 1.429648; 352.7048; 353.6577; 1.635; True; False; -0.1059911; 0.1628123; 0.9809475; -0.003583454; -0.03583013; 0.004886627; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.5488892; -0.3802741; 0.07015511; 1.452234; 353.057; 353.5657; 2.357118; True; False; -0.1095746; 0.1269822; 0.9858341; -0.001667172; -0.006100528; 0.0005800724; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.5689087; -0.3802741; 0.07015511; 1.452234; 353.057; 353.5657; 2.357118; True; False; -0.1095746; 0.1269822; 0.9858341; -0.001667172; -0.006100528; 0.0005800724; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.5889282; -0.3823164; 0.06040056; 1.4888; 352.0854; 353.3719; 2.280295; True; False; -0.1112417; 0.1208816; 0.9864141; -0.003082253; 0.01681428; -0.002559543; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.6088867; -0.3823164; 0.06040056; 1.4888; 352.0854; 353.3719; 2.280295; True; False; -0.1112417; 0.1208816; 0.9864141; -0.003082253; 0.01681428; -0.002559543; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.6289063; -0.3863437; 0.05397912; 1.510283; 351.5753; 353.424; 1.839146; True; False; -0.114324; 0.1376959; 0.9838546; 0.001038879; 0.008814394; -0.001153588; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.6489258; -0.3863437; 0.05397912; 1.510283; 351.5753; 353.424; 1.839146; True; False; -0.114324; 0.1376959; 0.9838546; 0.001038879; 0.008814394; -0.001153588; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.6688843; -0.3917272; 0.04922407; 1.532981; 351.7697; 353.9259; 1.678285; True; False; -0.1132851; 0.1465103; 0.982701; 0.008560255; -0.003358454; 0.001443446; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.6889038; -0.3917272; 0.04922407; 1.532981; 351.7697; 353.9259; 1.678285; True; False; -0.1132851; 0.1465103; 0.982701; 0.008560255; -0.003358454; 0.001443446; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.7089233; -0.4010726; 0.04369997; 1.568766; 351.5029; 354.5049; 1.734935; True; False; -0.1047249; 0.1431519; 0.9841444; 0.01001608; 0.004607424; 0.0003338456; False; False; False; False
Fixed; HUD; Layout 3; Forward; 0.7288818; -0.4010726; 0.04369997; 1.568766; 351.5029; 354.5049; 1.734935; True; False; -0.1047249; 0.1431519; 0.9841444; 0.01001608; 0.004607424; 0.0003338456; False; False; False; False
