Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 6; Backward; 0.005493164; -2.225727; -0.006483395; 15.98281; 352.6288; 188.3388; 358.5319; True; False; -0.1649868; 0.132621; -0.9773387; 0.02115929; -0.004324585; -0.003912449; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.0255127; -2.225727; -0.006483395; 15.98281; 352.6288; 188.3388; 358.5319; True; False; -0.1649868; 0.132621; -0.9773387; 0.02115929; -0.004324585; -0.003912449; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.04541016; -2.225727; -0.006483395; 15.98281; 352.6288; 188.3388; 358.5319; True; False; -0.1649868; 0.132621; -0.9773387; 0.02115929; -0.004324585; -0.003912449; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.06542969; -2.222002; -0.001076747; 15.96497; 352.467; 187.2574; 359.7166; True; False; -0.1586471; 0.1313303; -0.978562; 0.03341053; -0.0002330691; -0.004865408; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.08544922; -2.222002; -0.001076747; 15.96497; 352.467; 187.2574; 359.7166; True; False; -0.1586471; 0.1313303; -0.978562; 0.03341053; -0.0002330691; -0.004865408; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.1054688; -2.222002; -0.001076747; 15.96497; 352.467; 187.2574; 359.7166; True; False; -0.1586471; 0.1313303; -0.978562; 0.03341053; -0.0002330691; -0.004865408; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.1254883; -2.217647; 0.003049921; 15.94478; 351.8709; 186.2934; 0.02174468; True; False; -0.1486417; 0.1312761; -0.9801389; 0.04012294; 0.01012719; -0.003847241; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.1455078; -2.217647; 0.003049921; 15.94478; 351.8709; 186.2934; 0.02174468; True; False; -0.1486417; 0.1312761; -0.9801389; 0.04012294; 0.01012719; -0.003847241; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.1654053; -2.213049; 0.00522035; 15.92405; 351.5116; 185.349; 359.8007; True; False; -0.1366296; 0.1343386; -0.9814711; 0.04442865; 0.01327115; -0.003267884; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.1854248; -2.213049; 0.00522035; 15.92405; 351.5116; 185.349; 359.8007; True; False; -0.1366296; 0.1343386; -0.9814711; 0.04442865; 0.01327115; -0.003267884; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.2054443; -2.193629; 0.01104946; 15.86368; 351.5191; 182.944; 358.951; True; False; -0.123329; 0.1383513; -0.9826744; 0.07253139; 0.009127706; -0.005085409; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.2254639; -2.193629; 0.01104946; 15.86368; 351.5191; 182.944; 358.951; True; False; -0.123329; 0.1383513; -0.9826744; 0.07253139; 0.009127706; -0.005085409; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.2454834; -2.183871; 0.01180496; 15.8436; 351.536; 181.8408; 358.9153; True; False; -0.1016269; 0.1411693; -0.9847554; 0.06985393; 0.0060184; -0.003843069; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.2655029; -2.183871; 0.01180496; 15.8436; 351.536; 181.8408; 358.9153; True; False; -0.1016269; 0.1411693; -0.9847554; 0.06985393; 0.0060184; -0.003843069; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.2854004; -2.170256; 0.01118277; 15.8123; 350.9858; 180.7711; 359.0901; True; False; -0.08071253; 0.1430488; -0.986419; 0.067421; 0.01363002; -0.00114125; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.3054199; -2.170256; 0.01118277; 15.8123; 350.9858; 180.7711; 359.0901; True; False; -0.08071253; 0.1430488; -0.986419; 0.067421; 0.01363002; -0.00114125; False; False; False; False
Fixed; Collocated; Layout 6; Backward; 0.3254395; -2.154495; 0.00986566; 15.77659; 349.5531; 180.0346; 359.2638; True; False; -0.06051628; 0.147211; -0.9872521; 0.05992168; 0.03411326; 0.003828943; False; False; False; False
