Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 4; Forward; 0.0004882813; 0.6867009; 0.2923462; 2.602335; 16.8581; 68.59823; 356.5919; True; False; 0.8931384; -0.2875597; 0.3458514; -0.00210458; -0.002442777; 0.003372639; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.02050781; 0.6867009; 0.2923462; 2.602335; 16.8581; 68.59823; 356.5919; True; False; 0.8931384; -0.2875597; 0.3458514; -0.00210458; -0.002442777; 0.003372639; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.04052734; 0.6867009; 0.2923462; 2.602335; 16.8581; 68.59823; 356.5919; True; False; 0.8931384; -0.2875597; 0.3458514; -0.00210458; -0.002442777; 0.003372639; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.06054688; 0.6878811; 0.2923785; 2.60472; 16.62809; 68.35497; 356.5659; True; False; 0.8927375; -0.2880273; 0.3464969; -0.002119482; 0.001869202; 0.006933749; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.08056641; 0.6878811; 0.2923785; 2.60472; 16.62809; 68.35497; 356.5659; True; False; 0.8927375; -0.2880273; 0.3464969; -0.002119482; 0.001869202; 0.006933749; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.1004639; 0.6878811; 0.2923785; 2.60472; 16.62809; 68.35497; 356.5659; True; False; 0.8927375; -0.2880273; 0.3464969; -0.002119482; 0.001869202; 0.006933749; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.1204834; 0.6889914; 0.2920446; 2.607383; 16.87283; 68.16656; 356.7048; True; False; 0.8923475; -0.2876813; 0.3477863; -0.004039168; -0.002566993; 0.008113056; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.1405029; 0.6889914; 0.2920446; 2.607383; 16.87283; 68.16656; 356.7048; True; False; 0.8923475; -0.2876813; 0.3477863; -0.004039168; -0.002566993; 0.008113056; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.1605225; 0.6889914; 0.2920446; 2.607383; 16.87283; 68.16656; 356.7048; True; False; 0.8923475; -0.2876813; 0.3477863; -0.004039168; -0.002566993; 0.008113056; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.180542; 0.6909689; 0.2915808; 2.612014; 16.91359; 67.76035; 357.0636; True; False; 0.8916218; -0.2881482; 0.3492581; -0.006050408; -0.002780974; 0.01285186; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.2005615; 0.6909689; 0.2915808; 2.612014; 16.91359; 67.76035; 357.0636; True; False; 0.8916218; -0.2881482; 0.3492581; -0.006050408; -0.002780974; 0.01285186; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.220459; 0.6920869; 0.2911741; 2.615806; 17.31778; 67.3423; 357.3328; True; False; 0.8905503; -0.2886515; 0.3515689; -0.009560525; -0.009019613; 0.01619315; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.2404785; 0.6920869; 0.2911741; 2.615806; 17.31778; 67.3423; 357.3328; True; False; 0.8905503; -0.2886515; 0.3515689; -0.009560525; -0.009019613; 0.01619315; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.260498; 0.6925037; 0.2907786; 2.618022; 17.70691; 67.04367; 357.5612; True; False; 0.8888496; -0.2902922; 0.3545091; -0.01167035; -0.0138557; 0.01704261; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.2805176; 0.6925037; 0.2907786; 2.618022; 17.70691; 67.04367; 357.5612; True; False; 0.8888496; -0.2902922; 0.3545091; -0.01167035; -0.0138557; 0.01704261; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.3005371; 0.6933541; 0.2912537; 2.621645; 17.92544; 66.71043; 357.6101; True; False; 0.886736; -0.2928643; 0.3576726; -0.01280457; -0.01491478; 0.01851323; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.3205566; 0.6933541; 0.2912537; 2.621645; 17.92544; 66.71043; 357.6101; True; False; 0.886736; -0.2928643; 0.3576726; -0.01280457; -0.01491478; 0.01851323; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.3404541; 0.6939698; 0.291979; 2.624133; 17.56904; 66.45623; 357.5833; True; False; 0.884318; -0.2957561; 0.3612617; -0.01032573; -0.006098628; 0.019555; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.3604736; 0.6939698; 0.291979; 2.624133; 17.56904; 66.45623; 357.5833; True; False; 0.884318; -0.2957561; 0.3612617; -0.01032573; -0.006098628; 0.019555; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.3804932; 0.6944467; 0.2917286; 2.626554; 17.52158; 66.2054; 357.5476; True; False; 0.8822544; -0.2970098; 0.3652565; -0.009709239; -0.004055172; 0.01948351; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.4005127; 0.6944467; 0.2917286; 2.626554; 17.52158; 66.2054; 357.5476; True; False; 0.8822544; -0.2970098; 0.3652565; -0.009709239; -0.004055172; 0.01948351; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.4205322; 0.6951367; 0.2918307; 2.629584; 17.40881; 65.9561; 357.7089; True; False; 0.8801935; -0.2978981; 0.3694806; -0.008791327; -0.001289338; 0.01929316; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.4405518; 0.6951367; 0.2918307; 2.629584; 17.40881; 65.9561; 357.7089; True; False; 0.8801935; -0.2978981; 0.3694806; -0.008791327; -0.001289338; 0.01929316; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.4604492; 0.6957811; 0.2921318; 2.632308; 17.43028; 65.88958; 357.7577; True; False; 0.8781837; -0.2982101; 0.3739842; -0.007335603; -0.001334906; 0.015755; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.4804688; 0.6957811; 0.2921318; 2.632308; 17.43028; 65.88958; 357.7577; True; False; 0.8781837; -0.2982101; 0.3739842; -0.007335603; -0.001334906; 0.015755; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.5004883; 0.6957693; 0.2916327; 2.633765; 17.62124; 65.99152; 357.7815; True; False; 0.8763748; -0.2985523; 0.3779334; -0.005751729; -0.004170954; 0.009847552; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.5205078; 0.6957693; 0.2916327; 2.633765; 17.62124; 65.99152; 357.7815; True; False; 0.8763748; -0.2985523; 0.3779334; -0.005751729; -0.004170954; 0.009847552; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.5405273; 0.6960352; 0.291786; 2.634986; 17.67517; 66.14977; 357.7657; True; False; 0.8748547; -0.2996682; 0.3805631; -0.003424644; -0.003952086; 0.004696012; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.5605469; 0.6960352; 0.291786; 2.634986; 17.67517; 66.14977; 357.7657; True; False; 0.8748547; -0.2996682; 0.3805631; -0.003424644; -0.003952086; 0.004696012; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.5805664; 0.6961836; 0.291469; 2.636549; 17.71162; 66.48238; 357.641; True; False; 0.8738946; -0.3007826; 0.3818874; -0.0004201531; -0.003443629; -0.001770556; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.6004639; 0.6961836; 0.291469; 2.636549; 17.71162; 66.48238; 357.641; True; False; 0.8738946; -0.3007826; 0.3818874; -0.0004201531; -0.003443629; -0.001770556; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.6204834; 0.69612; 0.291718; 2.637547; 17.87866; 66.95658; 357.6177; True; False; 0.8737724; -0.3017955; 0.3813676; 0.001998067; -0.005206674; -0.008841515; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.6405029; 0.69612; 0.291718; 2.637547; 17.87866; 66.95658; 357.6177; True; False; 0.8737724; -0.3017955; 0.3813676; 0.001998067; -0.005206674; -0.008841515; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.6605225; 0.69612; 0.291718; 2.637547; 17.87866; 66.95658; 357.6177; True; False; 0.8737724; -0.3017955; 0.3813676; 0.001998067; -0.005206674; -0.008841515; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.680542; 0.6959962; 0.291615; 2.638416; 18.0257; 67.68878; 357.5948; True; False; 0.8743894; -0.3033803; 0.3786867; 0.00533849; -0.006063312; -0.01768285; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.7005615; 0.6959962; 0.291615; 2.638416; 18.0257; 67.68878; 357.5948; True; False; 0.8743894; -0.3033803; 0.3786867; 0.00533849; -0.006063312; -0.01768285; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.720459; 0.6955631; 0.2922963; 2.639358; 17.9354; 68.5384; 357.5039; True; False; 0.8760875; -0.3052811; 0.3731945; 0.009349287; -0.002663344; -0.02509695; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.7404785; 0.6947421; 0.2918728; 2.639947; 17.84612; 69.12163; 357.6229; True; False; 0.8791279; -0.3061516; 0.3652471; 0.01025367; -0.000309974; -0.02600992; False; False; False; False
Fixed; HUD; Layout 4; Forward; 0.760498; 0.6947421; 0.2918728; 2.639947; 17.84612; 69.12163; 357.6229; True; False; 0.8791279; -0.3061516; 0.3652471; 0.01025367; -0.000309974; -0.02600992; False; False; False; False
