Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Combined; Layout 2; Forward; 0.001220703; 0.795711; 0.2680347; 2.647048; 8.163889; 66.28844; 356.8293; True; False; 0.9090638; -0.1457133; 0.3903467; -0.002760828; 0.003708228; 0.007710487; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.02124023; 0.795711; 0.2680347; 2.647048; 8.163889; 66.28844; 356.8293; True; False; 0.9090638; -0.1457133; 0.3903467; -0.002760828; 0.003708228; 0.007710487; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.04125977; 0.795711; 0.2680347; 2.647048; 8.163889; 66.28844; 356.8293; True; False; 0.9090638; -0.1457133; 0.3903467; -0.002760828; 0.003708228; 0.007710487; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.0612793; 0.795711; 0.2680347; 2.647048; 8.163889; 66.28844; 356.8293; True; False; 0.9090638; -0.1457133; 0.3903467; -0.002760828; 0.003708228; 0.007710487; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.08129883; 0.795711; 0.2680347; 2.647048; 8.163889; 66.28844; 356.8293; True; False; 0.9090638; -0.1457133; 0.3903467; -0.002760828; 0.003708228; 0.007710487; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.1013184; 0.7976265; 0.2683609; 2.647823; 8.378751; 66.6805; 356.8705; True; False; 0.9081546; -0.1444824; 0.3929124; 0.0003555417; -0.001233757; -0.001279593; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.1213379; 0.7976265; 0.2683609; 2.647823; 8.378751; 66.6805; 356.8705; True; False; 0.9081546; -0.1444824; 0.3929124; 0.0003555417; -0.001233757; -0.001279593; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.1411133; 0.7976265; 0.2683609; 2.647823; 8.378751; 66.6805; 356.8705; True; False; 0.9081546; -0.1444824; 0.3929124; 0.0003555417; -0.001233757; -0.001279593; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.1611328; 0.7995012; 0.2677835; 2.648793; 8.460001; 67.26183; 356.8746; True; False; 0.9082721; -0.1448891; 0.3924907; 0.003973186; -0.002229825; -0.01017585; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.1811523; 0.7995012; 0.2677835; 2.648793; 8.460001; 67.26183; 356.8746; True; False; 0.9082721; -0.1448891; 0.3924907; 0.003973186; -0.002229825; -0.01017585; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.2011719; 0.7995012; 0.2677835; 2.648793; 8.460001; 67.26183; 356.8746; True; False; 0.9082721; -0.1448891; 0.3924907; 0.003973186; -0.002229825; -0.01017585; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.2211914; 0.8009485; 0.2680583; 2.649723; 8.661103; 67.53069; 356.8717; True; False; 0.9095935; -0.1456256; 0.3891438; 0.00395292; -0.004964083; -0.01131344; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.2412109; 0.8009485; 0.2680583; 2.649723; 8.661103; 67.53069; 356.8717; True; False; 0.9095935; -0.1456256; 0.3891438; 0.00395292; -0.004964083; -0.01131344; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.2612305; 0.8009485; 0.2680583; 2.649723; 8.661103; 67.53069; 356.8717; True; False; 0.9095935; -0.1456256; 0.3891438; 0.00395292; -0.004964083; -0.01131344; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.28125; 0.8024461; 0.2683882; 2.651246; 8.415255; 67.70724; 356.8544; True; False; 0.9109087; -0.1472588; 0.3854349; 0.004387081; 0.000912413; -0.01017988; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.3012695; 0.8024461; 0.2683882; 2.651246; 8.415255; 67.70724; 356.8544; True; False; 0.9109087; -0.1472588; 0.3854349; 0.004387081; 0.000912413; -0.01017988; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.3212891; 0.8024461; 0.2683882; 2.651246; 8.415255; 67.70724; 356.8544; True; False; 0.9109087; -0.1472588; 0.3854349; 0.004387081; 0.000912413; -0.01017988; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.3413086; 0.803371; 0.2696749; 2.652964; 8.067735; 67.81213; 356.7998; True; False; 0.9123646; -0.1469606; 0.3820908; 0.004421651; 0.00661695; -0.008183628; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.3613281; 0.803371; 0.2696749; 2.652964; 8.067735; 67.81213; 356.7998; True; False; 0.9123646; -0.1469606; 0.3820908; 0.004421651; 0.00661695; -0.008183628; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.3813477; 0.803371; 0.2696749; 2.652964; 8.067735; 67.81213; 356.7998; True; False; 0.9123646; -0.1469606; 0.3820908; 0.004421651; 0.00661695; -0.008183628; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.401123; 0.803371; 0.2696749; 2.652964; 8.067735; 67.81213; 356.7998; True; False; 0.9123646; -0.1469606; 0.3820908; 0.004421651; 0.00661695; -0.008183628; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.4211426; 0.8038362; 0.2716019; 2.654525; 6.884019; 67.5005; 356.7036; True; False; 0.9138266; -0.1447943; 0.3794145; 0.003395796; 0.0249344; 0.0005022287; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.4411621; 0.8038362; 0.2716019; 2.654525; 6.884019; 67.5005; 356.7036; True; False; 0.9138266; -0.1447943; 0.3794145; 0.003395796; 0.0249344; 0.0005022287; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.4611816; 0.8038362; 0.2716019; 2.654525; 6.884019; 67.5005; 356.7036; True; False; 0.9138266; -0.1447943; 0.3794145; 0.003395796; 0.0249344; 0.0005022287; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.4812012; 0.8065481; 0.2723171; 2.659066; 5.629743; 67.40141; 356.4905; True; False; 0.9150046; -0.1366237; 0.3796058; 0.003762186; 0.03852421; 0.00281322; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.5012207; 0.8065481; 0.2723171; 2.659066; 5.629743; 67.40141; 356.4905; True; False; 0.9150046; -0.1366237; 0.3796058; 0.003762186; 0.03852421; 0.00281322; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.5212402; 0.8065481; 0.2723171; 2.659066; 5.629743; 67.40141; 356.4905; True; False; 0.9150046; -0.1366237; 0.3796058; 0.003762186; 0.03852421; 0.00281322; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.5412598; 0.8087365; 0.2714723; 2.662189; 6.093631; 67.79733; 356.4099; True; False; 0.9164168; -0.1237563; 0.3806107; 0.00420481; 0.0176028; -0.004861891; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.5612793; 0.8087365; 0.2714723; 2.662189; 6.093631; 67.79733; 356.4099; True; False; 0.9164168; -0.1237563; 0.3806107; 0.00420481; 0.0176028; -0.004861891; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.5812988; 0.8087365; 0.2714723; 2.662189; 6.093631; 67.79733; 356.4099; True; False; 0.9164168; -0.1237563; 0.3806107; 0.00420481; 0.0176028; -0.004861891; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.6013184; 0.812141; 0.2716882; 2.666917; 6.614551; 68.04504; 356.6965; True; False; 0.9178875; -0.1177561; 0.3789672; 0.003416717; 0.002566703; -0.007578075; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.6213379; 0.812141; 0.2716882; 2.666917; 6.614551; 68.04504; 356.6965; True; False; 0.9178875; -0.1177561; 0.3789672; 0.003416717; 0.002566703; -0.007578075; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.6411133; 0.812141; 0.2716882; 2.666917; 6.614551; 68.04504; 356.6965; True; False; 0.9178875; -0.1177561; 0.3789672; 0.003416717; 0.002566703; -0.007578075; False; False; False; False
Fixed; Combined; Layout 2; Forward; 0.6611328; 0.8146815; 0.2703902; 2.669757; 7.133852; 67.99947; 356.4893; True; False; 0.919089; -0.1168606; 0.3763232; 0.0009138584; -0.007327206; -0.004607916; False; False; False; False
