Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; No Cues; Layout 4; Forward; 0.01917267; 0.20404; 0.4854039; 3.503903; 14.86451; 50.81707; 356.3587; True; True; 0.7900946; -0.332376; 0.5150503; -0.0409016; 0.07584184; 0.09560513; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.03916931; 0.20404; 0.4854039; 3.503903; 14.86451; 50.81707; 356.3587; True; True; 0.7900946; -0.332376; 0.5150503; -0.0409016; 0.07584184; 0.09560513; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.05916595; 0.20404; 0.4854039; 3.503903; 14.86451; 50.81707; 356.3587; True; True; 0.7900946; -0.332376; 0.5150503; -0.0409016; 0.07584184; 0.09560513; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.07917023; 0.20404; 0.4854039; 3.503903; 14.86451; 50.81707; 356.3587; True; True; 0.7900946; -0.332376; 0.5150503; -0.0409016; 0.07584184; 0.09560513; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.09916687; 0.209277; 0.480452; 3.510593; 15.17602; 50.21951; 356.8123; True; True; 0.7879343; -0.3352758; 0.5164782; -0.04623336; 0.07349044; 0.1010558; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.1191711; 0.209277; 0.480452; 3.510593; 15.17602; 50.21951; 356.8123; True; True; 0.7879343; -0.3352758; 0.5164782; -0.04623336; 0.07349044; 0.1010558; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.1391678; 0.2138523; 0.4780125; 3.517838; 15.99548; 50.02869; 356.7407; True; True; 0.7860447; -0.3379801; 0.5175936; -0.04934949; 0.06241861; 0.09993875; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.1591721; 0.2138523; 0.4780125; 3.517838; 15.99548; 50.02869; 356.7407; True; True; 0.7860447; -0.3379801; 0.5175936; -0.04934949; 0.06241861; 0.09993875; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.1791687; 0.2276146; 0.4699724; 3.553189; 19.34974; 49.46529; 356.1821; True; True; 0.7842059; -0.3408582; 0.5184947; -0.06712371; 0.009524524; 0.09470284; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.199173; 0.2276146; 0.4699724; 3.553189; 19.34974; 49.46529; 356.1821; True; True; 0.7842059; -0.3408582; 0.5184947; -0.06712371; 0.009524524; 0.09470284; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.2191696; 0.2296035; 0.4691302; 3.568333; 19.58861; 49.26085; 356.4944; True; True; 0.7826013; -0.3433359; 0.5192838; -0.06876469; 0.008071572; 0.09556174; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.2391663; 0.2296035; 0.4691302; 3.568333; 19.58861; 49.26085; 356.4944; True; True; 0.7826013; -0.3433359; 0.5192838; -0.06876469; 0.008071572; 0.09556174; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.2591705; 0.2318134; 0.4666488; 3.583666; 19.65294; 48.97581; 356.7507; True; True; 0.7817717; -0.3445503; 0.5197288; -0.07128698; 0.008228451; 0.09841281; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.2791672; 0.2318134; 0.4666488; 3.583666; 19.65294; 48.97581; 356.7507; True; True; 0.7817717; -0.3445503; 0.5197288; -0.07128698; 0.008228451; 0.09841281; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.2991714; 0.2344465; 0.4635775; 3.602384; 19.32123; 48.44868; 357.1154; True; True; 0.7809539; -0.3457808; 0.5201409; -0.07474095; 0.01491684; 0.1057922; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.3191681; 0.2360559; 0.46153; 3.612632; 19.22561; 48.20238; 357.3356; True; True; 0.7800751; -0.3470431; 0.5206187; -0.07614857; 0.01775432; 0.1087115; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.3391724; 0.2389974; 0.459167; 3.632407; 19.3656; 47.85743; 357.5823; True; True; 0.7792425; -0.3483645; 0.520983; -0.07971638; 0.01676983; 0.1120322; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.359169; 0.2389974; 0.459167; 3.632407; 19.3656; 47.85743; 357.5823; True; True; 0.7792425; -0.3483645; 0.520983; -0.07971638; 0.01676983; 0.1120322; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.3791656; 0.2416472; 0.455277; 3.653431; 19.37378; 47.59375; 357.5825; True; True; 0.7785232; -0.3498501; 0.5210629; -0.08195269; 0.01812065; 0.1151329; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.3991699; 0.2416472; 0.455277; 3.653431; 19.37378; 47.59375; 357.5825; True; True; 0.7785232; -0.3498501; 0.5210629; -0.08195269; 0.01812065; 0.1151329; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.4191666; 0.2436047; 0.4511477; 3.675844; 19.50911; 47.43074; 357.2913; True; True; 0.7791413; -0.3522286; 0.5185305; -0.08496237; 0.01827192; 0.1191126; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.4391708; 0.245511; 0.44846; 3.699012; 19.7133; 47.43124; 357.1875; True; True; 0.7796812; -0.3545507; 0.5161308; -0.08637774; 0.01723698; 0.1206971; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.4591675; 0.245511; 0.44846; 3.699012; 19.7133; 47.43124; 357.1875; True; True; 0.7796812; -0.3545507; 0.5161308; -0.08637774; 0.01723698; 0.1206971; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.4791718; 0.2468926; 0.4454364; 3.722225; 20.16393; 47.60228; 356.888; True; True; 0.780231; -0.3568033; 0.5137422; -0.08701032; 0.01209602; 0.1192048; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.4991684; 0.2468926; 0.4454364; 3.722225; 20.16393; 47.60228; 356.888; True; True; 0.780231; -0.3568033; 0.5137422; -0.08701032; 0.01209602; 0.1192048; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.5191727; 0.2478155; 0.4419838; 3.745625; 19.74443; 47.99816; 356.7816; True; True; 0.7808746; -0.3589997; 0.5112281; -0.08144027; 0.02117449; 0.118586; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.5391693; 0.251132; 0.4451535; 3.769643; 20.11736; 48.45728; 357.1572; True; True; 0.7816851; -0.3611295; 0.508482; -0.07888722; 0.0171853; 0.1142358; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.559166; 0.251132; 0.4451535; 3.769643; 20.11736; 48.45728; 357.1572; True; True; 0.7816851; -0.3611295; 0.508482; -0.07888722; 0.0171853; 0.1142358; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.5791702; 0.2550327; 0.4491867; 3.790906; 20.16677; 48.79339; 358.245; True; True; 0.7828868; -0.3630374; 0.5052644; -0.07667142; 0.01828369; 0.1131244; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.5991669; 0.2550327; 0.4491867; 3.790906; 20.16677; 48.79339; 358.245; True; True; 0.7828868; -0.3630374; 0.5052644; -0.07667142; 0.01828369; 0.1131244; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.6191711; 0.2591367; 0.4520534; 3.806444; 21.10676; 48.97379; 359.1247; True; True; 0.784063; -0.3650324; 0.5019926; -0.08026612; 0.004925609; 0.1103742; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.6391678; 0.2591367; 0.4520534; 3.806444; 21.10676; 48.97379; 359.1247; True; True; 0.784063; -0.3650324; 0.5019926; -0.08026612; 0.004925609; 0.1103742; True; True; True; True
Fixed; No Cues; Layout 4; Forward; 0.6591721; 0.2645501; 0.4566751; 3.822962; 21.6789; 49.46955; 359.2857; True; True; 0.7856537; -0.3667137; 0.4982663; -0.07935297; -0.002690792; 0.1056208; True; True; True; True
