Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 3; Forward; 0.01245117; 0.2615221; 0.4779772; 3.616498; 14.49099; 52.93606; 4.372967; True; True; 0.7554002; -0.3823325; 0.5321583; 0.01717764; 0.1321047; 0.05137378; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.0324707; 0.2615221; 0.4779772; 3.616498; 14.49099; 52.93606; 4.372967; True; True; 0.7554002; -0.3823325; 0.5321583; 0.01717764; 0.1321047; 0.05137378; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.0524292; 0.2615221; 0.4779772; 3.616498; 14.49099; 52.93606; 4.372967; True; True; 0.7554002; -0.3823325; 0.5321583; 0.01717764; 0.1321047; 0.05137378; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.07244873; 0.2615221; 0.4779772; 3.616498; 14.49099; 52.93606; 4.372967; True; True; 0.7554002; -0.3823325; 0.5321583; 0.01717764; 0.1321047; 0.05137378; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.09246826; 0.2615221; 0.4779772; 3.616498; 14.49099; 52.93606; 4.372967; True; True; 0.7554002; -0.3823325; 0.5321583; 0.01717764; 0.1321047; 0.05137378; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.1124268; 0.2737989; 0.4795687; 3.629053; 14.32757; 52.13108; 3.813943; True; True; 0.7560209; -0.3797505; 0.5331247; 0.008842885; 0.1322853; 0.06163943; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.1324463; 0.2737989; 0.4795687; 3.629053; 14.32757; 52.13108; 3.813943; True; True; 0.7560209; -0.3797505; 0.5331247; 0.008842885; 0.1322853; 0.06163943; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.1524658; 0.2737989; 0.4795687; 3.629053; 14.32757; 52.13108; 3.813943; True; True; 0.7560209; -0.3797505; 0.5331247; 0.008842885; 0.1322853; 0.06163943; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.1724243; 0.287306; 0.4777942; 3.641335; 13.87776; 51.98185; 3.710541; True; True; 0.7563198; -0.3768247; 0.5347741; 0.008499324; 0.1369735; 0.06315821; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.1924438; 0.287306; 0.4777942; 3.641335; 13.87776; 51.98185; 3.710541; True; True; 0.7563198; -0.3768247; 0.5347741; 0.008499324; 0.1369735; 0.06315821; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.2124634; 0.287306; 0.4777942; 3.641335; 13.87776; 51.98185; 3.710541; True; True; 0.7563198; -0.3768247; 0.5347741; 0.008499324; 0.1369735; 0.06315821; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.2324219; 0.3026374; 0.4742783; 3.653537; 14.49762; 52.28326; 3.380709; True; True; 0.7564276; -0.3739972; 0.5366035; 0.009428978; 0.1236574; 0.05567497; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.2524414; 0.3026374; 0.4742783; 3.653537; 14.49762; 52.28326; 3.380709; True; True; 0.7564276; -0.3739972; 0.5366035; 0.009428978; 0.1236574; 0.05567497; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.2724609; 0.3026374; 0.4742783; 3.653537; 14.49762; 52.28326; 3.380709; True; True; 0.7564276; -0.3739972; 0.5366035; 0.009428978; 0.1236574; 0.05567497; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.2924805; 0.3026374; 0.4742783; 3.653537; 14.49762; 52.28326; 3.380709; True; True; 0.7564276; -0.3739972; 0.5366035; 0.009428978; 0.1236574; 0.05567497; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.312439; 0.3233715; 0.461606; 3.666942; 16.56664; 52.90574; 3.112913; True; True; 0.7565511; -0.3715519; 0.5381259; 0.007982075; 0.0864217; 0.03996557; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.3324585; 0.3233715; 0.461606; 3.666942; 16.56664; 52.90574; 3.112913; True; True; 0.7565511; -0.3715519; 0.5381259; 0.007982075; 0.0864217; 0.03996557; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.352478; 0.3233715; 0.461606; 3.666942; 16.56664; 52.90574; 3.112913; True; True; 0.7565511; -0.3715519; 0.5381259; 0.007982075; 0.0864217; 0.03996557; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.3724365; 0.3586586; 0.457634; 3.681968; 19.64491; 54.61356; 3.333639; True; True; 0.7567869; -0.3680201; 0.5402174; 0.01102495; 0.03183028; 0.005164504; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.3924561; 0.3586586; 0.457634; 3.681968; 19.64491; 54.61356; 3.333639; True; True; 0.7567869; -0.3680201; 0.5402174; 0.01102495; 0.03183028; 0.005164504; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.4124756; 0.3586586; 0.457634; 3.681968; 19.64491; 54.61356; 3.333639; True; True; 0.7567869; -0.3680201; 0.5402174; 0.01102495; 0.03183028; 0.005164504; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.4324341; 0.3798442; 0.4559085; 3.690744; 21.39389; 56.07827; 2.483521; True; True; 0.7552881; -0.3679028; 0.5423905; 0.01733506; 0.00312525; -0.02278399; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.4524536; 0.3798442; 0.4559085; 3.690744; 21.39389; 56.07827; 2.483521; True; True; 0.7552881; -0.3679028; 0.5423905; 0.01733506; 0.00312525; -0.02278399; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.4724731; 0.3798442; 0.4559085; 3.690744; 21.39389; 56.07827; 2.483521; True; True; 0.7552881; -0.3679028; 0.5423905; 0.01733506; 0.00312525; -0.02278399; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.4924316; 0.3798442; 0.4559085; 3.690744; 21.39389; 56.07827; 2.483521; True; True; 0.7552881; -0.3679028; 0.5423905; 0.01733506; 0.00312525; -0.02278399; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.5124512; 0.3798442; 0.4559085; 3.690744; 21.39389; 56.07827; 2.483521; True; True; 0.7552881; -0.3679028; 0.5423905; 0.01733506; 0.00312525; -0.02278399; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.5324707; 0.4317259; 0.4470634; 3.717024; 21.2759; 57.06997; 2.259738; True; True; 0.7537454; -0.3676538; 0.5447004; 0.02838391; 0.004794508; -0.03813654; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.5524292; 0.4317259; 0.4470634; 3.717024; 21.2759; 57.06997; 2.259738; True; True; 0.7537454; -0.3676538; 0.5447004; 0.02838391; 0.004794508; -0.03813654; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.5724487; 0.4317259; 0.4470634; 3.717024; 21.2759; 57.06997; 2.259738; True; True; 0.7537454; -0.3676538; 0.5447004; 0.02838391; 0.004794508; -0.03813654; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.5924683; 0.4317259; 0.4470634; 3.717024; 21.2759; 57.06997; 2.259738; True; True; 0.7537454; -0.3676538; 0.5447004; 0.02838391; 0.004794508; -0.03813654; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.6124268; 0.4743236; 0.4407088; 3.736622; 21.26613; 56.26462; 2.586824; True; True; 0.7520315; -0.3672803; 0.547315; 0.02295202; 0.004579961; -0.02977371; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.6324463; 0.4743236; 0.4407088; 3.736622; 21.26613; 56.26462; 2.586824; True; True; 0.7520315; -0.3672803; 0.547315; 0.02295202; 0.004579961; -0.02977371; True; True; True; True
Fixed; Collocated; Layout 3; Forward; 0.6524658; 0.4743236; 0.4407088; 3.736622; 21.26613; 56.26462; 2.586824; True; True; 0.7520315; -0.3672803; 0.547315; 0.02295202; 0.004579961; -0.02977371; True; True; True; True
