Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Combined; Layout 2; Backward; 0.009521484; 12.56486; 0.4393126; 11.88345; 6.16713; 240.7796; 355.4001; True; True; -0.8051311; -0.1915414; -0.5613162; -0.06256664; 0.08411236; 0.07597083; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.02954102; 12.56486; 0.4393126; 11.88345; 6.16713; 240.7796; 355.4001; True; True; -0.8051311; -0.1915414; -0.5613162; -0.06256664; 0.08411236; 0.07597083; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.04943848; 12.56486; 0.4393126; 11.88345; 6.16713; 240.7796; 355.4001; True; True; -0.8051311; -0.1915414; -0.5613162; -0.06256664; 0.08411236; 0.07597083; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.06945801; 12.56486; 0.4393126; 11.88345; 6.16713; 240.7796; 355.4001; True; True; -0.8051311; -0.1915414; -0.5613162; -0.06256664; 0.08411236; 0.07597083; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.08947754; 12.55934; 0.4368925; 11.87595; 7.209924; 240.8423; 355.555; True; True; -0.8051311; -0.1915414; -0.5613162; -0.0612458; 0.06603628; 0.07795316; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.1094971; 12.55934; 0.4368925; 11.87595; 7.209924; 240.8423; 355.555; True; True; -0.8051311; -0.1915414; -0.5613162; -0.0612458; 0.06603628; 0.07795316; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.1295166; 12.55934; 0.4368925; 11.87595; 7.209924; 240.8423; 355.555; True; True; -0.8051311; -0.1915414; -0.5613162; -0.0612458; 0.06603628; 0.07795316; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.1495361; 12.55452; 0.4349655; 11.86906; 7.841852; 240.9337; 355.5733; True; True; -0.8039626; -0.1936262; -0.5622749; -0.06192207; 0.05718699; 0.08099717; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.1694336; 12.55452; 0.4349655; 11.86906; 7.841852; 240.9337; 355.5733; True; True; -0.8039626; -0.1936262; -0.5622749; -0.06192207; 0.05718699; 0.08099717; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.1894531; 12.55452; 0.4349655; 11.86906; 7.841852; 240.9337; 355.5733; True; True; -0.8039626; -0.1936262; -0.5622749; -0.06192207; 0.05718699; 0.08099717; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.2094727; 12.54885; 0.4335214; 11.86012; 8.450515; 240.8191; 355.7907; True; True; -0.8031319; -0.1956909; -0.5627471; -0.0604741; 0.04873578; 0.08047217; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.2294922; 12.54885; 0.4335214; 11.86012; 8.450515; 240.8191; 355.7907; True; True; -0.8031319; -0.1956909; -0.5627471; -0.0604741; 0.04873578; 0.08047217; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.2495117; 12.54334; 0.4324306; 11.8509; 8.799739; 240.5793; 355.9013; True; True; -0.8024314; -0.1977772; -0.5630169; -0.05835199; 0.0447959; 0.07757998; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.2695313; 12.54334; 0.4324306; 11.8509; 8.799739; 240.5793; 355.9013; True; True; -0.8024314; -0.1977772; -0.5630169; -0.05835199; 0.0447959; 0.07757998; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.2895508; 12.53638; 0.4300244; 11.84013; 8.933395; 240.3163; 356.1968; True; True; -0.8017906; -0.1998402; -0.5632012; -0.05644351; 0.04455402; 0.07399708; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.3094482; 12.53638; 0.4300244; 11.84013; 8.933395; 240.3163; 356.1968; True; True; -0.8017906; -0.1998402; -0.5632012; -0.05644351; 0.04455402; 0.07399708; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.3294678; 12.53638; 0.4300244; 11.84013; 8.933395; 240.3163; 356.1968; True; True; -0.8017906; -0.1998402; -0.5632012; -0.05644351; 0.04455402; 0.07399708; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.3494873; 12.53081; 0.4286304; 11.83309; 9.176511; 240.0911; 356.641; True; True; -0.8013505; -0.2015703; -0.5632111; -0.05437523; 0.04209383; 0.07097018; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.3695068; 12.53081; 0.4286304; 11.83309; 9.176511; 240.0911; 356.641; True; True; -0.8013505; -0.2015703; -0.5632111; -0.05437523; 0.04209383; 0.07097018; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.3895264; 12.53081; 0.4286304; 11.83309; 9.176511; 240.0911; 356.641; True; True; -0.8013505; -0.2015703; -0.5632111; -0.05437523; 0.04209383; 0.07097018; False; False; False; False
Fixed; Combined; Layout 2; Backward; 0.4095459; 12.52161; 0.4235597; 11.82281; 8.898031; 240.1239; 357.0897; True; True; -0.8009197; -0.2034218; -0.5631582; -0.05574954; 0.04874536; 0.07102686; True; False; False; False
