Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 1; Backward; 0.01049805; 12.56435; 0.3619821; 11.82811; 31.65365; 241.9595; 359.8247; True; True; -0.5806903; -0.750304; -0.3159786; -0.1706238; 0.2255208; -0.08418328; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.03051758; 12.56435; 0.3619821; 11.82811; 31.65365; 241.9595; 359.8247; True; True; -0.5806903; -0.750304; -0.3159786; -0.1706238; 0.2255208; -0.08418328; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.05053711; 12.56435; 0.3619821; 11.82811; 31.65365; 241.9595; 359.8247; True; True; -0.5806903; -0.750304; -0.3159786; -0.1706238; 0.2255208; -0.08418328; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.07055664; 12.56435; 0.3619821; 11.82811; 31.65365; 241.9595; 359.8247; True; True; -0.5806903; -0.750304; -0.3159786; -0.1706238; 0.2255208; -0.08418328; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.09033203; 12.56336; 0.3624158; 11.82043; 31.41563; 242.0022; 359.9399; True; True; -0.5802649; -0.7513475; -0.3142763; -0.1732653; 0.2301051; -0.08634654; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.1103516; 12.56336; 0.3624158; 11.82043; 31.41563; 242.0022; 359.9399; True; True; -0.5802649; -0.7513475; -0.3142763; -0.1732653; 0.2301051; -0.08634654; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.1303711; 12.56336; 0.3624158; 11.82043; 31.41563; 242.0022; 359.9399; True; True; -0.5802649; -0.7513475; -0.3142763; -0.1732653; 0.2301051; -0.08634654; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.1503906; 12.56336; 0.3624158; 11.82043; 31.41563; 242.0022; 359.9399; True; True; -0.5802649; -0.7513475; -0.3142763; -0.1732653; 0.2301051; -0.08634654; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.1704102; 12.56344; 0.3601249; 11.81207; 31.50764; 241.6344; 0.09992284; True; True; -0.5796778; -0.75248; -0.3126459; -0.1705279; 0.2298678; -0.0924077; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.1904297; 12.56344; 0.3601249; 11.81207; 31.50764; 241.6344; 0.09992284; True; True; -0.5796778; -0.75248; -0.3126459; -0.1705279; 0.2298678; -0.0924077; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.2104492; 12.56344; 0.3601249; 11.81207; 31.50764; 241.6344; 0.09992284; True; True; -0.5796778; -0.75248; -0.3126459; -0.1705279; 0.2298678; -0.0924077; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.2304688; 12.56263; 0.3560503; 11.80573; 32.16467; 241.3251; 0.1117997; True; True; -0.5789962; -0.7536578; -0.3110681; -0.1637051; 0.2213035; -0.09512579; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.2504883; 12.56263; 0.3560503; 11.80573; 32.16467; 241.3251; 0.1117997; True; True; -0.5789962; -0.7536578; -0.3110681; -0.1637051; 0.2213035; -0.09512579; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.2705078; 12.56263; 0.3560503; 11.80573; 32.16467; 241.3251; 0.1117997; True; True; -0.5789962; -0.7536578; -0.3110681; -0.1637051; 0.2213035; -0.09512579; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.2905273; 12.55898; 0.3479695; 11.79888; 32.66206; 241.3388; 0.2205519; True; True; -0.5780271; -0.7550753; -0.3094286; -0.1606882; 0.2153924; -0.09435663; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.3105469; 12.55898; 0.3479695; 11.79888; 32.66206; 241.3388; 0.2205519; True; True; -0.5780271; -0.7550753; -0.3094286; -0.1606882; 0.2153924; -0.09435663; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.3303223; 12.55898; 0.3479695; 11.79888; 32.66206; 241.3388; 0.2205519; True; True; -0.5780271; -0.7550753; -0.3094286; -0.1606882; 0.2153924; -0.09435663; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.3503418; 12.54765; 0.3348651; 11.79037; 34.17833; 241.8576; 0.4609423; True; True; -0.5767691; -0.756903; -0.3073031; -0.1527202; 0.1951327; -0.08290094; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.3703613; 12.54765; 0.3348651; 11.79037; 34.17833; 241.8576; 0.4609423; True; True; -0.5767691; -0.756903; -0.3073031; -0.1527202; 0.1951327; -0.08290094; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.3903809; 12.54765; 0.3348651; 11.79037; 34.17833; 241.8576; 0.4609423; True; True; -0.5767691; -0.756903; -0.3073031; -0.1527202; 0.1951327; -0.08290094; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.4104004; 12.54765; 0.3348651; 11.79037; 34.17833; 241.8576; 0.4609423; True; True; -0.5767691; -0.756903; -0.3073031; -0.1527202; 0.1951327; -0.08290094; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.4304199; 12.52875; 0.3305625; 11.78347; 39.46317; 242.5365; 1.409303; True; True; -0.5767691; -0.756903; -0.3073031; -0.1082596; 0.1213211; -0.04874605; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.4504395; 12.52875; 0.3305625; 11.78347; 39.46317; 242.5365; 1.409303; True; True; -0.5767691; -0.756903; -0.3073031; -0.1082596; 0.1213211; -0.04874605; False; False; False; False
