Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 8; Backward; 0.003540039; 17.04929; 0.4033511; 3.393192; 9.469311; 265.3435; 0.960981; True; True; -0.9994575; -0.0277491; -0.01774452; 0.01633918; -0.1367702; -0.06233122; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.02355957; 17.04929; 0.4033511; 3.393192; 9.469311; 265.3435; 0.960981; True; True; -0.9994575; -0.0277491; -0.01774452; 0.01633918; -0.1367702; -0.06233122; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.0435791; 17.04929; 0.4033511; 3.393192; 9.469311; 265.3435; 0.960981; True; True; -0.9994575; -0.0277491; -0.01774452; 0.01633918; -0.1367702; -0.06233122; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.06359863; 17.04929; 0.4033511; 3.393192; 9.469311; 265.3435; 0.960981; True; True; -0.9994575; -0.0277491; -0.01774452; 0.01633918; -0.1367702; -0.06233122; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.08361816; 17.04676; 0.4023831; 3.390808; 9.619508; 265.4641; 0.9723096; True; True; -0.9994089; -0.02803168; -0.01990037; 0.01655769; -0.1390728; -0.05807252; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.1036377; 17.04676; 0.4023831; 3.390808; 9.619508; 265.4641; 0.9723096; True; True; -0.9994089; -0.02803168; -0.01990037; 0.01655769; -0.1390728; -0.05807252; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.1235352; 17.04676; 0.4023831; 3.390808; 9.619508; 265.4641; 0.9723096; True; True; -0.9994089; -0.02803168; -0.01990037; 0.01655769; -0.1390728; -0.05807252; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.1435547; 17.0443; 0.401406; 3.388294; 9.702919; 265.6292; 0.9643409; True; True; -0.999359; -0.02838308; -0.02182231; 0.01653069; -0.1401565; -0.05329873; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.1635742; 17.0443; 0.401406; 3.388294; 9.702919; 265.6292; 0.9643409; True; True; -0.999359; -0.02838308; -0.02182231; 0.01653069; -0.1401565; -0.05329873; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.1835938; 17.03074; 0.3968944; 3.377842; 10.04304; 266.1548; 0.9084078; True; True; -0.9993065; -0.02879404; -0.02361057; 0.01684594; -0.1455938; -0.04242244; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.2036133; 17.03074; 0.3968944; 3.377842; 10.04304; 266.1548; 0.9084078; True; True; -0.9993065; -0.02879404; -0.02361057; 0.01684594; -0.1455938; -0.04242244; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.2236328; 17.02489; 0.3921683; 3.374481; 10.38855; 266.3594; 0.8983889; True; True; -0.9992531; -0.02925417; -0.02524862; 0.01763046; -0.1510684; -0.03720727; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.2436523; 17.02489; 0.3921683; 3.374481; 10.38855; 266.3594; 0.8983889; True; True; -0.9992531; -0.02925417; -0.02524862; 0.01763046; -0.1510684; -0.03720727; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.2635498; 17.02489; 0.3921683; 3.374481; 10.38855; 266.3594; 0.8983889; True; True; -0.9992531; -0.02925417; -0.02524862; 0.01763046; -0.1510684; -0.03720727; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.2835693; 17.01368; 0.3885965; 3.371977; 10.30448; 266.7674; 0.6761394; True; True; -0.9992064; -0.02961347; -0.02664006; 0.01690078; -0.1492657; -0.02884007; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.3035889; 17.01368; 0.3885965; 3.371977; 10.30448; 266.7674; 0.6761394; True; True; -0.9992064; -0.02961347; -0.02664006; 0.01690078; -0.1492657; -0.02884007; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.3236084; 17.01368; 0.3885965; 3.371977; 10.30448; 266.7674; 0.6761394; True; True; -0.9992064; -0.02961347; -0.02664006; 0.01690078; -0.1492657; -0.02884007; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.3436279; 16.99677; 0.3883384; 3.370875; 11.50472; 267.5154; 1.277044; True; True; -0.9992534; -0.03036373; -0.02389059; 0.02026618; -0.169085; -0.01858833; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.3636475; 16.99677; 0.3883384; 3.370875; 11.50472; 267.5154; 1.277044; True; True; -0.9992534; -0.03036373; -0.02389059; 0.02026618; -0.169085; -0.01858833; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.3835449; 16.97731; 0.3883426; 3.372009; 12.76551; 268.186; 1.606569; True; True; -0.9992945; -0.03118976; -0.0209209; 0.02450055; -0.1897716; -0.009952284; False; False; False; False
Fixed; Collocated; Layout 8; Backward; 0.4035645; 16.97731; 0.3883426; 3.372009; 12.76551; 268.186; 1.606569; True; True; -0.9992945; -0.03118976; -0.0209209; 0.02450055; -0.1897716; -0.009952284; False; False; False; False
