Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 1; Forward; 0.002471924; 1.912616; 0.4552407; 2.385847; 12.28811; 88.26007; 1.79434; True; True; 0.9835485; -0.1420853; 0.1115526; -0.006909251; -0.07074244; -0.08188534; False; False; False; False
Fixed; HUD; Layout 1; Forward; 0.02246094; 1.912616; 0.4552407; 2.385847; 12.28811; 88.26007; 1.79434; True; True; 0.9835485; -0.1420853; 0.1115526; -0.006909251; -0.07074244; -0.08188534; False; False; False; False
Fixed; HUD; Layout 1; Forward; 0.04248047; 1.912616; 0.4552407; 2.385847; 12.28811; 88.26007; 1.79434; True; True; 0.9835485; -0.1420853; 0.1115526; -0.006909251; -0.07074244; -0.08188534; False; False; False; False
Fixed; HUD; Layout 1; Forward; 0.06246948; 1.912616; 0.4552407; 2.385847; 12.28811; 88.26007; 1.79434; True; True; 0.9835485; -0.1420853; 0.1115526; -0.006909251; -0.07074244; -0.08188534; False; False; False; False
Fixed; HUD; Layout 1; Forward; 0.08248901; 1.916265; 0.4545365; 2.38811; 12.52931; 88.36112; 1.677674; True; True; 0.983469; -0.1428808; 0.1112379; -0.007683039; -0.07405835; -0.08331927; False; False; False; False
Fixed; HUD; Layout 1; Forward; 0.102478; 1.916265; 0.4545365; 2.38811; 12.52931; 88.36112; 1.677674; True; True; 0.983469; -0.1428808; 0.1112379; -0.007683039; -0.07405835; -0.08331927; False; False; False; False
Fixed; HUD; Layout 1; Forward; 0.122467; 1.916265; 0.4545365; 2.38811; 12.52931; 88.36112; 1.677674; True; True; 0.983469; -0.1428808; 0.1112379; -0.007683039; -0.07405835; -0.08331927; False; False; False; False
Fixed; HUD; Layout 1; Forward; 0.1424866; 1.919885; 0.4541208; 2.390529; 12.79471; 88.55153; 1.613775; True; True; 0.9833611; -0.1439458; 0.1108181; -0.008502781; -0.07751271; -0.08616803; False; False; False; False
Fixed; HUD; Layout 1; Forward; 0.1624756; 1.919885; 0.4541208; 2.390529; 12.79471; 88.55153; 1.613775; True; True; 0.9833611; -0.1439458; 0.1108181; -0.008502781; -0.07751271; -0.08616803; False; False; False; False
Fixed; HUD; Layout 1; Forward; 0.1824646; 1.923918; 0.4535736; 2.393137; 12.97264; 88.74745; 1.549436; True; True; 0.9832209; -0.1451597; 0.1104771; -0.00897634; -0.0793259; -0.08917554; False; False; False; False
