Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 1; Backward; 0.002380371; 17.00217; 0.4086601; 3.310566; 26.27801; 268.5176; 0.7535565; True; True; -0.9881684; -0.1379628; 0.06700473; 0.0918119; -0.3047643; -0.09020178; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.0223999; 17.00217; 0.4086601; 3.310566; 26.27801; 268.5176; 0.7535565; True; True; -0.9881684; -0.1379628; 0.06700473; 0.0918119; -0.3047643; -0.09020178; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.04241943; 17.00217; 0.4086601; 3.310566; 26.27801; 268.5176; 0.7535565; True; True; -0.9881684; -0.1379628; 0.06700473; 0.0918119; -0.3047643; -0.09020178; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.06237793; 17.00217; 0.4086601; 3.310566; 26.27801; 268.5176; 0.7535565; True; True; -0.9881684; -0.1379628; 0.06700473; 0.0918119; -0.3047643; -0.09020178; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.08239746; 16.99335; 0.4056292; 3.302865; 25.92017; 266.6727; 359.8535; True; True; -0.9847377; -0.1598116; 0.06893535; 0.08684981; -0.2773068; -0.1211369; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.102417; 16.99335; 0.4056292; 3.302865; 25.92017; 266.6727; 359.8535; True; True; -0.9847377; -0.1598116; 0.06893535; 0.08684981; -0.2773068; -0.1211369; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.1223755; 16.99335; 0.4056292; 3.302865; 25.92017; 266.6727; 359.8535; True; True; -0.9847377; -0.1598116; 0.06893535; 0.08684981; -0.2773068; -0.1211369; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.142395; 16.99335; 0.4056292; 3.302865; 25.92017; 266.6727; 359.8535; True; True; -0.9847377; -0.1598116; 0.06893535; 0.08684981; -0.2773068; -0.1211369; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.1624146; 16.98647; 0.3958476; 3.296954; 28.51616; 265.2559; 359.7077; True; True; -0.9847377; -0.1598116; 0.06893535; 0.1090655; -0.3175951; -0.141608; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.182373; 16.98647; 0.3958476; 3.296954; 28.51616; 265.2559; 359.7077; True; True; -0.9847377; -0.1598116; 0.06893535; 0.1090655; -0.3175951; -0.141608; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.2023926; 16.98647; 0.3958476; 3.296954; 28.51616; 265.2559; 359.7077; True; True; -0.9847377; -0.1598116; 0.06893535; 0.1090655; -0.3175951; -0.141608; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.2224121; 16.98647; 0.3958476; 3.296954; 28.51616; 265.2559; 359.7077; True; True; -0.9847377; -0.1598116; 0.06893535; 0.1090655; -0.3175951; -0.141608; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.2424316; 16.96967; 0.3830965; 3.292701; 34.14894; 264.8393; 359.4318; True; True; -0.9803867; -0.1839864; 0.07064636; 0.1561603; -0.3773598; -0.1450865; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.2623901; 16.96967; 0.3830965; 3.292701; 34.14894; 264.8393; 359.4318; True; True; -0.9803867; -0.1839864; 0.07064636; 0.1561603; -0.3773598; -0.1450865; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.2824097; 16.96967; 0.3830965; 3.292701; 34.14894; 264.8393; 359.4318; True; True; -0.9803867; -0.1839864; 0.07064636; 0.1561603; -0.3773598; -0.1450865; False; False; True; False
Fixed; HUD; Layout 1; Backward; 0.3024292; 16.95485; 0.3690885; 3.294487; 38.54696; 266.5665; 359.2509; True; True; -0.9753886; -0.2081065; 0.07285996; 0.1946948; -0.4150493; -0.1197003; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.3223877; 16.95485; 0.3690885; 3.294487; 38.54696; 266.5665; 359.2509; True; True; -0.9753886; -0.2081065; 0.07285996; 0.1946948; -0.4150493; -0.1197003; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.3424072; 16.95485; 0.3690885; 3.294487; 38.54696; 266.5665; 359.2509; True; True; -0.9753886; -0.2081065; 0.07285996; 0.1946948; -0.4150493; -0.1197003; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.3624268; 16.93114; 0.360972; 3.299848; 42.69638; 268.1317; 359.7831; True; True; -0.9701217; -0.2317721; 0.07173274; 0.2355548; -0.4463411; -0.09569369; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.3823853; 16.93114; 0.360972; 3.299848; 42.69638; 268.1317; 359.7831; True; True; -0.9701217; -0.2317721; 0.07173274; 0.2355548; -0.4463411; -0.09569369; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.4024048; 16.93114; 0.360972; 3.299848; 42.69638; 268.1317; 359.7831; True; True; -0.9701217; -0.2317721; 0.07173274; 0.2355548; -0.4463411; -0.09569369; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.4224243; 16.89951; 0.3645767; 3.30876; 44.65622; 268.5367; 359.3774; True; True; -0.9701217; -0.2317721; 0.07173274; 0.2590169; -0.4710792; -0.08989833; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.4423828; 16.89951; 0.3645767; 3.30876; 44.65622; 268.5367; 359.3774; True; True; -0.9701217; -0.2317721; 0.07173274; 0.2590169; -0.4710792; -0.08989833; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.4624023; 16.89951; 0.3645767; 3.30876; 44.65622; 268.5367; 359.3774; True; True; -0.9701217; -0.2317721; 0.07173274; 0.2590169; -0.4710792; -0.08989833; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.4824219; 16.8723; 0.353061; 3.320392; 42.78259; 268.181; 358.9109; True; True; -0.9642854; -0.2551924; 0.07092659; 0.2307188; -0.4240256; -0.09422271; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.5023804; 16.8723; 0.353061; 3.320392; 42.78259; 268.181; 358.9109; True; True; -0.9642854; -0.2551924; 0.07092659; 0.2307188; -0.4240256; -0.09422271; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.5223999; 16.84513; 0.3438923; 3.333375; 43.5208; 268.4278; 358.2558; True; True; -0.9584581; -0.2765494; 0.06984706; 0.2336065; -0.4120685; -0.0897419; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.5424194; 16.84513; 0.3438923; 3.333375; 43.5208; 268.4278; 358.2558; True; True; -0.9584581; -0.2765494; 0.06984706; 0.2336065; -0.4120685; -0.0897419; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.5623779; 16.84513; 0.3438923; 3.333375; 43.5208; 268.4278; 358.2558; True; True; -0.9584581; -0.2765494; 0.06984706; 0.2336065; -0.4120685; -0.0897419; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.5823975; 16.82399; 0.3331313; 3.347949; 44.78936; 268.6169; 357.8501; True; True; -0.9522349; -0.2975573; 0.06861714; 0.2427399; -0.4069452; -0.08574739; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.602417; 16.82399; 0.3331313; 3.347949; 44.78936; 268.6169; 357.8501; True; True; -0.9522349; -0.2975573; 0.06861714; 0.2427399; -0.4069452; -0.08574739; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.6223755; 16.82399; 0.3331313; 3.347949; 44.78936; 268.6169; 357.8501; True; True; -0.9522349; -0.2975573; 0.06861714; 0.2427399; -0.4069452; -0.08574739; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.642395; 16.80346; 0.3353884; 3.364252; 44.7886; 268.3735; 357.4463; True; True; -0.9457603; -0.3178315; 0.06723563; 0.2363352; -0.3866614; -0.08738057; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.6624146; 16.80346; 0.3353884; 3.364252; 44.7886; 268.3735; 357.4463; True; True; -0.9457603; -0.3178315; 0.06723563; 0.2363352; -0.3866614; -0.08738057; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.682373; 16.78551; 0.3385451; 3.382357; 45.06115; 267.7579; 357.6872; True; True; -0.9390017; -0.3369804; 0.06870169; 0.2331906; -0.3708807; -0.09633607; False; False; False; False
Fixed; HUD; Layout 1; Backward; 0.7023926; 16.78551; 0.3385451; 3.382357; 45.06115; 267.7579; 357.6872; True; True; -0.9390017; -0.3369804; 0.06870169; 0.2331906; -0.3708807; -0.09633607; False; False; False; False
