Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Combined; Layout 6; Backward; 0.0118103; 14.73757; 0.019034; 8.74391; 13.09805; 254.4506; 359.8124; True; True; -0.8630707; -0.3349038; -0.3780851; -0.07526505; 0.1082856; 0.1169902; False; False; False; False
Fixed; Combined; Layout 6; Backward; 0.03179932; 14.73757; 0.019034; 8.74391; 13.09805; 254.4506; 359.8124; True; True; -0.8630707; -0.3349038; -0.3780851; -0.07526505; 0.1082856; 0.1169902; False; False; False; False
Fixed; Combined; Layout 6; Backward; 0.05180359; 14.73757; 0.019034; 8.74391; 13.09805; 254.4506; 359.8124; True; True; -0.8630707; -0.3349038; -0.3780851; -0.07526505; 0.1082856; 0.1169902; False; False; False; False
Fixed; Combined; Layout 6; Backward; 0.07180786; 14.72493; 0.01692876; 8.751115; 13.348; 254.3728; 359.3685; True; True; -0.8621511; -0.3351477; -0.3799624; -0.07486802; 0.1042828; 0.1178617; False; False; False; False
Fixed; Combined; Layout 6; Backward; 0.09179688; 14.72493; 0.01692876; 8.751115; 13.348; 254.3728; 359.3685; True; True; -0.8621511; -0.3351477; -0.3799624; -0.07486802; 0.1042828; 0.1178617; False; False; False; False
Fixed; Combined; Layout 6; Backward; 0.1118011; 14.72493; 0.01692876; 8.751115; 13.348; 254.3728; 359.3685; True; True; -0.8621511; -0.3351477; -0.3799624; -0.07486802; 0.1042828; 0.1178617; False; False; False; False
Fixed; Combined; Layout 6; Backward; 0.1318054; 14.7153; 0.01540867; 8.757381; 13.62095; 254.2798; 358.9609; True; True; -0.8610947; -0.3358214; -0.3817591; -0.0744288; 0.1003239; 0.1184399; False; False; False; False
Fixed; Combined; Layout 6; Backward; 0.1518097; 14.7153; 0.01540867; 8.757381; 13.62095; 254.2798; 358.9609; True; True; -0.8610947; -0.3358214; -0.3817591; -0.0744288; 0.1003239; 0.1184399; False; False; False; False
Fixed; Combined; Layout 6; Backward; 0.1717987; 14.70444; 0.01320994; 8.762871; 13.84427; 253.8705; 358.3549; True; True; -0.8598999; -0.3367953; -0.3835897; -0.07282954; 0.09751163; 0.1138506; False; False; False; False
Fixed; Combined; Layout 6; Backward; 0.191803; 14.70444; 0.01320994; 8.762871; 13.84427; 253.8705; 358.3549; True; True; -0.8598999; -0.3367953; -0.3835897; -0.07282954; 0.09751163; 0.1138506; False; False; False; False
