Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; No Cues; Layout 4; Forward; 0.01062012; 0.9806879; 0.01454486; 2.438463; 10.39392; 70.54776; 3.549381; True; True; 0.8508811; -0.2443753; 0.4650614; 0.0765655; 0.06396048; -0.1375049; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.03057861; 0.9806879; 0.01454486; 2.438463; 10.39392; 70.54776; 3.549381; True; True; 0.8508811; -0.2443753; 0.4650614; 0.0765655; 0.06396048; -0.1375049; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.05059814; 0.9806879; 0.01454486; 2.438463; 10.39392; 70.54776; 3.549381; True; True; 0.8508811; -0.2443753; 0.4650614; 0.0765655; 0.06396048; -0.1375049; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.07061768; 0.9806879; 0.01454486; 2.438463; 10.39392; 70.54776; 3.549381; True; True; 0.8508811; -0.2443753; 0.4650614; 0.0765655; 0.06396048; -0.1375049; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.09057617; 0.9809929; 0.01455837; 2.437779; 10.35335; 70.64645; 3.601487; True; True; 0.8502647; -0.2456242; 0.4655304; 0.07786506; 0.06590599; -0.1395298; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.1105957; 0.9809929; 0.01455837; 2.437779; 10.35335; 70.64645; 3.601487; True; True; 0.8502647; -0.2456242; 0.4655304; 0.07786506; 0.06590599; -0.1395298; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.1306152; 0.9813027; 0.0145703; 2.437669; 10.40733; 70.6304; 3.584697; True; True; 0.8496581; -0.246793; 0.4660197; 0.07822025; 0.06614794; -0.1398155; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.1505737; 0.9813027; 0.0145703; 2.437669; 10.40733; 70.6304; 3.584697; True; True; 0.8496581; -0.246793; 0.4660197; 0.07822025; 0.06614794; -0.1398155; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.1705933; 0.9817463; 0.01445575; 2.437817; 10.43169; 70.63728; 3.582102; True; True; 0.849074; -0.2479251; 0.4664831; 0.07877105; 0.06686188; -0.140416; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.1906128; 0.9817463; 0.01445575; 2.437817; 10.43169; 70.63728; 3.582102; True; True; 0.849074; -0.2479251; 0.4664831; 0.07877105; 0.06686188; -0.140416; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.2106323; 0.9819343; 0.01430961; 2.43821; 10.50703; 70.65598; 3.619684; True; True; 0.8484696; -0.2491767; 0.4669157; 0.07925618; 0.06682044; -0.1412304; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.2305908; 0.9819316; 0.01454262; 2.439106; 10.5214; 70.61041; 3.674453; True; True; 0.8478822; -0.2503911; 0.4673331; 0.07954115; 0.06778839; -0.1409251; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.2506104; 0.9819316; 0.01454262; 2.439106; 10.5214; 70.61041; 3.674453; True; True; 0.8478822; -0.2503911; 0.4673331; 0.07954115; 0.06778839; -0.1409251; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.2706299; 0.9817849; 0.01472022; 2.439879; 10.5234; 70.4856; 3.707739; True; True; 0.8473026; -0.2513932; 0.4678459; 0.07940161; 0.0687561; -0.1394206; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.2905884; 0.981741; 0.01492276; 2.441474; 10.46952; 70.2638; 3.731735; True; True; 0.8466941; -0.2524769; 0.4683637; 0.07889301; 0.07076447; -0.1362957; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.3106079; 0.9819189; 0.01455794; 2.44271; 10.38078; 70.06031; 3.679955; True; True; 0.8460549; -0.2534484; 0.4689936; 0.0786103; 0.07325915; -0.1335446; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.3306274; 0.9825062; 0.01420058; 2.445793; 10.26741; 69.73195; 3.469196; True; True; 0.8453982; -0.2543462; 0.4696912; 0.07766217; 0.0761037; -0.1288259; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.3505859; 0.9825062; 0.01420058; 2.445793; 10.26741; 69.73195; 3.469196; True; True; 0.8453982; -0.2543462; 0.4696912; 0.07766217; 0.0761037; -0.1288259; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.3706055; 0.9825045; 0.01272721; 2.447959; 10.39871; 69.61413; 3.389879; True; True; 0.844696; -0.2552148; 0.4704827; 0.07727611; 0.07471782; -0.1278631; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.390625; 0.9822266; 0.01166291; 2.451905; 10.80373; 69.30506; 3.439824; True; True; 0.8440005; -0.2560873; 0.4712564; 0.07489359; 0.06864199; -0.1241281; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.4105835; 0.9822266; 0.01166291; 2.451905; 10.80373; 69.30506; 3.439824; True; True; 0.8440005; -0.2560873; 0.4712564; 0.07489359; 0.06864199; -0.1241281; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.430603; 0.9820239; 0.01118448; 2.45398; 10.96436; 69.27109; 3.326646; True; True; 0.8432792; -0.2570966; 0.4719973; 0.0749138; 0.06689833; -0.1245115; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.4506226; 0.981323; 0.01109499; 2.459423; 11.07026; 69.29202; 3.148291; True; True; 0.8426291; -0.2579556; 0.4726893; 0.07536036; 0.06594306; -0.125664; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.4705811; 0.981323; 0.01109499; 2.459423; 11.07026; 69.29202; 3.148291; True; True; 0.8426291; -0.2579556; 0.4726893; 0.07536036; 0.06594306; -0.125664; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.4906006; 0.9805408; 0.010607; 2.466332; 10.89838; 69.1869; 2.956957; True; True; 0.8420032; -0.2587819; 0.4733524; 0.07588232; 0.06971414; -0.1244404; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.5106201; 0.9805408; 0.010607; 2.466332; 10.89838; 69.1869; 2.956957; True; True; 0.8420032; -0.2587819; 0.4733524; 0.07588232; 0.06971414; -0.1244404; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.5305786; 0.9797495; 0.008960159; 2.474271; 10.76085; 68.78728; 2.787244; True; True; 0.8413288; -0.2596471; 0.4740773; 0.0745213; 0.07293707; -0.1186086; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.5505981; 0.9797495; 0.008960159; 2.474271; 10.76085; 68.78728; 2.787244; True; True; 0.8413288; -0.2596471; 0.4740773; 0.0745213; 0.07293707; -0.1186086; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.5706177; 0.9809327; 0.007872406; 2.486859; 10.84851; 68.252; 2.504811; True; True; 0.8407222; -0.2603435; 0.4747709; 0.07150054; 0.07213071; -0.1108678; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.5905762; 0.9809327; 0.007872406; 2.486859; 10.84851; 68.252; 2.504811; True; True; 0.8407222; -0.2603435; 0.4747709; 0.07150054; 0.07213071; -0.1108678; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.6105957; 0.9820227; 0.007096343; 2.495295; 11.16271; 68.34755; 2.296587; True; True; 0.840161; -0.2611274; 0.4753335; 0.07169455; 0.06753156; -0.1133385; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.6306152; 0.9835265; 0.005808167; 2.509517; 11.46596; 68.74521; 2.130282; True; True; 0.8396792; -0.2619929; 0.4757084; 0.073699; 0.06320725; -0.1204273; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.6505737; 0.9835265; 0.005808167; 2.509517; 11.46596; 68.74521; 2.130282; True; True; 0.8396792; -0.2619929; 0.4757084; 0.073699; 0.06320725; -0.1204273; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.6705933; 0.9837586; 0.004440222; 2.514861; 11.52901; 68.94332; 2.329019; True; True; 0.8393032; -0.2628834; 0.4758807; 0.07509315; 0.06301944; -0.1238386; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.6906128; 0.9837586; 0.004440222; 2.514861; 11.52901; 68.94332; 2.329019; True; True; 0.8393032; -0.2628834; 0.4758807; 0.07509315; 0.06301944; -0.1238386; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.7106323; 0.9860215; 0.001333946; 2.530335; 11.68561; 69.16193; 2.89834; True; True; 0.8390164; -0.263799; 0.4758797; 0.07620257; 0.06125768; -0.1275246; False; False; False; False
Fixed; No Cues; Layout 4; Forward; 0.7305908; 0.9882461; 0.0006665532; 2.540514; 11.95616; 69.10538; 3.649943; True; True; 0.8387853; -0.2647937; 0.4757347; 0.07518584; 0.05763057; -0.1268215; False; False; False; False
