Log Type; Cue Condition; Layout;Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; No Cues; Layout 2;Forward;0.01403809;1.998709;0.2176897;2.592459;9.224836;92.18534;358.2801; True; True;0.9715568;-0.1862214;0.1462842;0.01479226;0.02591236;-0.1839232; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.03405762;1.998709;0.2176897;2.592459;9.224836;92.18534;358.2801; True; True;0.9715568;-0.1862214;0.1462842;0.01479226;0.02591236;-0.1839232; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.05407715;1.998709;0.2176897;2.592459;9.224836;92.18534;358.2801; True; True;0.9715568;-0.1862214;0.1462842;0.01479226;0.02591236;-0.1839232; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.07409668;1.998709;0.2176897;2.592459;9.224836;92.18534;358.2801; True; True;0.9715568;-0.1862214;0.1462842;0.01479226;0.02591236;-0.1839232; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.09411621;2.005684;0.2204487;2.592143;8.887004;92.64044;358.0934; True; True;0.9714893;-0.1866958;0.1461278;0.01545674;0.03220946;-0.1916429; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.1141357;2.005684;0.2204487;2.592143;8.887004;92.64044;358.0934; True; True;0.9714893;-0.1866958;0.1461278;0.01545674;0.03220946;-0.1916429; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.1340332;2.005684;0.2204487;2.592143;8.887004;92.64044;358.0934; True; True;0.9714893;-0.1866958;0.1461278;0.01545674;0.03220946;-0.1916429; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.1540527;2.013485;0.2210377;2.591827;8.726626;92.76849;358.2375; True; True;0.9714085;-0.1871805;0.146044;0.01586133;0.03546032;-0.1937853; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.1740723;2.013485;0.2210377;2.591827;8.726626;92.76849;358.2375; True; True;0.9714085;-0.1871805;0.146044;0.01586133;0.03546032;-0.1937853; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.1940918;2.013485;0.2210377;2.591827;8.726626;92.76849;358.2375; True; True;0.9714085;-0.1871805;0.146044;0.01586133;0.03546032;-0.1937853; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.2141113;2.056335;0.2202911;2.585865;8.917324;92.89662;358.4728; True; True;0.9711269;-0.1895033;0.1449171;0.01552391;0.03449418;-0.1948404; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.2341309;2.056335;0.2202911;2.585865;8.917324;92.89662;358.4728; True; True;0.9711269;-0.1895033;0.1449171;0.01552391;0.03449418;-0.1948404; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.2540283;2.075842;0.2188894;2.581689;8.757582;92.64989;358.0879; True; True;0.9708493;-0.1916764;0.1439159;0.01643538;0.03942224;-0.1896098; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.2740479;2.075842;0.2188894;2.581689;8.757582;92.64989;358.0879; True; True;0.9708493;-0.1916764;0.1439159;0.01643538;0.03942224;-0.1896098; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.2940674;2.091877;0.2154513;2.577773;8.508218;92.40923;358.0437; True; True;0.9705721;-0.1937206;0.1430455;0.01754832;0.04576939;-0.1846194; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.3140869;2.091877;0.2154513;2.577773;8.508218;92.40923;358.0437; True; True;0.9705721;-0.1937206;0.1430455;0.01754832;0.04576939;-0.1846194; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.3341064;2.091877;0.2154513;2.577773;8.508218;92.40923;358.0437; True; True;0.9705721;-0.1937206;0.1430455;0.01754832;0.04576939;-0.1846194; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.354126;2.107792;0.2106326;2.573061;8.687083;92.38254;358.2401; True; True;0.9702615;-0.1958012;0.1423187;0.01741207;0.04476328;-0.183413; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.3741455;2.107792;0.2106326;2.573061;8.687083;92.38254;358.2401; True; True;0.9702615;-0.1958012;0.1423187;0.01741207;0.04476328;-0.183413; False; False; False; False
Fixed; No Cues; Layout 2;Forward;0.394043;2.132961;0.2056672;2.564202;9.536831;92.32915;358.6868; True; True;0.9698946;-0.1980239;0.1417426;0.01547003;0.03234231;-0.1818211; False; False; False; False
