Log Type;Cue Condition;Layout;Direction;Time;Position X;Position Y;Position Z;Rotation X;Rotation Y;Rotation Z;Eye Tracking Enabled (true/false);Eye Tracking Data Valid (true/false);Gaze Direction X;Gaze Direction Y;Gaze Direction Z;Eye Movement X;Eye Movement Y;Eye Movement Z;HUD Cue Up;HUD Cue Right;HUD Cue Down;HUD Cue Left
Fixed;No Cues;Layout 2;Backward;0.001708984;17.02598;0.1827045;4.536033;3.992349;268.6355;359.3549;TRUE;TRUE;-0.9810513;-0.01436118;-0.1932156;-0.01623923;-0.05526209;0.1694611;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.02172852;17.02598;0.1827045;4.536033;3.992349;268.6355;359.3549;TRUE;TRUE;-0.9810513;-0.01436118;-0.1932156;-0.01623923;-0.05526209;0.1694611;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.04174805;17.02598;0.1827045;4.536033;3.992349;268.6355;359.3549;TRUE;TRUE;-0.9810513;-0.01436118;-0.1932156;-0.01623923;-0.05526209;0.1694611;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.06164551;17.02598;0.1827045;4.536033;3.992349;268.6355;359.3549;TRUE;TRUE;-0.9810513;-0.01436118;-0.1932156;-0.01623923;-0.05526209;0.1694611;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.08166504;17.0218;0.1839059;4.531985;4.384264;269.187;359.2827;TRUE;TRUE;-0.9810408;-0.01442518;-0.1932636;-0.01593268;-0.06202001;0.1791148;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.1016846;17.0218;0.1839059;4.531985;4.384264;269.187;359.2827;TRUE;TRUE;-0.9810408;-0.01442518;-0.1932636;-0.01593268;-0.06202001;0.1791148;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.1217041;17.0218;0.1839059;4.531985;4.384264;269.187;359.2827;TRUE;TRUE;-0.9810408;-0.01442518;-0.1932636;-0.01593268;-0.06202001;0.1791148;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.1417236;17.0218;0.1839059;4.531985;4.384264;269.187;359.2827;TRUE;TRUE;-0.9810408;-0.01442518;-0.1932636;-0.01593268;-0.06202001;0.1791148;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.1617432;17.01722;0.1841776;4.528588;4.608636;269.3054;359.6455;TRUE;TRUE;-0.9810144;-0.01448984;-0.1933925;-0.01567924;-0.06585933;0.1813084;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.1816406;17.01722;0.1841776;4.528588;4.608636;269.3054;359.6455;TRUE;TRUE;-0.9810144;-0.01448984;-0.1933925;-0.01567924;-0.06585933;0.1813084;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.2016602;17.01722;0.1841776;4.528588;4.608636;269.3054;359.6455;TRUE;TRUE;-0.9810144;-0.01448984;-0.1933925;-0.01567924;-0.06585933;0.1813084;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.2216797;16.99974;0.1793513;4.515642;4.950059;269.9694;359.7341;TRUE;TRUE;-0.9810742;-0.01457309;-0.1930826;-0.01519603;-0.0717143;0.19255;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.2416992;16.99974;0.1793513;4.515642;4.950059;269.9694;359.7341;TRUE;TRUE;-0.9810742;-0.01457309;-0.1930826;-0.01519603;-0.0717143;0.19255;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.2617188;16.99215;0.1755495;4.512021;4.580126;270.4194;0.4035275;TRUE;TRUE;-0.9810742;-0.01457309;-0.1930826;-0.01570582;-0.06528009;0.2003784;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.2817383;16.99215;0.1755495;4.512021;4.580126;270.4194;0.4035275;TRUE;TRUE;-0.9810742;-0.01457309;-0.1930826;-0.01570582;-0.06528009;0.2003784;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.3016357;16.98213;0.1782857;4.510277;4.740579;270.6969;1.294124;TRUE;TRUE;-0.9810742;-0.01457309;-0.1930826;-0.01543123;-0.06807125;0.2052037;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.3216553;16.98213;0.1782857;4.510277;4.740579;270.6969;1.294124;TRUE;TRUE;-0.9810742;-0.01457309;-0.1930826;-0.01543123;-0.06807125;0.2052037;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.3416748;16.98213;0.1782857;4.510277;4.740579;270.6969;1.294124;TRUE;TRUE;-0.9810742;-0.01457309;-0.1930826;-0.01543123;-0.06807125;0.2052037;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.3616943;16.97184;0.1804751;4.508866;4.607317;270.5263;1.265278;TRUE;TRUE;-0.9810742;-0.01457309;-0.1930826;-0.01565248;-0.06575312;0.2022385;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.3817139;16.97184;0.1804751;4.508866;4.607317;270.5263;1.265278;TRUE;TRUE;-0.9810742;-0.01457309;-0.1930826;-0.01565248;-0.06575312;0.2022385;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.4017334;16.95937;0.1823409;4.508233;5.203733;269.7843;0.6200845;TRUE;TRUE;-0.9814264;-0.01470762;-0.1912747;-0.01444519;-0.07598984;0.1875255;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.4216309;16.95937;0.1823409;4.508233;5.203733;269.7843;0.6200845;TRUE;TRUE;-0.9814264;-0.01470762;-0.1912747;-0.01444519;-0.07598984;0.1875255;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.4416504;16.95937;0.1823409;4.508233;5.203733;269.7843;0.6200845;TRUE;TRUE;-0.9814264;-0.01470762;-0.1912747;-0.01444519;-0.07598984;0.1875255;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.4616699;16.94357;0.1817486;4.508977;5.004769;269.8324;1.044968;TRUE;TRUE;-0.9821522;-0.01480404;-0.1875045;-0.01403117;-0.07243462;0.18459;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.4816895;16.94357;0.1817486;4.508977;5.004769;269.8324;1.044968;TRUE;TRUE;-0.9821522;-0.01480404;-0.1875045;-0.01403117;-0.07243462;0.18459;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.501709;16.94357;0.1817486;4.508977;5.004769;269.8324;1.044968;TRUE;TRUE;-0.9821522;-0.01480404;-0.1875045;-0.01403117;-0.07243462;0.18459;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.5217285;16.92462;0.1776554;4.509445;3.969756;269.7637;1.732198;TRUE;TRUE;-0.9828305;-0.01467542;-0.1839261;-0.01476175;-0.05455448;0.1798111;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.541748;16.92462;0.1776554;4.509445;3.969756;269.7637;1.732198;TRUE;TRUE;-0.9828305;-0.01467542;-0.1839261;-0.01476175;-0.05455448;0.1798111;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.5616455;16.90275;0.1720069;4.509856;3.996898;269.3221;1.690064;TRUE;TRUE;-0.9834613;-0.01447711;-0.1805387;-0.01403683;-0.05522536;0.1687367;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.581665;16.90275;0.1720069;4.509856;3.996898;269.3221;1.690064;TRUE;TRUE;-0.9834613;-0.01447711;-0.1805387;-0.01403683;-0.05522536;0.1687367;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.6016846;16.87427;0.1653351;4.510086;4.026821;269.2062;1.20892;TRUE;TRUE;-0.9840388;-0.01424336;-0.1773828;-0.0133968;-0.05598008;0.1635623;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.6217041;16.87427;0.1653351;4.510086;4.026821;269.2062;1.20892;TRUE;TRUE;-0.9840388;-0.01424336;-0.1773828;-0.0133968;-0.05598008;0.1635623;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.6417236;16.85259;0.1602453;4.509619;4.35639;269.4612;1.309341;TRUE;TRUE;-0.9845728;-0.01407699;-0.1744084;-0.01249409;-0.06188311;0.1650321;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.6617432;16.85259;0.1602453;4.509619;4.35639;269.4612;1.309341;TRUE;TRUE;-0.9845728;-0.01407699;-0.1744084;-0.01249409;-0.06188311;0.1650321;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.6816406;16.81663;0.1559741;4.508675;4.177817;269.274;1.755355;TRUE;TRUE;-0.9850689;-0.01385803;-0.171602;-0.0121938;-0.05899404;0.1589661;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.7016602;16.81663;0.1559741;4.508675;4.177817;269.274;1.755355;TRUE;TRUE;-0.9850689;-0.01385803;-0.171602;-0.0121938;-0.05899404;0.1589661;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.7216797;16.81663;0.1559741;4.508675;4.177817;269.274;1.755355;TRUE;TRUE;-0.9850689;-0.01385803;-0.171602;-0.0121938;-0.05899404;0.1589661;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.7416992;16.7876;0.1492912;4.5105;3.129909;269.0613;2.285498;TRUE;TRUE;-0.9855255;-0.01323691;-0.1690094;-0.01284891;-0.04136314;0.1526517;FALSE;FALSE;FALSE;FALSE
Fixed;No Cues;Layout 2;Backward;0.7617188;16.7876;0.1492912;4.5105;3.129909;269.0613;2.285498;TRUE;TRUE;-0.9855255;-0.01323691;-0.1690094;-0.01284891;-0.04136314;0.1526517;FALSE;FALSE;FALSE;FALSE
