Log Type; Cue Condition; Layout;Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 5;Forward;0.01782227;1.949079;0.1867075;2.610891;10.25273;80.05632;357.8225; True; True;0.9585484;-0.1647886;0.2324427;0.01070172;-0.01320177;-0.06252; False; False; False; False
Fixed; HUD; Layout 5;Forward;0.0378418;1.949079;0.1867075;2.610891;10.25273;80.05632;357.8225; True; True;0.9585484;-0.1647886;0.2324427;0.01070172;-0.01320177;-0.06252; False; False; False; False
Fixed; HUD; Layout 5;Forward;0.05786133;1.949079;0.1867075;2.610891;10.25273;80.05632;357.8225; True; True;0.9585484;-0.1647886;0.2324427;0.01070172;-0.01320177;-0.06252; False; False; False; False
Fixed; HUD; Layout 5;Forward;0.07788086;1.949079;0.1867075;2.610891;10.25273;80.05632;357.8225; True; True;0.9585484;-0.1647886;0.2324427;0.01070172;-0.01320177;-0.06252; False; False; False; False
Fixed; HUD; Layout 5;Forward;0.09790039;1.95126;0.1864384;2.613919;10.02198;80.44064;357.8836; True; True;0.9578862;-0.1659428;0.2343439;0.01318079;-0.008083254;-0.0708085; False; False; False; False
Fixed; HUD; Layout 5;Forward;0.1179199;1.95126;0.1864384;2.613919;10.02198;80.44064;357.8836; True; True;0.9578862;-0.1659428;0.2343439;0.01318079;-0.008083254;-0.0708085; False; False; False; False
Fixed; HUD; Layout 5;Forward;0.1379395;1.95126;0.1864384;2.613919;10.02198;80.44064;357.8836; True; True;0.9578862;-0.1659428;0.2343439;0.01318079;-0.008083254;-0.0708085; False; False; False; False
Fixed; HUD; Layout 5;Forward;0.1577148;1.953979;0.1862513;2.616363;9.931734;80.56189;357.9926; True; True;0.9589767;-0.1660236;0.2297819;0.01270348;-0.00645107;-0.06825736; False; False; False; False
Fixed; HUD; Layout 5;Forward;0.1777344;1.953979;0.1862513;2.616363;9.931734;80.56189;357.9926; True; True;0.9589767;-0.1660236;0.2297819;0.01270348;-0.00645107;-0.06825736; False; False; False; False
Fixed; HUD; Layout 5;Forward;0.1977539;1.953979;0.1862513;2.616363;9.931734;80.56189;357.9926; True; True;0.9589767;-0.1660236;0.2297819;0.01270348;-0.00645107;-0.06825736; False; False; False; False
