Log Type; Cue Condition; Layout;Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 8;Backward;0.01000977;17.08996;0.07703796;4.585331;8.465493;269.2789;358.6042; True; True;-0.984737;-0.1436581;-0.09826197;-0.004289448;-0.003555596;0.08581319; False; False; False; True
Fixed; Collocated; Layout 8;Backward;0.0300293;17.08996;0.07703796;4.585331;8.465493;269.2789;358.6042; True; True;-0.984737;-0.1436581;-0.09826197;-0.004289448;-0.003555596;0.08581319; False; False; False; True
Fixed; Collocated; Layout 8;Backward;0.05004883;17.08996;0.07703796;4.585331;8.465493;269.2789;358.6042; True; True;-0.984737;-0.1436581;-0.09826197;-0.004289448;-0.003555596;0.08581319; False; False; False; True
Fixed; Collocated; Layout 8;Backward;0.07006836;17.08996;0.07703796;4.585331;8.465493;269.2789;358.6042; True; True;-0.984737;-0.1436581;-0.09826197;-0.004289448;-0.003555596;0.08581319; False; False; False; True
Fixed; Collocated; Layout 8;Backward;0.09008789;17.08996;0.07703796;4.585331;8.465493;269.2789;358.6042; True; True;-0.984737;-0.1436581;-0.09826197;-0.004289448;-0.003555596;0.08581319; False; False; False; True
Fixed; Collocated; Layout 8;Backward;0.1101074;17.07511;0.07720174;4.579707;7.840697;269.8925;358.6989; True; True;-0.9851109;-0.14079;-0.09866514;-0.005538702;0.004370749;0.09680679; False; False; False; True
Fixed; Collocated; Layout 8;Backward;0.130127;17.07511;0.07720174;4.579707;7.840697;269.8925;358.6989; True; True;-0.9851109;-0.14079;-0.09866514;-0.005538702;0.004370749;0.09680679; False; False; False; True
Fixed; Collocated; Layout 8;Backward;0.1501465;17.07511;0.07720174;4.579707;7.840697;269.8925;358.6989; True; True;-0.9851109;-0.14079;-0.09866514;-0.005538702;0.004370749;0.09680679; False; False; False; True
Fixed; Collocated; Layout 8;Backward;0.1699219;17.06275;0.07674742;4.577588;7.577043;270.2049;359.3664; True; True;-0.9854652;-0.137941;-0.09915014;-0.005797029;0.00608179;0.1026942; False; False; False; True
Fixed; Collocated; Layout 8;Backward;0.1899414;17.06275;0.07674742;4.577588;7.577043;270.2049;359.3664; True; True;-0.9854652;-0.137941;-0.09915014;-0.005797029;0.00608179;0.1026942; False; False; False; True
