Log Type; Cue Condition; Layout;Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Combined; Layout 7;Backward;0.006835938;17.17744;0.02558155;4.60485;5.117898;268.5034;359.1883; True; True;-0.9765223;-0.170676;-0.1314301;-0.01915127;0.08147061;0.1054169; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.02685547;17.17744;0.02558155;4.60485;5.117898;268.5034;359.1883; True; True;-0.9765223;-0.170676;-0.1314301;-0.01915127;0.08147061;0.1054169; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.046875;17.17744;0.02558155;4.60485;5.117898;268.5034;359.1883; True; True;-0.9765223;-0.170676;-0.1314301;-0.01915127;0.08147061;0.1054169; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.06689453;17.17744;0.02558155;4.60485;5.117898;268.5034;359.1883; True; True;-0.9765223;-0.170676;-0.1314301;-0.01915127;0.08147061;0.1054169; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.08691406;17.17744;0.02558155;4.60485;5.117898;268.5034;359.1883; True; True;-0.9765223;-0.170676;-0.1314301;-0.01915127;0.08147061;0.1054169; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.1069336;17.15005;0.02004701;4.594891;4.328292;269.966;359.262; True; True;-0.9770609;-0.1668719;-0.1323096;-0.02008688;0.0914008;0.1317173; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.1269531;17.15005;0.02004701;4.594891;4.328292;269.966;359.262; True; True;-0.9770609;-0.1668719;-0.1323096;-0.02008688;0.0914008;0.1317173; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.1469727;17.15005;0.02004701;4.594891;4.328292;269.966;359.262; True; True;-0.9770609;-0.1668719;-0.1323096;-0.02008688;0.0914008;0.1317173; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.1669922;17.15005;0.02004701;4.594891;4.328292;269.966;359.262; True; True;-0.9770609;-0.1668719;-0.1323096;-0.02008688;0.0914008;0.1317173; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.1867676;17.15005;0.02004701;4.594891;4.328292;269.966;359.262; True; True;-0.9770609;-0.1668719;-0.1323096;-0.02008688;0.0914008;0.1317173; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.2067871;17.15005;0.02004701;4.594891;4.328292;269.966;359.262; True; True;-0.9770609;-0.1668719;-0.1323096;-0.02008688;0.0914008;0.1317173; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.2268066;17.11611;0.02199595;4.589328;5.008748;270.7025;359.8007; True; True;-0.9786471;-0.1613214;-0.1273789;-0.01745945;0.07401354;0.1395928; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.2468262;17.11611;0.02199595;4.589328;5.008748;270.7025;359.8007; True; True;-0.9786471;-0.1613214;-0.1273789;-0.01745945;0.07401354;0.1395928; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.2668457;17.11611;0.02199595;4.589328;5.008748;270.7025;359.8007; True; True;-0.9786471;-0.1613214;-0.1273789;-0.01745945;0.07401354;0.1395928; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.2868652;17.11611;0.02199595;4.589328;5.008748;270.7025;359.8007; True; True;-0.9786471;-0.1613214;-0.1273789;-0.01745945;0.07401354;0.1395928; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.3068848;17.06784;0.02276451;4.586953;6.19592;270.4757;0.3427656; True; True;-0.9800852;-0.1560355;-0.1228254;-0.01403916;0.0481069;0.1310788; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.3269043;17.06784;0.02276451;4.586953;6.19592;270.4757;0.3427656; True; True;-0.9800852;-0.1560355;-0.1228254;-0.01403916;0.0481069;0.1310788; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.3469238;17.06784;0.02276451;4.586953;6.19592;270.4757;0.3427656; True; True;-0.9800852;-0.1560355;-0.1228254;-0.01403916;0.0481069;0.1310788; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.3669434;17.06784;0.02276451;4.586953;6.19592;270.4757;0.3427656; True; True;-0.9800852;-0.1560355;-0.1228254;-0.01403916;0.0481069;0.1310788; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.3869629;17.02304;0.0122069;4.585794;5.119517;269.5401;359.8443; True; True;-0.9814419;-0.150501;-0.1188331;-0.01453686;0.06126747;0.110839; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.4069824;17.02304;0.0122069;4.585794;5.119517;269.5401;359.8443; True; True;-0.9814419;-0.150501;-0.1188331;-0.01453686;0.06126747;0.110839; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.4267578;17.02304;0.0122069;4.585794;5.119517;269.5401;359.8443; True; True;-0.9814419;-0.150501;-0.1188331;-0.01453686;0.06126747;0.110839; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.4467773;16.96655;-0.00120106;4.587889;4.441156;269.5761;0.3561215; True; True;-0.9827409;-0.1448781;-0.1150245;-0.0142293;0.06744295;0.1076492; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.4667969;16.96655;-0.00120106;4.587889;4.441156;269.5761;0.3561215; True; True;-0.9827409;-0.1448781;-0.1150245;-0.0142293;0.06744295;0.1076492; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.4868164;16.96655;-0.00120106;4.587889;4.441156;269.5761;0.3561215; True; True;-0.9827409;-0.1448781;-0.1150245;-0.0142293;0.06744295;0.1076492; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.5068359;16.96655;-0.00120106;4.587889;4.441156;269.5761;0.3561215; True; True;-0.9827409;-0.1448781;-0.1150245;-0.0142293;0.06744295;0.1076492; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.5268555;16.9107;-0.009646136;4.590819;3.006359;269.5751;0.7162703; True; True;-0.9839983;-0.1390174;-0.1114519;-0.01459795;0.08657061;0.1040456; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.546875;16.9107;-0.009646136;4.590819;3.006359;269.5751;0.7162703; True; True;-0.9839983;-0.1390174;-0.1114519;-0.01459795;0.08657061;0.1040456; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.5668945;16.9107;-0.009646136;4.590819;3.006359;269.5751;0.7162703; True; True;-0.9839983;-0.1390174;-0.1114519;-0.01459795;0.08657061;0.1040456; False; False; False; False
Fixed; Combined; Layout 7;Backward;0.5869141;16.9107;-0.009646136;4.590819;3.006359;269.5751;0.7162703; True; True;-0.9839983;-0.1390174;-0.1114519;-0.01459795;0.08657061;0.1040456; False; False; False; False
