Log Type; Cue Condition; Layout;Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 6;Backward;0.000213623;0.895668;0.04695115;-16.14874;2.079816;348.4656;357.7541; True; True;-0.7832171;-0.5264022;0.3308651;0.583393;0.4901106;0.6482944; False; False; False; False
Fixed; HUD; Layout 6;Backward;0.02020264;0.895668;0.04695115;-16.14874;2.079816;348.4656;357.7541; True; True;-0.7832171;-0.5264022;0.3308651;0.583393;0.4901106;0.6482944; False; False; False; False
Fixed; HUD; Layout 6;Backward;0.04020691;0.895668;0.04695115;-16.14874;2.079816;348.4656;357.7541; True; True;-0.7832171;-0.5264022;0.3308651;0.583393;0.4901106;0.6482944; False; False; False; False
Fixed; HUD; Layout 6;Backward;0.06021118;0.895668;0.04695115;-16.14874;2.079816;348.4656;357.7541; True; True;-0.7832171;-0.5264022;0.3308651;0.583393;0.4901106;0.6482944; False; False; False; False
Fixed; HUD; Layout 6;Backward;0.08021545;0.895668;0.04695115;-16.14874;2.079816;348.4656;357.7541; True; True;-0.7832171;-0.5264022;0.3308651;0.583393;0.4901106;0.6482944; False; False; False; False
Fixed; HUD; Layout 6;Backward;0.1002045;0.8875206;0.04086439;-16.14445;2.260431;348.4829;357.9329; True; True;-0.7832171;-0.5264022;0.3308651;0.583712;0.4869605;0.6482376; False; False; False; False
Fixed; HUD; Layout 6;Backward;0.1202087;0.8875206;0.04086439;-16.14445;2.260431;348.4829;357.9329; True; True;-0.7832171;-0.5264022;0.3308651;0.583712;0.4869605;0.6482376; False; False; False; False
Fixed; HUD; Layout 6;Backward;0.140213;0.8875206;0.04086439;-16.14445;2.260431;348.4829;357.9329; True; True;-0.7832171;-0.5264022;0.3308651;0.583712;0.4869605;0.6482376; False; False; False; False
Fixed; HUD; Layout 6;Backward;0.160202;0.8875206;0.04086439;-16.14445;2.260431;348.4829;357.9329; True; True;-0.7832171;-0.5264022;0.3308651;0.583712;0.4869605;0.6482376; False; False; False; False
Fixed; HUD; Layout 6;Backward;0.1802063;0.8811116;0.03721429;-16.13884;3.148861;348.3156;357.6335; True; True;-0.7797065;-0.5142879;0.3571633;0.5774925;0.4593576;0.6206364; False; False; False; False
