Log Type; Cue Condition; Layout;Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Combined; Layout 1;Forward;0.006896973;-0.101323;-0.009124141;-0.6989926;23.12288;173.3747;356.442; True; True;0.7357158;-0.5956978;-0.3222829;-0.6296086;0.2029933;-0.5912402; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.0269165;-0.101323;-0.009124141;-0.6989926;23.12288;173.3747;356.442; True; True;0.7357158;-0.5956978;-0.3222829;-0.6296086;0.2029933;-0.5912402; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.046875;-0.101323;-0.009124141;-0.6989926;23.12288;173.3747;356.442; True; True;0.7357158;-0.5956978;-0.3222829;-0.6296086;0.2029933;-0.5912402; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.06689453;-0.101323;-0.009124141;-0.6989926;23.12288;173.3747;356.442; True; True;0.7357158;-0.5956978;-0.3222829;-0.6296086;0.2029933;-0.5912402; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.08691406;-0.101323;-0.009124141;-0.6989926;23.12288;173.3747;356.442; True; True;0.7357158;-0.5956978;-0.3222829;-0.6296086;0.2029933;-0.5912402; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.1068726;-0.101323;-0.009124141;-0.6989926;23.12288;173.3747;356.442; True; True;0.7357158;-0.5956978;-0.3222829;-0.6296086;0.2029933;-0.5912402; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.1268921;-0.09559539;-0.0152391;-0.6997023;23.74527;173.6169;355.5723; True; True;0.7357158;-0.5956978;-0.3222829;-0.6339512;0.1930267;-0.5873874; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.1469116;-0.09559539;-0.0152391;-0.6997023;23.74527;173.6169;355.5723; True; True;0.7357158;-0.5956978;-0.3222829;-0.6339512;0.1930267;-0.5873874; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.1669312;-0.09559539;-0.0152391;-0.6997023;23.74527;173.6169;355.5723; True; True;0.7357158;-0.5956978;-0.3222829;-0.6339512;0.1930267;-0.5873874; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.1868896;-0.09559539;-0.0152391;-0.6997023;23.74527;173.6169;355.5723; True; True;0.7357158;-0.5956978;-0.3222829;-0.6339512;0.1930267;-0.5873874; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.2069092;-0.09559539;-0.0152391;-0.6997023;23.74527;173.6169;355.5723; True; True;0.7357158;-0.5956978;-0.3222829;-0.6339512;0.1930267;-0.5873874; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.2269287;-0.09219042;-0.01732614;-0.7023316;25.13371;173.1294;354.8247; True; True;0.7357158;-0.5956978;-0.3222829;-0.6274143;0.1709657;-0.576535; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.2468872;-0.09219042;-0.01732614;-0.7023316;25.13371;173.1294;354.8247; True; True;0.7357158;-0.5956978;-0.3222829;-0.6274143;0.1709657;-0.576535; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.2669067;-0.09219042;-0.01732614;-0.7023316;25.13371;173.1294;354.8247; True; True;0.7357158;-0.5956978;-0.3222829;-0.6274143;0.1709657;-0.576535; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.2869263;-0.09219042;-0.01732614;-0.7023316;25.13371;173.1294;354.8247; True; True;0.7357158;-0.5956978;-0.3222829;-0.6274143;0.1709657;-0.576535; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.3068848;-0.09462881;-0.01799861;-0.7073894;26.11553;170.4664;354.6364; True; True;0.7357158;-0.5956978;-0.3222829;-0.5869993;0.1555152;-0.5632242; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.3269043;-0.09462881;-0.01799861;-0.7073894;26.11553;170.4664;354.6364; True; True;0.7357158;-0.5956978;-0.3222829;-0.5869993;0.1555152;-0.5632242; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.3469238;-0.09462881;-0.01799861;-0.7073894;26.11553;170.4664;354.6364; True; True;0.7357158;-0.5956978;-0.3222829;-0.5869993;0.1555152;-0.5632242; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.3668823;-0.09462881;-0.01799861;-0.7073894;26.11553;170.4664;354.6364; True; True;0.7357158;-0.5956978;-0.3222829;-0.5869993;0.1555152;-0.5632242; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.3869019;-0.1040563;-0.01630922;-0.7156199;25.53958;167.7734;353.9604; True; True;0.7357158;-0.5956978;-0.3222829;-0.5446311;0.1645634;-0.5595388; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.4069214;-0.1040563;-0.01630922;-0.7156199;25.53958;167.7734;353.9604; True; True;0.7357158;-0.5956978;-0.3222829;-0.5446311;0.1645634;-0.5595388; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.4268799;-0.1040563;-0.01630922;-0.7156199;25.53958;167.7734;353.9604; True; True;0.7357158;-0.5956978;-0.3222829;-0.5446311;0.1645634;-0.5595388; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.4468994;-0.1040563;-0.01630922;-0.7156199;25.53958;167.7734;353.9604; True; True;0.7357158;-0.5956978;-0.3222829;-0.5446311;0.1645634;-0.5595388; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.4669189;-0.1202655;-0.01499597;-0.7302819;24.2671;166.2983;353.3494; True; True;0.7357158;-0.5956978;-0.3222829;-0.5197783;0.1847068;-0.5634131; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.4868774;-0.1202655;-0.01499597;-0.7302819;24.2671;166.2983;353.3494; True; True;0.7357158;-0.5956978;-0.3222829;-0.5197783;0.1847068;-0.5634131; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.506897;-0.1202655;-0.01499597;-0.7302819;24.2671;166.2983;353.3494; True; True;0.7357158;-0.5956978;-0.3222829;-0.5197783;0.1847068;-0.5634131; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.5269165;-0.1202655;-0.01499597;-0.7302819;24.2671;166.2983;353.3494; True; True;0.7357158;-0.5956978;-0.3222829;-0.5197783;0.1847068;-0.5634131; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.546875;-0.1202655;-0.01499597;-0.7302819;24.2671;166.2983;353.3494; True; True;0.7357158;-0.5956978;-0.3222829;-0.5197783;0.1847068;-0.5634131; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.5668945;-0.1423891;-0.01467546;-0.749438;23.18095;166.0356;353.2397; True; True;0.7357158;-0.5956978;-0.3222829;-0.5138797;0.2020615;-0.5698156; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.5869141;-0.1423891;-0.01467546;-0.749438;23.18095;166.0356;353.2397; True; True;0.7357158;-0.5956978;-0.3222829;-0.5138797;0.2020615;-0.5698156; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.6068726;-0.1423891;-0.01467546;-0.749438;23.18095;166.0356;353.2397; True; True;0.7357158;-0.5956978;-0.3222829;-0.5138797;0.2020615;-0.5698156; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.6268921;-0.1423891;-0.01467546;-0.749438;23.18095;166.0356;353.2397; True; True;0.7357158;-0.5956978;-0.3222829;-0.5138797;0.2020615;-0.5698156; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.6469116;-0.1764299;-0.01460621;-0.7798491;20.82854;166.3294;353.6216; True; True;0.7357158;-0.5956978;-0.3222829;-0.5148214;0.2401252;-0.5858879; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.6669312;-0.1764299;-0.01460621;-0.7798491;20.82854;166.3294;353.6216; True; True;0.7357158;-0.5956978;-0.3222829;-0.5148214;0.2401252;-0.5858879; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.6868896;-0.1764299;-0.01460621;-0.7798491;20.82854;166.3294;353.6216; True; True;0.7357158;-0.5956978;-0.3222829;-0.5148214;0.2401252;-0.5858879; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.7069092;-0.1764299;-0.01460621;-0.7798491;20.82854;166.3294;353.6216; True; True;0.7357158;-0.5956978;-0.3222829;-0.5148214;0.2401252;-0.5858879; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.7269287;-0.211861;-0.01229046;-0.8117353;18.45755;166.929;354.4727; True; True;0.7357158;-0.5956978;-0.3222829;-0.5211907;0.2790959;-0.6016989; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.7468872;-0.211861;-0.01229046;-0.8117353;18.45755;166.929;354.4727; True; True;0.7357158;-0.5956978;-0.3222829;-0.5211907;0.2790959;-0.6016989; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.7669067;-0.211861;-0.01229046;-0.8117353;18.45755;166.929;354.4727; True; True;0.7357158;-0.5956978;-0.3222829;-0.5211907;0.2790959;-0.6016989; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.7869263;-0.211861;-0.01229046;-0.8117353;18.45755;166.929;354.4727; True; True;0.7357158;-0.5956978;-0.3222829;-0.5211907;0.2790959;-0.6016989; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.8068848;-0.2470106;-0.01061545;-0.8442146;16.20438;167.014;355.1746; True; True;0.7357158;-0.5956978;-0.3222829;-0.5199298;0.3166334;-0.6134306; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.8269043;-0.2470106;-0.01061545;-0.8442146;16.20438;167.014;355.1746; True; True;0.7357158;-0.5956978;-0.3222829;-0.5199298;0.3166334;-0.6134306; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.8469238;-0.2470106;-0.01061545;-0.8442146;16.20438;167.014;355.1746; True; True;0.7357158;-0.5956978;-0.3222829;-0.5199298;0.3166334;-0.6134306; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.8668823;-0.2744967;-0.009452997;-0.868406;16.60172;166.6147;355.1769; True; True;0.7357158;-0.5956978;-0.3222829;-0.5138677;0.3099807;-0.6099991; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.8869019;-0.2744967;-0.009452997;-0.868406;16.60172;166.6147;355.1769; True; True;0.7357158;-0.5956978;-0.3222829;-0.5138677;0.3099807;-0.6099991; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.9069214;-0.2744967;-0.009452997;-0.868406;16.60172;166.6147;355.1769; True; True;0.7357158;-0.5956978;-0.3222829;-0.5138677;0.3099807;-0.6099991; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.9268799;-0.2987972;0.000342229;-0.893749;15.36415;166.6607;354.0538; True; True;0.7357158;-0.5956978;-0.3222829;-0.5132434;0.330745;-0.6159633; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.9468994;-0.2987972;0.000342229;-0.893749;15.36415;166.6607;354.0538; True; True;0.7357158;-0.5956978;-0.3222829;-0.5132434;0.330745;-0.6159633; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.9669189;-0.2987972;0.000342229;-0.893749;15.36415;166.6607;354.0538; True; True;0.7357158;-0.5956978;-0.3222829;-0.5132434;0.330745;-0.6159633; False; False; False; False
Fixed; Combined; Layout 1;Forward;0.9868774;-0.2987972;0.000342229;-0.893749;15.36415;166.6607;354.0538; True; False;0.7357158;-0.5956978;-0.3222829;-0.5132434;0.330745;-0.6159633; False; False; False; False
Fixed; Combined; Layout 1;Forward;1.006897;-0.3117083;-0.004500372;-0.9110803;14.37446;167.0362;353.1847; True; False;0.1985229;-0.2794974;-0.9393986;0.01878954;0.03123935;-0.004605293; False; False; False; False
Fixed; Combined; Layout 1;Forward;1.026917;-0.3117083;-0.004500372;-0.9110803;14.37446;167.0362;353.1847; True; False;0.1985229;-0.2794974;-0.9393986;0.01878954;0.03123935;-0.004605293; False; False; False; False
