Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 6; Forward; 0.003540039; 1.639704; 0.5887511; 2.962065; 5.061051; 76.73333; 0.1505926; True; True; 0.9431669; -0.2655261; 0.1998301; 0.02635092; 0.1773089; 0.02875875; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.02355957; 1.639704; 0.5887511; 2.962065; 5.061051; 76.73333; 0.1505926; True; True; 0.9431669; -0.2655261; 0.1998301; 0.02635092; 0.1773089; 0.02875875; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.0435791; 1.639704; 0.5887511; 2.962065; 5.061051; 76.73333; 0.1505926; True; True; 0.9431669; -0.2655261; 0.1998301; 0.02635092; 0.1773089; 0.02875875; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.06359863; 1.643757; 0.5878347; 2.961332; 4.934289; 76.81686; 0.1682239; True; True; 0.9428657; -0.2666463; 0.1997603; 0.02717209; 0.1806331; 0.02745873; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.08349609; 1.643757; 0.5878347; 2.961332; 4.934289; 76.81686; 0.1682239; True; True; 0.9428657; -0.2666463; 0.1997603; 0.02717209; 0.1806331; 0.02745873; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.1035156; 1.647828; 0.5871629; 2.960582; 4.97853; 76.84168; 0.214559; True; True; 0.9425169; -0.2677831; 0.199885; 0.02755433; 0.1810007; 0.02689856; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.1235352; 1.647828; 0.5871629; 2.960582; 4.97853; 76.84168; 0.214559; True; True; 0.9425169; -0.2677831; 0.199885; 0.02755433; 0.1810007; 0.02689856; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.1435547; 1.647828; 0.5871629; 2.960582; 4.97853; 76.84168; 0.214559; True; True; 0.9425169; -0.2677831; 0.199885; 0.02755433; 0.1810007; 0.02689856; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.1635742; 1.652454; 0.5869707; 2.960217; 5.029757; 76.91577; 0.2160003; True; True; 0.9421587; -0.2688785; 0.2001031; 0.02812892; 0.1812054; 0.02540836; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.1835938; 1.652454; 0.5869707; 2.960217; 5.029757; 76.91577; 0.2160003; True; True; 0.9421587; -0.2688785; 0.2001031; 0.02812892; 0.1812054; 0.02540836; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.2036133; 1.665732; 0.5853416; 2.96012; 4.903431; 76.95049; 0.348391; True; True; 0.9417968; -0.2699105; 0.2004173; 0.02881318; 0.184434; 0.02454942; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.2235107; 1.665732; 0.5853416; 2.96012; 4.903431; 76.95049; 0.348391; True; True; 0.9417968; -0.2699105; 0.2004173; 0.02881318; 0.184434; 0.02454942; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.2435303; 1.676529; 0.5836895; 2.960958; 4.913784; 76.8075; 0.4010176; True; True; 0.9414052; -0.2709229; 0.2008906; 0.02862537; 0.1852663; 0.02649413; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.2635498; 1.676529; 0.5836895; 2.960958; 4.913784; 76.8075; 0.4010176; True; True; 0.9414052; -0.2709229; 0.2008906; 0.02862537; 0.1852663; 0.02649413; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.2835693; 1.68489; 0.5834216; 2.962022; 4.950442; 76.81077; 0.05951896; True; True; 0.9410221; -0.2718685; 0.2014073; 0.02896774; 0.1855745; 0.02590954; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.3035889; 1.68489; 0.5834216; 2.962022; 4.950442; 76.81077; 0.05951896; True; True; 0.9410221; -0.2718685; 0.2014073; 0.02896774; 0.1855745; 0.02590954; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.3236084; 1.693429; 0.5822207; 2.964385; 5.055983; 76.94028; 359.7838; True; True; 0.9405801; -0.2729149; 0.2020557; 0.02976483; 0.1847858; 0.02303149; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.3435059; 1.693429; 0.5822207; 2.964385; 5.055983; 76.94028; 359.7838; True; True; 0.9405801; -0.2729149; 0.2020557; 0.02976483; 0.1847858; 0.02303149; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.3635254; 1.70666; 0.5802237; 2.968894; 5.307181; 76.90379; 359.7592; True; True; 0.9401289; -0.2739687; 0.202728; 0.02968657; 0.1814733; 0.02288745; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.3835449; 1.70666; 0.5802237; 2.968894; 5.307181; 76.90379; 359.7592; True; True; 0.9401289; -0.2739687; 0.202728; 0.02968657; 0.1814733; 0.02288745; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.4035645; 1.716972; 0.5785137; 2.972802; 5.346158; 76.82827; 359.6959; True; True; 0.939665; -0.2750058; 0.2034735; 0.02979088; 0.1818331; 0.02340564; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.423584; 1.716972; 0.5785137; 2.972802; 5.346158; 76.82827; 359.6959; True; True; 0.939665; -0.2750058; 0.2034735; 0.02979088; 0.1818331; 0.02340564; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.4436035; 1.727921; 0.5771893; 2.978024; 5.275019; 76.84693; 359.4702; True; True; 0.9392492; -0.276002; 0.204044; 0.03039247; 0.1840656; 0.02254559; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.463501; 1.727921; 0.5771893; 2.978024; 5.275019; 76.84693; 359.4702; True; True; 0.9392492; -0.276002; 0.204044; 0.03039247; 0.1840656; 0.02254559; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.4835205; 1.745205; 0.5741416; 2.987319; 5.126288; 76.89208; 359.3769; True; True; 0.9387476; -0.2808056; 0.1997526; 0.03130156; 0.1914543; 0.02612612; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.50354; 1.745205; 0.5741416; 2.987319; 5.126288; 76.89208; 359.3769; True; True; 0.9387476; -0.2808056; 0.1997526; 0.03130156; 0.1914543; 0.02612612; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.5235596; 1.758004; 0.5721406; 2.995219; 5.104089; 76.95155; 359.485; True; True; 0.9387476; -0.2808056; 0.1997526; 0.031569; 0.1918402; 0.02512708; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.5435791; 1.758004; 0.5721406; 2.995219; 5.104089; 76.95155; 359.485; True; True; 0.9387476; -0.2808056; 0.1997526; 0.031569; 0.1918402; 0.02512708; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.5635986; 1.758004; 0.5721406; 2.995219; 5.104089; 76.95155; 359.485; True; True; 0.9387476; -0.2808056; 0.1997526; 0.031569; 0.1918402; 0.02512708; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.5834961; 1.77812; 0.5681489; 3.008198; 5.24821; 77.0556; 359.5819; True; True; 0.9399601; -0.2775877; 0.1985449; 0.03054214; 0.1861172; 0.02452146; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.6035156; 1.77812; 0.5681489; 3.008198; 5.24821; 77.0556; 359.5819; True; True; 0.9399601; -0.2775877; 0.1985449; 0.03054214; 0.1861172; 0.02452146; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.6235352; 1.799604; 0.563405; 3.02385; 5.551239; 77.25012; 359.8055; True; True; 0.9411477; -0.2744218; 0.1973161; 0.02962083; 0.1776859; 0.02234417; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.6435547; 1.814258; 0.5606243; 3.035189; 5.593083; 77.28867; 0.03881206; True; True; 0.9423019; -0.2712843; 0.1961432; 0.02854502; 0.1738215; 0.02284828; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.6635742; 1.814258; 0.5606243; 3.035189; 5.593083; 77.28867; 0.03881206; True; True; 0.9423019; -0.2712843; 0.1961432; 0.02854502; 0.1738215; 0.02284828; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.6835938; 1.829708; 0.5571826; 3.047392; 5.640961; 77.40991; 0.1486776; True; True; 0.9433264; -0.2684615; 0.1950997; 0.02790207; 0.1701671; 0.02181904; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.7036133; 1.829708; 0.5571826; 3.047392; 5.640961; 77.40991; 0.1486776; True; True; 0.9433264; -0.2684615; 0.1950997; 0.02790207; 0.1701671; 0.02181904; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.7235107; 1.845448; 0.5535293; 3.060466; 5.67188; 77.51701; 0.4480467; True; True; 0.9443362; -0.2656235; 0.1940959; 0.02724409; 0.1667921; 0.02099551; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.7435303; 1.845448; 0.5535293; 3.060466; 5.67188; 77.51701; 0.4480467; True; True; 0.9443362; -0.2656235; 0.1940959; 0.02724409; 0.1667921; 0.02099551; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.7635498; 1.870278; 0.5491803; 3.080667; 5.558379; 77.66531; 1.04811; True; True; 0.9453341; -0.2627955; 0.1930854; 0.02698898; 0.1659356; 0.01953208; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.7835693; 1.870278; 0.5491803; 3.080667; 5.558379; 77.66531; 1.04811; True; True; 0.9453341; -0.2627955; 0.1930854; 0.02698898; 0.1659356; 0.01953208; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.8035889; 1.88795; 0.5482918; 3.094369; 5.445364; 77.84925; 1.302268; True; True; 0.9463113; -0.260034; 0.1920349; 0.02687418; 0.1651374; 0.01749973; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.8236084; 1.88795; 0.5482918; 3.094369; 5.445364; 77.84925; 1.302268; True; True; 0.9463113; -0.260034; 0.1920349; 0.02687418; 0.1651374; 0.01749973; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.8435059; 1.914867; 0.5463498; 3.114546; 5.276469; 78.13628; 1.519735; True; True; 0.947223; -0.257589; 0.1908312; 0.02726942; 0.1656274; 0.01388207; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.8635254; 1.914867; 0.5463498; 3.114546; 5.276469; 78.13628; 1.519735; True; True; 0.947223; -0.257589; 0.1908312; 0.02726942; 0.1656274; 0.01388207; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.8835449; 1.914867; 0.5463498; 3.114546; 5.276469; 78.13628; 1.519735; True; True; 0.947223; -0.257589; 0.1908312; 0.02726942; 0.1656274; 0.01388207; False; False; False; False
Fixed; HUD; Layout 6; Forward; 0.9035645; 1.943052; 0.551659; 3.133697; 4.707059; 78.31189; 1.624071; True; True; 0.9481141; -0.255193; 0.1896212; 0.02784806; 0.1731317; 0.01227961; False; False; False; False
