Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; No Cues; Layout 3; Backward; 9.155273E-05; -1.099654; 0.5989952; 17.40812; 8.357756; 189.0137; 358.6413; True; True; -0.1117992; -0.09793963; -0.9888927; -0.04320692; -0.04741397; 0.01173055; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.02011108; -1.099654; 0.5989952; 17.40812; 8.357756; 189.0137; 358.6413; True; True; -0.1117992; -0.09793963; -0.9888927; -0.04320692; -0.04741397; 0.01173055; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.0401001; -1.099654; 0.5989952; 17.40812; 8.357756; 189.0137; 358.6413; True; True; -0.1117992; -0.09793963; -0.9888927; -0.04320692; -0.04741397; 0.01173055; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.06011963; -1.098768; 0.5970927; 17.39345; 8.488893; 189.8069; 358.4693; True; True; -0.1130215; -0.09659557; -0.988886; -0.05544139; -0.05102211; 0.01429415; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.08010864; -1.098768; 0.5970927; 17.39345; 8.488893; 189.8069; 358.4693; True; True; -0.1130215; -0.09659557; -0.988886; -0.05544139; -0.05102211; 0.01429415; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.1000977; -1.098768; 0.5970927; 17.39345; 8.488893; 189.8069; 358.4693; True; True; -0.1130215; -0.09659557; -0.988886; -0.05544139; -0.05102211; 0.01429415; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.1201172; -1.099708; 0.5950646; 17.37025; 8.731189; 190.5067; 358.6162; True; True; -0.1144752; -0.09528526; -0.9888459; -0.06576125; -0.05651361; 0.0170064; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.1401062; -1.099708; 0.5950646; 17.37025; 8.731189; 190.5067; 358.6162; True; True; -0.1144752; -0.09528526; -0.9888459; -0.06576125; -0.05651361; 0.0170064; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.1600952; -1.099708; 0.5950646; 17.37025; 8.731189; 190.5067; 358.6162; True; True; -0.1144752; -0.09528526; -0.9888459; -0.06576125; -0.05651361; 0.0170064; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.1801147; -1.103006; 0.5918077; 17.35155; 9.416386; 190.5376; 358.8895; True; True; -0.115909; -0.09425007; -0.988778; -0.06450848; -0.06935804; 0.01889038; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.2001038; -1.103006; 0.5918077; 17.35155; 9.416386; 190.5376; 358.8895; True; True; -0.115909; -0.09425007; -0.988778; -0.06450848; -0.06935804; 0.01889038; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.2200928; -1.108827; 0.5901678; 17.33304; 10.03631; 190.7238; 359.1198; True; True; -0.1171684; -0.09325878; -0.9887236; -0.06605978; -0.08101343; 0.02122325; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.2401123; -1.108827; 0.5901678; 17.33304; 10.03631; 190.7238; 359.1198; True; True; -0.1171684; -0.09325878; -0.9887236; -0.06605978; -0.08101343; 0.02122325; True; True; True; True
Fixed; No Cues; Layout 3; Backward; 0.2601013; -1.11456; 0.5880978; 17.31939; 9.845562; 190.9463; 359.0169; True; True; -0.1183172; -0.09202238; -0.9887027; -0.06877538; -0.07897063; 0.02135706; True; True; True; True
