Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Combined; Layout 8; Backward; 0.01245117; 9.062058; -0.03621314; 14.73146; 14.92732; 224.9046; 0.3297066; True; True; -0.6684361; -0.2028423; -0.7155754; -0.01367027; -0.05475135; 0.03119475; True; False; False; False
Fixed; Combined; Layout 8; Backward; 0.0324707; 9.062058; -0.03621314; 14.73146; 14.92732; 224.9046; 0.3297066; True; True; -0.6684361; -0.2028423; -0.7155754; -0.01367027; -0.05475135; 0.03119475; True; False; False; False
Fixed; Combined; Layout 8; Backward; 0.0524292; 9.062058; -0.03621314; 14.73146; 14.92732; 224.9046; 0.3297066; True; True; -0.6684361; -0.2028423; -0.7155754; -0.01367027; -0.05475135; 0.03119475; True; False; False; False
Fixed; Combined; Layout 8; Backward; 0.07244873; 9.062058; -0.03621314; 14.73146; 14.92732; 224.9046; 0.3297066; True; True; -0.6684361; -0.2028423; -0.7155754; -0.01367027; -0.05475135; 0.03119475; True; False; False; False
Fixed; Combined; Layout 8; Backward; 0.09246826; 9.046795; -0.0382612; 14.7311; 12.88377; 229.3476; 0.8521832; True; True; -0.679542; -0.1978908; -0.7064431; -0.06003344; -0.02508309; 0.07137555; True; False; False; False
Fixed; Combined; Layout 8; Backward; 0.1124268; 9.046795; -0.0382612; 14.7311; 12.88377; 229.3476; 0.8521832; True; True; -0.679542; -0.1978908; -0.7064431; -0.06003344; -0.02508309; 0.07137555; True; False; False; False
Fixed; Combined; Layout 8; Backward; 0.1324463; 9.046795; -0.0382612; 14.7311; 12.88377; 229.3476; 0.8521832; True; True; -0.679542; -0.1978908; -0.7064431; -0.06003344; -0.02508309; 0.07137555; True; False; False; False
Fixed; Combined; Layout 8; Backward; 0.1524658; 9.046795; -0.0382612; 14.7311; 12.88377; 229.3476; 0.8521832; True; True; -0.679542; -0.1978908; -0.7064431; -0.06003344; -0.02508309; 0.07137555; True; False; False; False
Fixed; Combined; Layout 8; Backward; 0.1724243; 9.034041; -0.04609134; 14.72354; 12.73941; 232.6297; 1.266495; True; True; -0.6912604; -0.1929882; -0.6963581; -0.0839051; -0.02752902; 0.1043358; True; False; False; True
Fixed; Combined; Layout 8; Backward; 0.1924438; 9.034041; -0.04609134; 14.72354; 12.73941; 232.6297; 1.266495; True; True; -0.6912604; -0.1929882; -0.6963581; -0.0839051; -0.02752902; 0.1043358; True; False; False; True
Fixed; Combined; Layout 8; Backward; 0.2124634; 9.034041; -0.04609134; 14.72354; 12.73941; 232.6297; 1.266495; True; True; -0.6912604; -0.1929882; -0.6963581; -0.0839051; -0.02752902; 0.1043358; True; False; False; True
Fixed; Combined; Layout 8; Backward; 0.2324219; 9.034041; -0.04609134; 14.72354; 12.73941; 232.6297; 1.266495; True; True; -0.6912604; -0.1929882; -0.6963581; -0.0839051; -0.02752902; 0.1043358; True; False; False; True
