Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 6; Forward; 0.01123047; -0.3390397; 0.02623504; 1.323033; 4.251151; 11.19838; 1.643152; True; False; 0.1781169; -0.05548229; 0.9824439; 0.01555531; -0.01864622; -0.00418222; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.03125; -0.3390397; 0.02623504; 1.323033; 4.251151; 11.19838; 1.643152; True; False; 0.1781169; -0.05548229; 0.9824439; 0.01555531; -0.01864622; -0.00418222; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.05126953; -0.3390397; 0.02623504; 1.323033; 4.251151; 11.19838; 1.643152; True; False; 0.1781169; -0.05548229; 0.9824439; 0.01555531; -0.01864622; -0.00418222; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.07128906; -0.3370748; 0.02248532; 1.329355; 6.830113; 7.65349; 0.7880696; True; False; 0.1936723; -0.07412855; 0.9782618; -0.06143577; -0.04479729; 0.005796254; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.09118652; -0.3370748; 0.02248532; 1.329355; 6.830113; 7.65349; 0.7880696; True; False; 0.1936723; -0.07412855; 0.9782618; -0.06143577; -0.04479729; 0.005796254; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.1112061; -0.3370748; 0.02248532; 1.329355; 6.830113; 7.65349; 0.7880696; True; False; 0.1936723; -0.07412855; 0.9782618; -0.06143577; -0.04479729; 0.005796254; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.1312256; -0.3349904; 0.02096835; 1.333308; 8.349586; 6.994054; 0.7077098; True; False; 0.1322365; -0.1189258; 0.984058; -0.01176085; -0.02628668; -0.002019882; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.1512451; -0.3349904; 0.02096835; 1.333308; 8.349586; 6.994054; 0.7077098; True; False; 0.1322365; -0.1189258; 0.984058; -0.01176085; -0.02628668; -0.002019882; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.1712646; -0.3349904; 0.02096835; 1.333308; 8.349586; 6.994054; 0.7077098; True; False; 0.1322365; -0.1189258; 0.984058; -0.01176085; -0.02628668; -0.002019882; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.1912842; -0.3225279; 0.02433678; 1.348504; 8.464903; 6.693984; 1.182664; True; False; 0.1204757; -0.1452125; 0.9820381; -0.005179085; -0.001991019; 0.0003252625; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.2111816; -0.3225279; 0.02433678; 1.348504; 8.464903; 6.693984; 1.182664; True; False; 0.1204757; -0.1452125; 0.9820381; -0.005179085; -0.001991019; 0.0003252625; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.2312012; -0.3225279; 0.02433678; 1.348504; 8.464903; 6.693984; 1.182664; True; False; 0.1204757; -0.1452125; 0.9820381; -0.005179085; -0.001991019; 0.0003252625; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.2512207; -0.3176341; 0.02530101; 1.357269; 3.58852; 7.110493; 0.9441605; True; False; 0.1152966; -0.1472035; 0.9823634; 0.008243933; 0.08461298; 0.008000255; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.2712402; -0.3176341; 0.02530101; 1.357269; 3.58852; 7.110493; 0.9441605; True; False; 0.1152966; -0.1472035; 0.9823634; 0.008243933; 0.08461298; 0.008000255; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.2912598; -0.3176341; 0.02530101; 1.357269; 3.58852; 7.110493; 0.9441605; True; False; 0.1152966; -0.1472035; 0.9823634; 0.008243933; 0.08461298; 0.008000255; False; False; False; False
Fixed; Collocated; Layout 6; Forward; 0.3112793; -0.3153168; 0.0208508; 1.371799; 1.557258; 6.392455; 1.172661; True; False; 0.1235405; -0.06259055; 0.9903637; -0.01224358; 0.03541461; 0.003051817; False; False; False; False
