Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 7; Forward; 0.003051758; 1.021353; 0.1967165; 1.222321; 13.61328; 84.84321; 1.194414; True; True; 0.9483439; -0.2805944; 0.1480229; 0.01962882; 0.04522702; -0.06066647; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.02307129; 1.021353; 0.1967165; 1.222321; 13.61328; 84.84321; 1.194414; True; True; 0.9483439; -0.2805944; 0.1480229; 0.01962882; 0.04522702; -0.06066647; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.04309082; 1.021353; 0.1967165; 1.222321; 13.61328; 84.84321; 1.194414; True; True; 0.9483439; -0.2805944; 0.1480229; 0.01962882; 0.04522702; -0.06066647; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.06311035; 1.021353; 0.1967165; 1.222321; 13.61328; 84.84321; 1.194414; True; True; 0.9483439; -0.2805944; 0.1480229; 0.01962882; 0.04522702; -0.06066647; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.08312988; 1.025949; 0.1923676; 1.229517; 14.34482; 84.38261; 1.378895; True; True; 0.9483439; -0.2805944; 0.1480229; 0.01582587; 0.03283751; -0.05318984; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.1031494; 1.025949; 0.1923676; 1.229517; 14.34482; 84.38261; 1.378895; True; True; 0.9483439; -0.2805944; 0.1480229; 0.01582587; 0.03283751; -0.05318984; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.1231689; 1.025949; 0.1923676; 1.229517; 14.34482; 84.38261; 1.378895; True; True; 0.9483439; -0.2805944; 0.1480229; 0.01582587; 0.03283751; -0.05318984; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.1430664; 1.031342; 0.1894431; 1.236208; 15.04017; 84.02634; 1.470401; True; True; 0.9479522; -0.2818206; 0.1482019; 0.01254785; 0.02232438; -0.04769579; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.1630859; 1.031342; 0.1894431; 1.236208; 15.04017; 84.02634; 1.470401; True; True; 0.9479522; -0.2818206; 0.1482019; 0.01254785; 0.02232438; -0.04769579; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.1831055; 1.031342; 0.1894431; 1.236208; 15.04017; 84.02634; 1.470401; True; True; 0.9479522; -0.2818206; 0.1482019; 0.01254785; 0.02232438; -0.04769579; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.203125; 1.058867; 0.1879362; 1.263858; 17.11111; 82.3618; 1.203196; True; True; 0.9479522; -0.2818206; 0.1482019; -0.0006963015; -0.0124051; -0.02116814; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.2231445; 1.058867; 0.1879362; 1.263858; 17.11111; 82.3618; 1.203196; True; True; 0.9479522; -0.2818206; 0.1482019; -0.0006963015; -0.0124051; -0.02116814; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.2431641; 1.071621; 0.1881463; 1.272458; 16.26364; 81.71102; 0.5705429; True; True; 0.9479522; -0.2818206; 0.1482019; 0.002002656; 0.001763105; -0.009805173; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.2630615; 1.071621; 0.1881463; 1.272458; 16.26364; 81.71102; 0.5705429; True; True; 0.9479522; -0.2818206; 0.1482019; 0.002002656; 0.001763105; -0.009805173; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.2830811; 1.071621; 0.1881463; 1.272458; 16.26364; 81.71102; 0.5705429; True; True; 0.9479522; -0.2818206; 0.1482019; 0.002002656; 0.001763105; -0.009805173; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.3031006; 1.092032; 0.1869751; 1.284303; 14.09302; 81.42525; 359.8519; True; True; 0.9482726; -0.2807546; 0.1481749; 0.01078779; 0.03725772; -0.003563032; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.3231201; 1.092032; 0.1869751; 1.284303; 14.09302; 81.42525; 359.8519; True; True; 0.9482726; -0.2807546; 0.1481749; 0.01078779; 0.03725772; -0.003563032; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.3431396; 1.108691; 0.1806153; 1.292473; 13.86771; 81.68531; 0.8183436; True; True; 0.9486166; -0.2795545; 0.1482424; 0.01203024; 0.03987353; -0.007847637; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.3631592; 1.108691; 0.1806153; 1.292473; 13.86771; 81.68531; 0.8183436; True; True; 0.9486166; -0.2795545; 0.1482424; 0.01203024; 0.03987353; -0.007847637; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.3830566; 1.132856; 0.1758285; 1.304703; 14.19277; 81.44875; 1.670284; True; True; 0.9486166; -0.2795545; 0.1482424; 0.0100823; 0.03436947; -0.004087001; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.4030762; 1.132856; 0.1758285; 1.304703; 14.19277; 81.44875; 1.670284; True; True; 0.9486166; -0.2795545; 0.1482424; 0.0100823; 0.03436947; -0.004087001; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.4230957; 1.132856; 0.1758285; 1.304703; 14.19277; 81.44875; 1.670284; True; True; 0.9486166; -0.2795545; 0.1482424; 0.0100823; 0.03436947; -0.004087001; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.4431152; 1.160865; 0.1704196; 1.317102; 14.56104; 80.38124; 2.008565; True; True; 0.9486725; -0.2792616; 0.1484368; 0.00560081; 0.02785036; 0.01328784; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.4631348; 1.160865; 0.1704196; 1.317102; 14.56104; 80.38124; 2.008565; True; True; 0.9486725; -0.2792616; 0.1484368; 0.00560081; 0.02785036; 0.01328784; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.4831543; 1.194049; 0.1644727; 1.32955; 14.42074; 79.25172; 1.759195; True; True; 0.9486449; -0.2791697; 0.1487856; 0.00285697; 0.03012928; 0.0318332; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.5030518; 1.194049; 0.1644727; 1.32955; 14.42074; 79.25172; 1.759195; True; True; 0.9486449; -0.2791697; 0.1487856; 0.00285697; 0.03012928; 0.0318332; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.5230713; 1.220374; 0.1598829; 1.336692; 13.96672; 78.78458; 1.359578; True; True; 0.9486449; -0.2791697; 0.1487856; 0.003258646; 0.03781152; 0.03996268; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.5430908; 1.220374; 0.1598829; 1.336692; 13.96672; 78.78458; 1.359578; True; True; 0.9486449; -0.2791697; 0.1487856; 0.003258646; 0.03781152; 0.03996268; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.5631104; 1.26003; 0.152605; 1.347803; 13.68649; 79.07198; 1.371495; True; True; 0.9486449; -0.2791697; 0.1487856; 0.005340934; 0.04256076; 0.03540722; True; True; True; True
Fixed; Collocated; Layout 7; Forward; 0.5831299; 1.26003; 0.152605; 1.347803; 13.68649; 79.07198; 1.371495; True; True; 0.9486449; -0.2791697; 0.1487856; 0.005340934; 0.04256076; 0.03540722; True; True; True; True
