Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 4; Backward; 0.01567841; -5.843277; -0.02763295; 16.08128; 44.57393; 172.2848; 6.029341; True; True; -0.1930142; -0.9231732; -0.3324103; 0.2886457; 0.2213443; -0.3734869; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.03568268; -5.843277; -0.02763295; 16.08128; 44.57393; 172.2848; 6.029341; True; True; -0.1930142; -0.9231732; -0.3324103; 0.2886457; 0.2213443; -0.3734869; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.05567932; -5.843277; -0.02763295; 16.08128; 44.57393; 172.2848; 6.029341; True; True; -0.1930142; -0.9231732; -0.3324103; 0.2886457; 0.2213443; -0.3734869; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.07568359; -5.843277; -0.02763295; 16.08128; 44.57393; 172.2848; 6.029341; True; True; -0.1930142; -0.9231732; -0.3324103; 0.2886457; 0.2213443; -0.3734869; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.09568024; -5.8412; -0.0100066; 16.08121; 35.68456; 169.8018; 3.470842; True; True; -0.1930142; -0.9231732; -0.3324103; 0.3368247; 0.3398508; -0.4669982; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.1156769; -5.8412; -0.0100066; 16.08121; 35.68456; 169.8018; 3.470842; True; True; -0.1930142; -0.9231732; -0.3324103; 0.3368247; 0.3398508; -0.4669982; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.1356812; -5.8412; -0.0100066; 16.08121; 35.68456; 169.8018; 3.470842; True; True; -0.1930142; -0.9231732; -0.3324103; 0.3368247; 0.3398508; -0.4669982; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.1556778; -5.842978; 0.001698781; 16.07753; 29.26402; 169.2142; 1.7874; True; True; -0.1930142; -0.9231732; -0.3324103; 0.3562695; 0.4343385; -0.5245545; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.1756821; -5.842978; 0.001698781; 16.07753; 29.26402; 169.2142; 1.7874; True; True; -0.1930142; -0.9231732; -0.3324103; 0.3562695; 0.4343385; -0.5245545; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.1956787; -5.84592; 0.008208845; 16.06982; 25.69128; 169.4747; 1.401908; True; True; -0.1930142; -0.9231732; -0.3324103; 0.3576254; 0.4896513; -0.5535707; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.215683; -5.84592; 0.008208845; 16.06982; 25.69128; 169.4747; 1.401908; True; True; -0.1930142; -0.9231732; -0.3324103; 0.3576254; 0.4896513; -0.5535707; True; True; True; True
Fixed; Collocated; Layout 4; Backward; 0.2356796; -5.84592; 0.008208845; 16.06982; 25.69128; 169.4747; 1.401908; True; True; -0.1930142; -0.9231732; -0.3324103; 0.3576254; 0.4896513; -0.5535707; True; True; True; True
