Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 6; Backward; 0.01875305; 11.4279; 0.4000514; 12.96538; 7.570256; 225.6275; 2.622328; True; True; -0.7027158; -0.1138417; -0.7023037; -0.005862474; -0.01790004; 0.009078324; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.03875732; 11.4279; 0.4000514; 12.96538; 7.570256; 225.6275; 2.622328; True; True; -0.7027158; -0.1138417; -0.7023037; -0.005862474; -0.01790004; 0.009078324; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.0587616; 11.4279; 0.4000514; 12.96538; 7.570256; 225.6275; 2.622328; True; True; -0.7027158; -0.1138417; -0.7023037; -0.005862474; -0.01790004; 0.009078324; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.07876587; 11.42479; 0.3986176; 12.95932; 8.595174; 225.769; 2.965277; True; True; -0.7019725; -0.1225747; -0.7015768; -0.006513298; -0.02687734; 0.01185769; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.09875488; 11.42479; 0.3986176; 12.95932; 8.595174; 225.769; 2.965277; True; True; -0.7019725; -0.1225747; -0.7015768; -0.006513298; -0.02687734; 0.01185769; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.1187592; 11.42479; 0.3986176; 12.95932; 8.595174; 225.769; 2.965277; True; True; -0.7019725; -0.1225747; -0.7015768; -0.006513298; -0.02687734; 0.01185769; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.1387634; 11.4214; 0.3982261; 12.95335; 8.55787; 226.0506; 2.950088; True; True; -0.701431; -0.1306607; -0.7006585; -0.01050633; -0.01814753; 0.01436311; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.1587524; 11.4214; 0.3982261; 12.95335; 8.55787; 226.0506; 2.950088; True; True; -0.701431; -0.1306607; -0.7006585; -0.01050633; -0.01814753; 0.01436311; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.1787567; 11.40477; 0.3975009; 12.93584; 7.343976; 227.152; 3.185255; True; True; -0.7010786; -0.138115; -0.6995806; -0.02606696; 0.01028912; 0.02510291; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.198761; 11.40477; 0.3975009; 12.93584; 7.343976; 227.152; 3.185255; True; True; -0.7010786; -0.138115; -0.6995806; -0.02606696; 0.01028912; 0.02510291; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.2187653; 11.39353; 0.3971891; 12.92695; 6.979784; 227.93; 3.42507; True; True; -0.7007525; -0.1451794; -0.6984761; -0.03607339; 0.0236602; 0.03340375; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.2387543; 11.39353; 0.3971891; 12.92695; 6.979784; 227.93; 3.42507; True; True; -0.7007525; -0.1451794; -0.6984761; -0.03607339; 0.0236602; 0.03340375; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.2587585; 11.38608; 0.4000062; 12.92271; 7.387033; 227.8452; 3.526992; True; True; -0.7015524; -0.1489115; -0.6968856; -0.0336296; 0.02034034; 0.03132015; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.2787628; 11.38608; 0.4000062; 12.92271; 7.387033; 227.8452; 3.526992; True; True; -0.7015524; -0.1489115; -0.6968856; -0.0336296; 0.02034034; 0.03132015; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.2987671; 11.37716; 0.4021525; 12.92009; 7.152676; 227.3593; 3.069025; True; True; -0.7044798; -0.146137; -0.6945158; -0.02541173; 0.02162321; 0.02238858; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.3187561; 11.37716; 0.4021525; 12.92009; 7.152676; 227.3593; 3.069025; True; True; -0.7044798; -0.146137; -0.6945158; -0.02541173; 0.02162321; 0.02238858; False; False; False; False
Fixed; HUD; Layout 6; Backward; 0.3387604; 11.36127; 0.4029271; 12.91498; 5.465098; 227.4714; 2.294191; True; True; -0.7073593; -0.1431144; -0.6922147; -0.02623093; 0.04787502; 0.01932877; False; False; False; False
