Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; No Cues; Layout 4; Backward; 0.01165771; 12.45514; 0.4842038; 12.00792; 13.33531; 235.5463; 359.9114; True; True; -0.8009747; -0.3230789; -0.5040433; -0.001375914; 0.09242949; -0.04644215; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.03166199; 12.45514; 0.4842038; 12.00792; 13.33531; 235.5463; 359.9114; True; True; -0.8009747; -0.3230789; -0.5040433; -0.001375914; 0.09242949; -0.04644215; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.051651; 12.45514; 0.4842038; 12.00792; 13.33531; 235.5463; 359.9114; True; True; -0.8009747; -0.3230789; -0.5040433; -0.001375914; 0.09242949; -0.04644215; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.07165527; 12.45011; 0.4816883; 12.00633; 13.98446; 235.7868; 0.146026; True; True; -0.8006977; -0.3233684; -0.5042977; -0.001743436; 0.08170962; -0.04131144; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.09165955; 12.45011; 0.4816883; 12.00633; 13.98446; 235.7868; 0.146026; True; True; -0.8006977; -0.3233684; -0.5042977; -0.001743436; 0.08170962; -0.04131144; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.1116486; 12.44562; 0.4794857; 12.00424; 14.93105; 236.0062; 359.824; True; True; -0.8003844; -0.3240389; -0.5043646; -0.0007208586; 0.06638238; -0.0358609; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.1316528; 12.44562; 0.4794857; 12.00424; 14.93105; 236.0062; 359.824; True; True; -0.8003844; -0.3240389; -0.5043646; -0.0007208586; 0.06638238; -0.0358609; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.1516571; 12.43472; 0.4771725; 11.99683; 17.46139; 236.5382; 359.3117; True; True; -0.7998762; -0.325507; -0.5042255; 0.004065037; 0.02544397; -0.02174723; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.1716614; 12.43472; 0.4771725; 11.99683; 17.46139; 236.5382; 359.3117; True; True; -0.7998762; -0.325507; -0.5042255; 0.004065037; 0.02544397; -0.02174723; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.1916504; 12.42894; 0.4784413; 11.99092; 17.65481; 236.6654; 359.4381; True; True; -0.7979984; -0.3308578; -0.5037179; 0.001872957; 0.02757624; -0.01992798; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.2116547; 12.42389; 0.476027; 11.98532; 17.10307; 236.5731; 359.6204; True; True; -0.7960173; -0.3361622; -0.5033402; -0.0016644; 0.04207072; -0.02317077; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.2316589; 12.42389; 0.476027; 11.98532; 17.10307; 236.5731; 359.6204; True; True; -0.7960173; -0.3361622; -0.5033402; -0.0016644; 0.04207072; -0.02317077; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.2516479; 12.41637; 0.4726585; 11.97649; 17.41833; 236.596; 359.5683; True; True; -0.7940192; -0.3415794; -0.5028489; -0.002509832; 0.04223323; -0.02244526; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.2716522; 12.41637; 0.4726585; 11.97649; 17.41833; 236.596; 359.5683; True; True; -0.7940192; -0.3415794; -0.5028489; -0.002509832; 0.04223323; -0.02244526; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.2916565; 12.40818; 0.4706674; 11.96573; 18.10174; 236.4948; 359.7587; True; True; -0.7920813; -0.3465645; -0.502494; -0.000485003; 0.03585923; -0.02219713; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.3116608; 12.40818; 0.4706674; 11.96573; 18.10174; 236.4948; 359.7587; True; True; -0.7920813; -0.3465645; -0.502494; -0.000485003; 0.03585923; -0.02219713; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.3316498; 12.39459; 0.4666292; 11.94842; 18.85066; 236.3598; 0.1337087; True; True; -0.790197; -0.3513485; -0.5021383; 0.002317965; 0.02824584; -0.02212435; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.3516541; 12.38847; 0.4647096; 11.94085; 18.84725; 236.2512; 0.2914712; True; True; -0.7882965; -0.3561374; -0.5017517; 0.001396954; 0.03309119; -0.02401429; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.3716583; 12.37736; 0.4613773; 11.92681; 19.41106; 236.1424; 0.415372; True; True; -0.7864935; -0.3605813; -0.5014073; 0.003270984; 0.02823818; -0.02405536; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.3916473; 12.37736; 0.4613773; 11.92681; 19.41106; 236.1424; 0.415372; True; True; -0.7864935; -0.3605813; -0.5014073; 0.003270984; 0.02823818; -0.02405536; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.4116516; 12.37076; 0.458965; 11.91819; 19.28727; 235.9899; 0.4429775; True; True; -0.784388; -0.3650242; -0.5014907; 0.00197345; 0.03471947; -0.02645439; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.4316559; 12.37076; 0.458965; 11.91819; 19.28727; 235.9899; 0.4429775; True; True; -0.784388; -0.3650242; -0.5014907; 0.00197345; 0.03471947; -0.02645439; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.4516602; 12.35122; 0.4515831; 11.89272; 19.67383; 235.5837; 0.4293985; True; True; -0.7821708; -0.3692895; -0.5018307; 0.005375147; 0.03262421; -0.03037727; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.4716492; 12.34411; 0.4484636; 11.8827; 19.8108; 235.3326; 0.2629209; True; True; -0.7798507; -0.3734508; -0.5023617; 0.006059349; 0.03453556; -0.03278655; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.4916534; 12.34411; 0.4484636; 11.8827; 19.8108; 235.3326; 0.2629209; True; True; -0.7798507; -0.3734508; -0.5023617; 0.006059349; 0.03453556; -0.03278655; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.5116577; 12.33112; 0.4432095; 11.86343; 20.24943; 235.036; 0.1004796; True; True; -0.7775254; -0.377434; -0.5029889; 0.008663177; 0.03132635; -0.03465444; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.531662; 12.33112; 0.4432095; 11.86343; 20.24943; 235.036; 0.1004796; True; True; -0.7775254; -0.377434; -0.5029889; 0.008663177; 0.03132635; -0.03465444; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.551651; 12.31189; 0.4362645; 11.83298; 20.33756; 234.6096; 0.06887927; True; True; -0.7752452; -0.3811302; -0.5037208; 0.01084048; 0.03357995; -0.03932047; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.5716553; 12.2987; 0.4318632; 11.81091; 19.9509; 234.1858; 0.1985676; True; True; -0.7729527; -0.3847796; -0.5044689; 0.010701; 0.04356486; -0.04557228; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.5916595; 12.2987; 0.4318632; 11.81091; 19.9509; 234.1858; 0.1985676; True; True; -0.7729527; -0.3847796; -0.5044689; 0.010701; 0.04356486; -0.04557228; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.6116486; 12.28586; 0.4284341; 11.78902; 20.12454; 233.8192; 0.148126; True; True; -0.7715032; -0.3866715; -0.5052406; 0.01362401; 0.04260957; -0.04905248; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.6316528; 12.28586; 0.4284341; 11.78902; 20.12454; 233.8192; 0.148126; True; True; -0.7715032; -0.3866715; -0.5052406; 0.01362401; 0.04260957; -0.04905248; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.6516571; 12.27192; 0.4275109; 11.76564; 20.02366; 233.811; 0.08908934; True; True; -0.7725739; -0.3817968; -0.5073074; 0.01428694; 0.03938875; -0.0474515; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.6716614; 12.25907; 0.4246995; 11.74161; 19.54833; 234.0664; 0.1363017; True; True; -0.7735718; -0.3770875; -0.509305; 0.01054579; 0.04248562; -0.04371667; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.6916504; 12.25907; 0.4246995; 11.74161; 19.54833; 234.0664; 0.1363017; True; True; -0.7735718; -0.3770875; -0.509305; 0.01054579; 0.04248562; -0.04371667; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.7116547; 12.24264; 0.4287535; 11.71574; 19.23025; 234.4723; 0.5777079; True; True; -0.7746304; -0.3724553; -0.5111015; 0.006205976; 0.04309025; -0.03757161; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.7316589; 12.24264; 0.4287535; 11.71574; 19.23025; 234.4723; 0.5777079; True; True; -0.7746304; -0.3724553; -0.5111015; 0.006205976; 0.04309025; -0.03757161; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.7516479; 12.22357; 0.4351019; 11.68869; 17.89574; 235.0421; 0.7206523; True; True; -0.7758307; -0.3678856; -0.5125883; -0.004089475; 0.06059983; -0.03266412; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.7716522; 12.20776; 0.4426507; 11.66411; 18.75089; 235.4763; 0.8828651; True; True; -0.777038; -0.3636348; -0.5137914; -0.003126502; 0.04218072; -0.02287507; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.7916565; 12.20776; 0.4426507; 11.66411; 18.75089; 235.4763; 0.8828651; True; True; -0.777038; -0.3636348; -0.5137914; -0.003126502; 0.04218072; -0.02287507; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.8116608; 12.19586; 0.4421176; 11.64554; 19.68854; 235.4582; 1.374469; True; True; -0.7781789; -0.3598047; -0.5147604; 0.002622366; 0.02289781; -0.019099; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.8316498; 12.19586; 0.4421176; 11.64554; 19.68854; 235.4582; 1.374469; True; True; -0.7781789; -0.3598047; -0.5147604; 0.002622366; 0.02289781; -0.019099; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.8516541; 12.18036; 0.4446066; 11.62888; 19.43653; 235.4662; 1.86106; True; True; -0.7792614; -0.3563383; -0.5155334; 0.002417088; 0.02357593; -0.01905245; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.8716583; 12.15977; 0.4507533; 11.61045; 17.46268; 235.6899; 1.706065; True; True; -0.7804044; -0.3528585; -0.5161974; -0.007526517; 0.05277389; -0.02149564; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.8916473; 12.15977; 0.4507533; 11.61045; 17.46268; 235.6899; 1.706065; True; True; -0.7804044; -0.3528585; -0.5161974; -0.007526517; 0.05277389; -0.02149564; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.9116516; 12.14064; 0.4494437; 11.59413; 17.3529; 236.2846; 1.097348; True; True; -0.781654; -0.3493942; -0.5166631; -0.0122925; 0.05113795; -0.01314092; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.9316559; 12.14064; 0.4494437; 11.59413; 17.3529; 236.2846; 1.097348; True; True; -0.781654; -0.3493942; -0.5166631; -0.0122925; 0.05113795; -0.01314092; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.9516602; 12.12287; 0.4471718; 11.57952; 17.47978; 236.9279; 0.6388256; True; True; -0.7829371; -0.3462701; -0.5168235; -0.01635152; 0.04590082; -0.00367254; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.9716492; 12.10394; 0.4504584; 11.5644; 18.15825; 237.7008; 0.3370486; True; True; -0.7841415; -0.3433993; -0.516913; -0.0190329; 0.03175673; 0.009182513; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 0.9916534; 12.10394; 0.4504584; 11.5644; 18.15825; 237.7008; 0.3370486; True; True; -0.7841415; -0.3433993; -0.516913; -0.0190329; 0.03175673; 0.009182513; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.011658; 12.08384; 0.4528437; 11.54957; 17.93134; 238.3775; 0.2208889; True; True; -0.7856076; -0.3405787; -0.5165527; -0.02455205; 0.03270173; 0.01770085; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.031662; 12.08384; 0.4528437; 11.54957; 17.93134; 238.3775; 0.2208889; True; True; -0.7856076; -0.3405787; -0.5165527; -0.02455205; 0.03270173; 0.01770085; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.051651; 12.0619; 0.4549335; 11.5349; 17.05076; 239.1388; 0.3874508; True; True; -0.7874799; -0.3373936; -0.5157917; -0.03320146; 0.04417488; 0.0253787; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.071655; 12.03819; 0.4549816; 11.52022; 15.86948; 239.8544; 0.5685712; True; True; -0.7895178; -0.3340764; -0.5148346; -0.04227632; 0.06062961; 0.03177577; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.09166; 12.03819; 0.4549816; 11.52022; 15.86948; 239.8544; 0.5685712; True; True; -0.7895178; -0.3340764; -0.5148346; -0.04227632; 0.06062961; 0.03177577; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.111649; 12.01434; 0.4512118; 11.50635; 14.57224; 240.3543; 0.719604; True; True; -0.7917611; -0.3304218; -0.5137469; -0.04938132; 0.07882139; 0.03502321; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.131653; 12.01434; 0.4512118; 11.50635; 14.57224; 240.3543; 0.719604; True; True; -0.7917611; -0.3304218; -0.5137469; -0.04938132; 0.07882139; 0.03502321; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.151657; 11.9893; 0.4479215; 11.49381; 13.97651; 240.5707; 0.8812109; True; True; -0.7939432; -0.3267394; -0.5127333; -0.05123425; 0.08521539; 0.03593051; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.171661; 11.9893; 0.4479215; 11.49381; 13.97651; 240.5707; 0.8812109; True; True; -0.7939432; -0.3267394; -0.5127333; -0.05123425; 0.08521539; 0.03593051; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.19165; 11.96535; 0.4407813; 11.48361; 13.75849; 240.685; 1.09137; True; True; -0.7958556; -0.3234386; -0.5118606; -0.0510667; 0.08560877; 0.03629863; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.211655; 11.94117; 0.4395264; 11.47507; 15.13158; 240.6755; 1.18626; True; True; -0.7974223; -0.3207722; -0.5110996; -0.04420894; 0.05973566; 0.0383243; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.231659; 11.94117; 0.4395264; 11.47507; 15.13158; 240.6755; 1.18626; True; True; -0.7974223; -0.3207722; -0.5110996; -0.04420894; 0.05973566; 0.0383243; True; True; True; True
Fixed; No Cues; Layout 4; Backward; 1.251648; 11.90593; 0.4450483; 11.46385; 16.9213; 240.7204; 1.199309; True; True; -0.7988803; -0.3190794; -0.509881; -0.03560001; 0.02802157; 0.04198319; True; True; True; True
