Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Collocated; Layout 3; Backward; 0.01153564; 12.65968; 0.4635153; 12.14413; 6.922534; 236.72; 2.262542; True; True; -0.7894915; -0.2299234; -0.569068; -0.04041302; 0.1093961; 0.02433723; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.03155518; 12.65968; 0.4635153; 12.14413; 6.922534; 236.72; 2.262542; True; True; -0.7894915; -0.2299234; -0.569068; -0.04041302; 0.1093961; 0.02433723; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.05151367; 12.65968; 0.4635153; 12.14413; 6.922534; 236.72; 2.262542; True; True; -0.7894915; -0.2299234; -0.569068; -0.04041302; 0.1093961; 0.02433723; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.0715332; 12.65487; 0.4595341; 12.13422; 8.603318; 236.8396; 2.322162; True; True; -0.7900368; -0.2318119; -0.5675431; -0.03768587; 0.0822193; 0.02671295; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.09155273; 12.65487; 0.4595341; 12.13422; 8.603318; 236.8396; 2.322162; True; True; -0.7900368; -0.2318119; -0.5675431; -0.03768587; 0.0822193; 0.02671295; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.1115112; 12.64905; 0.4556372; 12.12409; 9.446649; 236.8856; 2.445954; True; True; -0.7906095; -0.2339347; -0.5658721; -0.03561354; 0.06980556; 0.0269686; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.1315308; 12.64905; 0.4556372; 12.12409; 9.446649; 236.8856; 2.445954; True; True; -0.7906095; -0.2339347; -0.5658721; -0.03561354; 0.06980556; 0.0269686; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.1515503; 12.64905; 0.4556372; 12.12409; 9.446649; 236.8856; 2.445954; True; True; -0.7906095; -0.2339347; -0.5658721; -0.03561354; 0.06980556; 0.0269686; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.1715088; 12.62705; 0.4434974; 12.09233; 11.62685; 237.3719; 3.183619; True; True; -0.7912868; -0.2358128; -0.5641432; -0.03362042; 0.03427589; 0.03602326; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.1915283; 12.62705; 0.4434974; 12.09233; 11.62685; 237.3719; 3.183619; True; True; -0.7912868; -0.2358128; -0.5641432; -0.03362042; 0.03427589; 0.03602326; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.2115479; 12.62705; 0.4434974; 12.09233; 11.62685; 237.3719; 3.183619; True; True; -0.7912868; -0.2358128; -0.5641432; -0.03362042; 0.03427589; 0.03602326; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.2315063; 12.61048; 0.4379615; 12.07616; 12.59645; 237.8596; 3.816782; True; True; -0.7921535; -0.2371929; -0.5623454; -0.03421313; 0.01911022; 0.04315567; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.2515259; 12.61048; 0.4379615; 12.07616; 12.59645; 237.8596; 3.816782; True; True; -0.7921535; -0.2371929; -0.5623454; -0.03421313; 0.01911022; 0.04315567; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.2715454; 12.58835; 0.4369369; 12.05723; 12.90993; 238.0113; 4.228521; True; True; -0.7931616; -0.238441; -0.5603932; -0.03355151; 0.01502198; 0.04403174; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.2915649; 12.58835; 0.4369369; 12.05723; 12.90993; 238.0113; 4.228521; True; True; -0.7931616; -0.238441; -0.5603932; -0.03355151; 0.01502198; 0.04403174; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.3115234; 12.56337; 0.4297219; 12.0382; 13.52437; 238.1989; 4.370451; True; True; -0.7942199; -0.2395589; -0.558414; -0.03209621; 0.005699962; 0.04605484; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.331543; 12.56337; 0.4297219; 12.0382; 13.52437; 238.1989; 4.370451; True; True; -0.7942199; -0.2395589; -0.558414; -0.03209621; 0.005699962; 0.04605484; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.3515625; 12.54284; 0.4241626; 12.02278; 13.44134; 238.3818; 4.55565; True; True; -0.7953373; -0.2403035; -0.5565006; -0.03289735; 0.007853791; 0.04660374; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.371521; 12.54284; 0.4241626; 12.02278; 13.44134; 238.3818; 4.55565; True; True; -0.7953373; -0.2403035; -0.5565006; -0.03289735; 0.007853791; 0.04660374; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.3915405; 12.52199; 0.4164962; 12.00891; 13.42157; 238.2441; 5.070507; True; True; -0.7965409; -0.2403874; -0.5547401; -0.03053433; 0.008273274; 0.04281235; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.4115601; 12.52199; 0.4164962; 12.00891; 13.42157; 238.2441; 5.070507; True; True; -0.7965409; -0.2403874; -0.5547401; -0.03053433; 0.008273274; 0.04281235; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.4315186; 12.48811; 0.4096344; 11.99294; 14.04371; 238.3564; 5.621963; True; True; -0.7975571; -0.2405723; -0.5531977; -0.0283255; -0.002089828; 0.04424465; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.4515381; 12.48811; 0.4096344; 11.99294; 14.04371; 238.3564; 5.621963; True; True; -0.7975571; -0.2405723; -0.5531977; -0.0283255; -0.002089828; 0.04424465; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.4715576; 12.46433; 0.4031751; 11.98388; 14.32781; 238.6523; 5.826658; True; True; -0.7960145; -0.2435815; -0.5541019; -0.03144813; -0.003887817; 0.05005348; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.4915161; 12.44027; 0.3967538; 11.97584; 14.33896; 238.7357; 5.953971; True; True; -0.7944612; -0.2464673; -0.5550543; -0.03369284; -0.001190588; 0.0522356; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.5115356; 12.44027; 0.3967538; 11.97584; 14.33896; 238.7357; 5.953971; True; True; -0.7944612; -0.2464673; -0.5550543; -0.03369284; -0.001190588; 0.0522356; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.5315552; 12.44027; 0.3967538; 11.97584; 14.33896; 238.7357; 5.953971; True; True; -0.7944612; -0.2464673; -0.5550543; -0.03369284; -0.001190588; 0.0522356; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.5515137; 12.41517; 0.3898497; 11.96875; 14.75677; 238.6684; 6.096047; True; True; -0.7927728; -0.2494703; -0.5561258; -0.03322548; -0.005245969; 0.05328703; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.5715332; 12.41517; 0.3898497; 11.96875; 14.75677; 238.6684; 6.096047; True; True; -0.7927728; -0.2494703; -0.5561258; -0.03322548; -0.005245969; 0.05328703; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.5915527; 12.41517; 0.3898497; 11.96875; 14.75677; 238.6684; 6.096047; True; True; -0.7927728; -0.2494703; -0.5561258; -0.03322548; -0.005245969; 0.05328703; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.6115112; 12.3774; 0.3878542; 11.9611; 16.67138; 237.9459; 6.327137; True; True; -0.7909426; -0.2526095; -0.5573134; -0.02097905; -0.03427252; 0.04890221; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.6315308; 12.3774; 0.3878542; 11.9611; 16.67138; 237.9459; 6.327137; True; True; -0.7909426; -0.2526095; -0.5573134; -0.02097905; -0.03427252; 0.04890221; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.6515503; 12.33627; 0.3956255; 11.94729; 16.13427; 237.0418; 6.177578; True; True; -0.7891074; -0.2552896; -0.5586921; -0.0169124; -0.02259973; 0.03609312; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.6715088; 12.33627; 0.3956255; 11.94729; 16.13427; 237.0418; 6.177578; True; True; -0.7891074; -0.2552896; -0.5586921; -0.0169124; -0.02259973; 0.03609312; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.6915283; 12.33627; 0.3956255; 11.94729; 16.13427; 237.0418; 6.177578; True; True; -0.7891074; -0.2552896; -0.5586921; -0.0169124; -0.02259973; 0.03609312; True; True; True; True
Fixed; Collocated; Layout 3; Backward; 0.7115479; 12.28173; 0.4118494; 11.9239; 17.21207; 236.2045; 6.46007; True; True; -0.7871237; -0.2579981; -0.5602439; -0.006688118; -0.03791106; 0.02892452; True; True; True; True
