Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Combined; Layout 1; Forward; 0.008239746; -2.436782; 0.06918974; 1.163531; 9.340496; 352.3701; 2.827872; True; False; -0.1330056; -0.1605238; 0.9780294; 0.001993388; -0.00177747; -2.425909E-05; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.02825928; -2.436782; 0.06918974; 1.163531; 9.340496; 352.3701; 2.827872; True; False; -0.1330056; -0.1605238; 0.9780294; 0.001993388; -0.00177747; -2.425909E-05; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.04821777; -2.436782; 0.06918974; 1.163531; 9.340496; 352.3701; 2.827872; True; False; -0.1330056; -0.1605238; 0.9780294; 0.001993388; -0.00177747; -2.425909E-05; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.0682373; -2.43538; 0.06910681; 1.164419; 9.381727; 352.9406; 2.764141; True; False; -0.1327641; -0.1607393; 0.9780269; 0.01151031; -0.002272055; 0.001118064; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.08825684; -2.43538; 0.06910681; 1.164419; 9.381727; 352.9406; 2.764141; True; False; -0.1327641; -0.1607393; 0.9780269; 0.01151031; -0.002272055; 0.001118064; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.1082153; -2.43538; 0.06910681; 1.164419; 9.381727; 352.9406; 2.764141; True; False; -0.1327641; -0.1607393; 0.9780269; 0.01151031; -0.002272055; 0.001118064; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.1282349; -2.433688; 0.06911793; 1.165094; 9.42342; 354.2458; 2.821015; True; False; -0.1313933; -0.1610112; 0.9781672; 0.03248509; -0.002718002; 0.003367245; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.1482544; -2.433688; 0.06911793; 1.165094; 9.42342; 354.2458; 2.821015; True; False; -0.1313933; -0.1610112; 0.9781672; 0.03248509; -0.002718002; 0.003367245; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.1682129; -2.433688; 0.06911793; 1.165094; 9.42342; 354.2458; 2.821015; True; False; -0.1313933; -0.1610112; 0.9781672; 0.03248509; -0.002718002; 0.003367245; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.1882324; -2.425347; 0.06893083; 1.168011; 9.418494; 358.3315; 2.847232; True; False; -0.1273632; -0.1613585; 0.9786429; 0.09863803; -0.002285913; 0.00745815; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.208252; -2.425347; 0.06893083; 1.168011; 9.418494; 358.3315; 2.847232; True; False; -0.1273632; -0.1613585; 0.9786429; 0.09863803; -0.002285913; 0.00745815; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.2282104; -2.418687; 0.06828623; 1.168815; 9.47198; 2.134305; 2.985195; True; False; -0.1089452; -0.161908; 0.9807736; 0.1456794; -0.002657205; 0.004908383; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.24823; -2.418687; 0.06828623; 1.168815; 9.47198; 2.134305; 2.985195; True; False; -0.1089452; -0.161908; 0.9807736; 0.1456794; -0.002657205; 0.004908383; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.2682495; -2.418687; 0.06828623; 1.168815; 9.47198; 2.134305; 2.985195; True; False; -0.1089452; -0.161908; 0.9807736; 0.1456794; -0.002657205; 0.004908383; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.288269; -2.413125; 0.06817135; 1.168926; 9.646844; 6.525812; 3.268034; True; False; -0.06589587; -0.1630578; 0.9844135; 0.1779396; -0.004517019; -0.004941761; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.3082275; -2.413125; 0.06817135; 1.168926; 9.646844; 6.525812; 3.268034; True; False; -0.06589587; -0.1630578; 0.9844135; 0.1779396; -0.004517019; -0.004941761; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.3282471; -2.406996; 0.0665072; 1.169069; 10.01036; 11.09119; 3.271543; True; False; 0.01245935; -0.1656942; 0.9860985; 0.1769832; -0.00813213; -0.01971555; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.3482666; -2.406996; 0.0665072; 1.169069; 10.01036; 11.09119; 3.271543; True; False; 0.01245935; -0.1656942; 0.9860985; 0.1769832; -0.00813213; -0.01971555; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.3682251; -2.406996; 0.0665072; 1.169069; 10.01036; 11.09119; 3.271543; True; False; 0.01245935; -0.1656942; 0.9860985; 0.1769832; -0.00813213; -0.01971555; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.3882446; -2.40505; 0.0668804; 1.169666; 10.26024; 12.04072; 2.892111; True; False; 0.1210763; -0.171312; 0.9777488; 0.08419473; -0.006807506; -0.01538849; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.4082642; -2.40505; 0.0668804; 1.169666; 10.26024; 12.04072; 2.892111; True; False; 0.1210763; -0.171312; 0.9777488; 0.08419473; -0.006807506; -0.01538849; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.4282227; -2.40505; 0.0668804; 1.169666; 10.26024; 12.04072; 2.892111; True; False; 0.1210763; -0.171312; 0.9777488; 0.08419473; -0.006807506; -0.01538849; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.4482422; -2.40505; 0.0668804; 1.169666; 10.26024; 12.04072; 2.892111; True; False; 0.1210763; -0.171312; 0.9777488; 0.08419473; -0.006807506; -0.01538849; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.4682617; -2.403747; 0.06667018; 1.171527; 10.44321; 11.06944; 2.143176; True; False; 0.1845365; -0.1765541; 0.9668376; 0.004281566; -0.004706711; -0.00169915; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.4882202; -2.403747; 0.06667018; 1.171527; 10.44321; 11.06944; 2.143176; True; False; 0.1845365; -0.1765541; 0.9668376; 0.004281566; -0.004706711; -0.00169915; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.5082397; -2.403747; 0.06667018; 1.171527; 10.44321; 11.06944; 2.143176; True; False; 0.1845365; -0.1765541; 0.9668376; 0.004281566; -0.004706711; -0.00169915; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.5282593; -2.399704; 0.06605817; 1.174263; 10.42694; 9.939663; 1.484895; True; False; 0.1882107; -0.180593; 0.9653823; -0.01845011; -0.0003885925; 0.003342152; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.5482178; -2.399704; 0.06605817; 1.174263; 10.42694; 9.939663; 1.484895; True; False; 0.1882107; -0.180593; 0.9653823; -0.01845011; -0.0003885925; 0.003342152; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.5682373; -2.399704; 0.06605817; 1.174263; 10.42694; 9.939663; 1.484895; True; False; 0.1882107; -0.180593; 0.9653823; -0.01845011; -0.0003885925; 0.003342152; False; False; False; True
Fixed; Combined; Layout 1; Forward; 0.5882568; -2.394796; 0.06580214; 1.17645; 10.62175; 9.760269; 1.454842; True; False; 0.1708587; -0.1809603; 0.9685353; -0.004237324; -0.003364146; 0.0001038313; False; False; False; True
