Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 8; Backward; 0.01098633; -4.434779; 0.03495382; 16.17623; 14.75145; 177.3394; 0.1427324; True; False; 0.05181012; -0.250848; -0.966639; -0.006920725; -0.003778398; 0.000641942; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.03100586; -4.434779; 0.03495382; 16.17623; 14.75145; 177.3394; 0.1427324; True; False; 0.05181012; -0.250848; -0.966639; -0.006920725; -0.003778398; 0.000641942; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.05102539; -4.434779; 0.03495382; 16.17623; 14.75145; 177.3394; 0.1427324; True; False; 0.05181012; -0.250848; -0.966639; -0.006920725; -0.003778398; 0.000641942; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.07080078; -4.434779; 0.03495382; 16.17623; 14.75145; 177.3394; 0.1427324; True; False; 0.05181012; -0.250848; -0.966639; -0.006920725; -0.003778398; 0.000641942; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.09082031; -4.434779; 0.03495382; 16.17623; 14.75145; 177.3394; 0.1427324; True; False; 0.05181012; -0.250848; -0.966639; -0.006920725; -0.003778398; 0.000641942; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.1108398; -4.420351; 0.03442276; 16.17268; 14.89345; 177.7814; 0.02303258; True; False; 0.04648046; -0.2537593; -0.96615; -0.009068828; -0.003263116; 0.0004689097; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.1308594; -4.420351; 0.03442276; 16.17268; 14.89345; 177.7814; 0.02303258; True; False; 0.04648046; -0.2537593; -0.96615; -0.009068828; -0.003263116; 0.0004689097; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.1508789; -4.420351; 0.03442276; 16.17268; 14.89345; 177.7814; 0.02303258; True; False; 0.04648046; -0.2537593; -0.96615; -0.009068828; -0.003263116; 0.0004689097; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.1708984; -4.420351; 0.03442276; 16.17268; 14.89345; 177.7814; 0.02303258; True; False; 0.04648046; -0.2537593; -0.96615; -0.009068828; -0.003263116; 0.0004689097; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.190918; -4.408442; 0.03091964; 16.16843; 15.74247; 178.451; 359.8653; True; False; 0.03959894; -0.2562377; -0.9658024; -0.01358128; -0.01507634; 0.003663242; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.2109375; -4.408442; 0.03091964; 16.16843; 15.74247; 178.451; 359.8653; True; False; 0.03959894; -0.2562377; -0.9658024; -0.01358128; -0.01507634; 0.003663242; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.230957; -4.408442; 0.03091964; 16.16843; 15.74247; 178.451; 359.8653; True; False; 0.03959894; -0.2562377; -0.9658024; -0.01358128; -0.01507634; 0.003663242; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.2509766; -4.408442; 0.03091964; 16.16843; 15.74247; 178.451; 359.8653; True; False; 0.03959894; -0.2562377; -0.9658024; -0.01358128; -0.01507634; 0.003663242; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.2709961; -4.393902; 0.02075586; 16.16314; 18.83598; 179.6643; 359.6732; True; False; 0.02942071; -0.2675484; -0.9630952; -0.02387488; -0.0553118; 0.01666474; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.2910156; -4.393902; 0.02075586; 16.16314; 18.83598; 179.6643; 359.6732; True; False; 0.02942071; -0.2675484; -0.9630952; -0.02387488; -0.0553118; 0.01666474; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.3110352; -4.393902; 0.02075586; 16.16314; 18.83598; 179.6643; 359.6732; True; False; 0.02942071; -0.2675484; -0.9630952; -0.02387488; -0.0553118; 0.01666474; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.3308105; -4.393902; 0.02075586; 16.16314; 18.83598; 179.6643; 359.6732; True; False; 0.02942071; -0.2675484; -0.9630952; -0.02387488; -0.0553118; 0.01666474; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.3508301; -4.393902; 0.02075586; 16.16314; 18.83598; 179.6643; 359.6732; True; False; 0.02942071; -0.2675484; -0.9630952; -0.02387488; -0.0553118; 0.01666474; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.3708496; -4.381913; 0.01624323; 16.15929; 19.32116; 181.6548; 359.561; True; False; 0.01155167; -0.3090697; -0.9509692; -0.0388033; -0.02179322; 0.007683992; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.3908691; -4.381913; 0.01624323; 16.15929; 19.32116; 181.6548; 359.561; True; False; 0.01155167; -0.3090697; -0.9509692; -0.0388033; -0.02179322; 0.007683992; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.4108887; -4.381913; 0.01624323; 16.15929; 19.32116; 181.6548; 359.561; True; False; 0.01155167; -0.3090697; -0.9509692; -0.0388033; -0.02179322; 0.007683992; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.4309082; -4.381913; 0.01624323; 16.15929; 19.32116; 181.6548; 359.561; True; False; 0.01155167; -0.3090697; -0.9509692; -0.0388033; -0.02179322; 0.007683992; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.4509277; -4.374433; 0.01831959; 16.1551; 19.98289; 183.8963; 0.08637384; True; False; -0.01776271; -0.3255931; -0.9453431; -0.04609739; -0.01614645; 0.00772059; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.4709473; -4.374433; 0.01831959; 16.1551; 19.98289; 183.8963; 0.08637384; True; False; -0.01776271; -0.3255931; -0.9453431; -0.04609739; -0.01614645; 0.00772059; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.4909668; -4.374433; 0.01831959; 16.1551; 19.98289; 183.8963; 0.08637384; True; False; -0.01776271; -0.3255931; -0.9453431; -0.04609739; -0.01614645; 0.00772059; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.5109863; -4.374433; 0.01831959; 16.1551; 19.98289; 183.8963; 0.08637384; True; False; -0.01776271; -0.3255931; -0.9453431; -0.04609739; -0.01614645; 0.00772059; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.5310059; -4.367975; 0.01714431; 16.14488; 20.51719; 184.9331; 0.3797657; True; False; -0.05338802; -0.3381401; -0.9395801; -0.02714971; -0.0123482; 0.006481946; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.5510254; -4.367975; 0.01714431; 16.14488; 20.51719; 184.9331; 0.3797657; True; False; -0.05338802; -0.3381401; -0.9395801; -0.02714971; -0.0123482; 0.006481946; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.5708008; -4.367975; 0.01714431; 16.14488; 20.51719; 184.9331; 0.3797657; True; False; -0.05338802; -0.3381401; -0.9395801; -0.02714971; -0.0123482; 0.006481946; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.5908203; -4.367975; 0.01714431; 16.14488; 20.51719; 184.9331; 0.3797657; True; False; -0.05338802; -0.3381401; -0.9395801; -0.02714971; -0.0123482; 0.006481946; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.6108398; -4.367975; 0.01714431; 16.14488; 20.51719; 184.9331; 0.3797657; True; False; -0.05338802; -0.3381401; -0.9395801; -0.02714971; -0.0123482; 0.006481946; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.6308594; -4.363861; 0.007787962; 16.12823; 24.32341; 185.7754; 1.130767; True; False; -0.07495327; -0.3479722; -0.9345037; -0.01674386; -0.06391439; 0.0278942; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.6508789; -4.363861; 0.007787962; 16.12823; 24.32341; 185.7754; 1.130767; True; False; -0.07495327; -0.3479722; -0.9345037; -0.01674386; -0.06391439; 0.0278942; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.6708984; -4.363861; 0.007787962; 16.12823; 24.32341; 185.7754; 1.130767; True; False; -0.07495327; -0.3479722; -0.9345037; -0.01674386; -0.06391439; 0.0278942; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.690918; -4.36285; 0.009225529; 16.11247; 24.34864; 186.0597; 1.518935; True; False; -0.08886442; -0.4010963; -0.9117154; -0.007311061; -0.01119173; 0.005752444; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.7109375; -4.36285; 0.009225529; 16.11247; 24.34864; 186.0597; 1.518935; True; False; -0.08886442; -0.4010963; -0.9117154; -0.007311061; -0.01119173; 0.005752444; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.730957; -4.36285; 0.009225529; 16.11247; 24.34864; 186.0597; 1.518935; True; False; -0.08886442; -0.4010963; -0.9117154; -0.007311061; -0.01119173; 0.005752444; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.7509766; -4.364502; 0.008960014; 16.0938; 23.47149; 186.185; 2.072271; True; False; -0.09519343; -0.410788; -0.9067477; -0.00363154; 0.01249525; -0.005171418; True; False; False; False
Fixed; HUD; Layout 8; Backward; 0.7709961; -4.364502; 0.008960014; 16.0938; 23.47149; 186.185; 2.072271; True; False; -0.09519343; -0.410788; -0.9067477; -0.00363154; 0.01249525; -0.005171418; True; False; False; False
