Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; HUD; Layout 8; Forward; 0.01837921; 1.128966; 0.06763779; 2.281592; 11.85202; 85.83176; 357.3205; True; False; 0.9774095; -0.1994392; 0.06996274; -0.001316786; -0.005945474; 0.001173079; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.03837585; 1.128966; 0.06763779; 2.281592; 11.85202; 85.83176; 357.3205; True; False; 0.9774095; -0.1994392; 0.06996274; -0.001316786; -0.005945474; 0.001173079; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.05838013; 1.128966; 0.06763779; 2.281592; 11.85202; 85.83176; 357.3205; True; False; 0.9774095; -0.1994392; 0.06996274; -0.001316786; -0.005945474; 0.001173079; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.07837677; 1.128966; 0.06763779; 2.281592; 11.85202; 85.83176; 357.3205; True; False; 0.9774095; -0.1994392; 0.06996274; -0.001316786; -0.005945474; 0.001173079; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.09838104; 1.128966; 0.06763779; 2.281592; 11.85202; 85.83176; 357.3205; True; False; 0.9774095; -0.1994392; 0.06996274; -0.001316786; -0.005945474; 0.001173079; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.1183777; 1.135427; 0.06758298; 2.27704; 12.29552; 85.30518; 357.4249; True; False; 0.9770691; -0.2009929; 0.07026939; -0.003284991; -0.01196116; 0.009701505; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.138382; 1.135427; 0.06758298; 2.27704; 12.29552; 85.30518; 357.4249; True; False; 0.9770691; -0.2009929; 0.07026939; -0.003284991; -0.01196116; 0.009701505; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.1583786; 1.135427; 0.06758298; 2.27704; 12.29552; 85.30518; 357.4249; True; False; 0.9770691; -0.2009929; 0.07026939; -0.003284991; -0.01196116; 0.009701505; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.1783829; 1.142955; 0.06640412; 2.270727; 12.00125; 85.16003; 357.5674; True; False; 0.9762605; -0.2040247; 0.07272641; -0.001605153; -0.003908366; 0.009802118; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.1983795; 1.142955; 0.06640412; 2.270727; 12.00125; 85.16003; 357.5674; True; False; 0.9762605; -0.2040247; 0.07272641; -0.001605153; -0.003908366; 0.009802118; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.2183762; 1.153234; 0.06502646; 2.263478; 12.02334; 84.73064; 357.8935; True; False; 0.9758703; -0.2050024; 0.07517381; -0.001940846; -0.0033077; 0.01464973; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.2383804; 1.153234; 0.06502646; 2.263478; 12.02334; 84.73064; 357.8935; True; False; 0.9758703; -0.2050024; 0.07517381; -0.001940846; -0.0033077; 0.01464973; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.2583771; 1.160424; 0.06499861; 2.258281; 12.02521; 84.4669; 358.1165; True; False; 0.9754025; -0.2058401; 0.07886612; -0.001903355; -0.00250186; 0.0154388; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.2783813; 1.160424; 0.06499861; 2.258281; 12.02521; 84.4669; 358.1165; True; False; 0.9754025; -0.2058401; 0.07886612; -0.001903355; -0.00250186; 0.0154388; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.298378; 1.168312; 0.06387555; 2.252932; 12.00737; 84.49639; 358.321; True; False; 0.9749348; -0.2064902; 0.08284914; -0.001322865; -0.001547351; 0.01096076; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.3183823; 1.168312; 0.06387555; 2.252932; 12.00737; 84.49639; 358.321; True; False; 0.9749348; -0.2064902; 0.08284914; -0.001322865; -0.001547351; 0.01096076; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.3383789; 1.168312; 0.06387555; 2.252932; 12.00737; 84.49639; 358.321; True; False; 0.9749348; -0.2064902; 0.08284914; -0.001322865; -0.001547351; 0.01096076; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.3583755; 1.182295; 0.05978106; 2.243981; 11.97721; 84.82168; 358.5155; True; False; 0.9745947; -0.2069043; 0.08576595; -0.0003569126; -0.0006182045; 0.00252492; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.3783798; 1.182295; 0.05978106; 2.243981; 11.97721; 84.82168; 358.5155; True; False; 0.9745947; -0.2069043; 0.08576595; -0.0003569126; -0.0006182045; 0.00252492; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.3983765; 1.197648; 0.04978188; 2.231435; 12.57794; 86.09811; 358.3811; True; False; 0.9744967; -0.2070754; 0.08646399; -0.0007581711; -0.0106921; -0.0200491; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.4183807; 1.197648; 0.04978188; 2.231435; 12.57794; 86.09811; 358.3811; True; False; 0.9744967; -0.2070754; 0.08646399; -0.0007581711; -0.0106921; -0.0200491; False; False; False; False
Fixed; HUD; Layout 8; Forward; 0.4383774; 1.211299; 0.04778935; 2.218819; 13.4328; 89.74797; 358.5116; True; False; 0.9743289; -0.2101831; 0.08066165; -0.001695156; -0.02212167; -0.07638335; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.4583817; 1.211299; 0.04778935; 2.218819; 13.4328; 89.74797; 358.5116; True; False; 0.9743289; -0.2101831; 0.08066165; -0.001695156; -0.02212167; -0.07638335; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.4783783; 1.211299; 0.04778935; 2.218819; 13.4328; 89.74797; 358.5116; True; False; 0.9743289; -0.2101831; 0.08066165; -0.001695156; -0.02212167; -0.07638335; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.4983826; 1.230652; 0.04692197; 2.211673; 14.35386; 94.22117; 358.5227; True; False; 0.9744433; -0.2178965; 0.05460274; -0.008288026; -0.03001338; -0.1259117; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.5183792; 1.230652; 0.04692197; 2.211673; 14.35386; 94.22117; 358.5227; True; False; 0.9744433; -0.2178965; 0.05460274; -0.008288026; -0.03001338; -0.1259117; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.5383759; 1.230652; 0.04692197; 2.211673; 14.35386; 94.22117; 358.5227; True; False; 0.9744433; -0.2178965; 0.05460274; -0.008288026; -0.03001338; -0.1259117; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.5583801; 1.252322; 0.0454274; 2.213117; 15.55981; 93.47419; 358.2671; True; False; 0.9725746; -0.2325415; -0.004798889; -0.01099402; -0.03570263; -0.05357909; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.5783768; 1.252322; 0.0454274; 2.213117; 15.55981; 93.47419; 358.2671; True; False; 0.9725746; -0.2325415; -0.004798889; -0.01099402; -0.03570263; -0.05357909; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.598381; 1.286908; 0.04418429; 2.212523; 15.34325; 91.8362; 358.455; True; False; 0.9667961; -0.2530795; -0.03544044; -0.002933204; -0.01152167; 0.004540205; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.6183777; 1.286908; 0.04418429; 2.212523; 15.34325; 91.8362; 358.455; True; False; 0.9667961; -0.2530795; -0.03544044; -0.002933204; -0.01152167; 0.004540205; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.638382; 1.286908; 0.04418429; 2.212523; 15.34325; 91.8362; 358.455; True; False; 0.9667961; -0.2530795; -0.03544044; -0.002933204; -0.01152167; 0.004540205; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.6583786; 1.328616; 0.03792868; 2.212222; 14.53427; 90.58405; 359.3201; True; False; 0.9648783; -0.2606859; -0.03244555; 0.003069162; 0.009726793; 0.02257836; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.6783829; 1.328616; 0.03792868; 2.212222; 14.53427; 90.58405; 359.3201; True; False; 0.9648783; -0.2606859; -0.03244555; 0.003069162; 0.009726793; 0.02257836; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.6983795; 1.328616; 0.03792868; 2.212222; 14.53427; 90.58405; 359.3201; True; False; 0.9648783; -0.2606859; -0.03244555; 0.003069162; 0.009726793; 0.02257836; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.7183762; 1.363741; 0.03396983; 2.214021; 14.59342; 90.61265; 359.2513; True; False; 0.9672421; -0.2533843; -0.01546395; 0.000440836; 0.001425952; 0.005116224; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.7383804; 1.363741; 0.03396983; 2.214021; 14.59342; 90.61265; 359.2513; True; False; 0.9672421; -0.2533843; -0.01546395; 0.000440836; 0.001425952; 0.005116224; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.7583771; 1.363741; 0.03396983; 2.214021; 14.59342; 90.61265; 359.2513; True; False; 0.9672421; -0.2533843; -0.01546395; 0.000440836; 0.001425952; 0.005116224; False; False; False; True
Fixed; HUD; Layout 8; Forward; 0.7783813; 1.414572; 0.02581711; 2.221049; 14.54568; 89.53352; 358.9594; True; False; 0.9676196; -0.2521688; -0.01110137; 0.0002961159; 0.001017094; 0.01898199; False; False; False; True
