Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Combined; Layout 1; Forward; 0.01879883; 1.302342; 0.05423905; 2.265787; 0.9820052; 77.73155; 358.5628; True; False; 0.9778401; -0.02322815; 0.2080607; -0.0008208752; 0.006089767; 0.004400477; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.03869629; 1.302342; 0.05423905; 2.265787; 0.9820052; 77.73155; 358.5628; True; False; 0.9778401; -0.02322815; 0.2080607; -0.0008208752; 0.006089767; 0.004400477; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.05871582; 1.302342; 0.05423905; 2.265787; 0.9820052; 77.73155; 358.5628; True; False; 0.9778401; -0.02322815; 0.2080607; -0.0008208752; 0.006089767; 0.004400477; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.07873535; 1.303052; 0.05459195; 2.267585; 1.162336; 77.04581; 358.7943; True; False; 0.9774799; -0.0205053; 0.2100296; -0.003130853; 0.0002201013; 0.01409632; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.09875488; 1.303052; 0.05459195; 2.267585; 1.162336; 77.04581; 358.7943; True; False; 0.9774799; -0.0205053; 0.2100296; -0.003130853; 0.0002201013; 0.01409632; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.1187744; 1.303052; 0.05459195; 2.267585; 1.162336; 77.04581; 358.7943; True; False; 0.9774799; -0.0205053; 0.2100296; -0.003130853; 0.0002201013; 0.01409632; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.1387939; 1.30461; 0.05459486; 2.268336; 0.9778319; 76.85028; 358.7691; True; False; 0.9761136; -0.02040801; 0.2163; -0.002476454; 0.003342452; 0.01116318; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.1586914; 1.30461; 0.05459486; 2.268336; 0.9778319; 76.85028; 358.7691; True; False; 0.9761136; -0.02040801; 0.2163; -0.002476454; 0.003342452; 0.01116318; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.1787109; 1.30461; 0.05459486; 2.268336; 0.9778319; 76.85028; 358.7691; True; False; 0.9761136; -0.02040801; 0.2163; -0.002476454; 0.003342452; 0.01116318; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.1987305; 1.306534; 0.05376871; 2.267579; 1.259247; 77.2267; 358.9025; True; False; 0.9750363; -0.01893118; 0.2212373; -1.93119E-05; -0.00304505; -0.0001966953; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.21875; 1.306534; 0.05376871; 2.267579; 1.259247; 77.2267; 358.9025; True; False; 0.9750363; -0.01893118; 0.2212373; -1.93119E-05; -0.00304505; -0.0001966953; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.2387695; 1.306534; 0.05376871; 2.267579; 1.259247; 77.2267; 358.9025; True; False; 0.9750363; -0.01893118; 0.2212373; -1.93119E-05; -0.00304505; -0.0001966953; False; False; False; False
Fixed; Combined; Layout 1; Forward; 0.2587891; 1.310927; 0.0546785; 2.264272; 1.434229; 76.89133; 358.9343; True; False; 0.9750289; -0.02026916; 0.2211511; -0.001392305; -0.004760245; 0.005576655; False; False; False; False
