Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; Combined; Layout 1; Backward; 0.007568359; 15.94781; 0.01955236; 5.280953; 6.14276; 260.6627; 357.3822; True; False; -0.9782666; -0.1177011; -0.1707071; -0.002818286; 0.01069502; 0.009392977; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.02758789; 15.94781; 0.01955236; 5.280953; 6.14276; 260.6627; 357.3822; True; False; -0.9782666; -0.1177011; -0.1707071; -0.002818286; 0.01069502; 0.009392977; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.04760742; 15.94781; 0.01955236; 5.280953; 6.14276; 260.6627; 357.3822; True; False; -0.9782666; -0.1177011; -0.1707071; -0.002818286; 0.01069502; 0.009392977; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.06762695; 15.94781; 0.01955236; 5.280953; 6.14276; 260.6627; 357.3822; True; False; -0.9782666; -0.1177011; -0.1707071; -0.002818286; 0.01069502; 0.009392977; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.08752441; 15.94781; 0.01955236; 5.280953; 6.14276; 260.6627; 357.3822; True; False; -0.9782666; -0.1177011; -0.1707071; -0.002818286; 0.01069502; 0.009392977; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.1075439; 15.94866; 0.02139276; 5.279321; 6.873788; 260.8351; 357.547; True; False; -0.9791337; -0.1144952; -0.1678931; -0.001004338; -0.005187482; 0.009762049; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.1275635; 15.94866; 0.02139276; 5.279321; 6.873788; 260.8351; 357.547; True; False; -0.9791337; -0.1144952; -0.1678931; -0.001004338; -0.005187482; 0.009762049; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.147583; 15.94866; 0.02139276; 5.279321; 6.873788; 260.8351; 357.547; True; False; -0.9791337; -0.1144952; -0.1678931; -0.001004338; -0.005187482; 0.009762049; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.1676025; 15.94866; 0.02139276; 5.279321; 6.873788; 260.8351; 357.547; True; False; -0.9791337; -0.1144952; -0.1678931; -0.001004338; -0.005187482; 0.009762049; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.1876221; 15.94741; 0.02060851; 5.278398; 6.528021; 260.6978; 357.605; True; False; -0.9794477; -0.1160529; -0.1649668; -0.001003444; 0.002363786; 0.00437285; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.2075195; 15.94741; 0.02060851; 5.278398; 6.528021; 260.6978; 357.605; True; False; -0.9794477; -0.1160529; -0.1649668; -0.001003444; 0.002363786; 0.00437285; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.2275391; 15.94741; 0.02060851; 5.278398; 6.528021; 260.6978; 357.605; True; False; -0.9794477; -0.1160529; -0.1649668; -0.001003444; 0.002363786; 0.00437285; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.2475586; 15.94741; 0.02060851; 5.278398; 6.528021; 260.6978; 357.605; True; False; -0.9794477; -0.1160529; -0.1649668; -0.001003444; 0.002363786; 0.00437285; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.2675781; 15.94703; 0.01927262; 5.276103; 7.076895; 260.8154; 357.6302; True; False; -0.9797513; -0.1153441; -0.1636556; 9.280443E-05; -0.007857226; 0.005255193; False; False; True; False
Fixed; Combined; Layout 1; Backward; 0.2875977; 15.94703; 0.01927262; 5.276103; 7.076895; 260.8154; 357.6302; True; False; -0.9797513; -0.1153441; -0.1636556; 9.280443E-05; -0.007857226; 0.005255193; False; False; True; False
