Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; No Cues; Layout 6; Forward; 0.002990723; 0.07644591; 0.05839001; 1.010257; 14.92653; 23.96014; 358.6878; True; False; 0.3895687; -0.2563204; 0.8846108; 0.002829254; -0.001259923; -0.001617968; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.022995; 0.07644591; 0.05839001; 1.010257; 14.92653; 23.96014; 358.6878; True; False; 0.3895687; -0.2563204; 0.8846108; 0.002829254; -0.001259923; -0.001617968; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.04299164; 0.07644591; 0.05839001; 1.010257; 14.92653; 23.96014; 358.6878; True; False; 0.3895687; -0.2563204; 0.8846108; 0.002829254; -0.001259923; -0.001617968; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.06298828; 0.07644591; 0.05839001; 1.010257; 14.92653; 23.96014; 358.6878; True; False; 0.3895687; -0.2563204; 0.8846108; 0.002829254; -0.001259923; -0.001617968; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.08299255; 0.07644591; 0.05839001; 1.010257; 14.92653; 23.96014; 358.6878; True; False; 0.3895687; -0.2563204; 0.8846108; 0.002829254; -0.001259923; -0.001617968; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.1029892; 0.0791907; 0.05815589; 1.015011; 14.82637; 24.16006; 358.7499; True; False; 0.3908915; -0.2569096; 0.8838559; 0.004768729; 0.001018882; -0.001828194; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.1229935; 0.0791907; 0.05815589; 1.015011; 14.82637; 24.16006; 358.7499; True; False; 0.3908915; -0.2569096; 0.8838559; 0.004768729; 0.001018882; -0.001828194; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.1429901; 0.08024959; 0.05784487; 1.018667; 15.00414; 24.19899; 358.8664; True; False; 0.3931392; -0.2564305; 0.8829977; 0.002792835; -0.002458394; -0.001967371; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.1629944; 0.08024959; 0.05784487; 1.018667; 15.00414; 24.19899; 358.8664; True; False; 0.3931392; -0.2564305; 0.8829977; 0.002792835; -0.002458394; -0.001967371; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.182991; 0.08024959; 0.05784487; 1.018667; 15.00414; 24.19899; 358.8664; True; False; 0.3931392; -0.2564305; 0.8829977; 0.002792835; -0.002458394; -0.001967371; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.2029877; 0.07934858; 0.0573048; 1.0253; 15.1972; 23.38973; 359.2525; True; False; 0.3944665; -0.2575988; 0.8820652; -0.01136586; -0.004543215; 0.003663599; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.2229919; 0.07934858; 0.0573048; 1.0253; 15.1972; 23.38973; 359.2525; True; False; 0.3944665; -0.2575988; 0.8820652; -0.01136586; -0.004543215; 0.003663599; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.2429886; 0.07491396; 0.05620075; 1.032385; 15.27178; 20.60951; 359.5099; True; False; 0.3890521; -0.2597716; 0.883831; -0.04948494; -0.003626287; 0.01911736; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.2629929; 0.07491396; 0.05620075; 1.032385; 15.27178; 20.60951; 359.5099; True; False; 0.3890521; -0.2597716; 0.883831; -0.04948494; -0.003626287; 0.01911736; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.2829895; 0.07132627; 0.05468874; 1.038689; 15.41617; 17.13168; 359.5472; True; False; 0.3654693; -0.2616015; 0.8933066; -0.08149901; -0.004226595; 0.02794051; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.3029938; 0.06868855; 0.05406213; 1.0463; 15.47072; 13.51363; 359.4583; True; False; 0.3252487; -0.2639487; 0.9080442; -0.1000389; -0.002797127; 0.02904022; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.3229904; 0.06868855; 0.05406213; 1.0463; 15.47072; 13.51363; 359.4583; True; False; 0.3252487; -0.2639487; 0.9080442; -0.1000389; -0.002797127; 0.02904022; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.3429947; 0.06751573; 0.05387111; 1.054721; 15.00969; 10.61156; 359.387; True; False; 0.270558; -0.2658455; 0.92527; -0.0926912; 0.006863087; 0.02409375; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.3629913; 0.06751573; 0.05387111; 1.054721; 15.00969; 10.61156; 359.387; True; False; 0.270558; -0.2658455; 0.92527; -0.0926912; 0.006863087; 0.02409375; False; False; False; False
