Log Type; Cue Condition; Layout; Direction; Time; Position X; Position Y; Position Z; Rotation X; Rotation Y; Rotation Z; Eye Tracking Enabled (true/false); Eye Tracking Data Valid (true/false); Gaze Direction X; Gaze Direction Y; Gaze Direction Z; Eye Movement X; Eye Movement Y; Eye Movement Z; HUD Cue Up; HUD Cue Right; HUD Cue Down; HUD Cue Left
Fixed; No Cues; Layout 6; Forward; 0.003479004; 1.717139; 0.6760557; 3.554109; 12.28358; 87.3382; 359.294; True; True; 0.997332; -0.04812751; 0.0548866; -0.02127951; -0.1646229; -0.009509347; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.02349854; 1.717139; 0.6760557; 3.554109; 12.28358; 87.3382; 359.294; True; True; 0.997332; -0.04812751; 0.0548866; -0.02127951; -0.1646229; -0.009509347; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.04351807; 1.717139; 0.6760557; 3.554109; 12.28358; 87.3382; 359.294; True; True; 0.997332; -0.04812751; 0.0548866; -0.02127951; -0.1646229; -0.009509347; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.06347656; 1.717181; 0.6761621; 3.554332; 12.19388; 87.37947; 359.3307; True; True; 0.9974467; -0.04442012; 0.05591853; -0.02103037; -0.1668003; -0.01122917; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.08349609; 1.717181; 0.6761621; 3.554332; 12.19388; 87.37947; 359.3307; True; True; 0.9974467; -0.04442012; 0.05591853; -0.02103037; -0.1668003; -0.01122917; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.1035156; 1.717181; 0.6761621; 3.554332; 12.19388; 87.37947; 359.3307; True; True; 0.9974467; -0.04442012; 0.05591853; -0.02103037; -0.1668003; -0.01122917; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.1234741; 1.717247; 0.6763142; 3.554669; 12.16788; 87.4043; 359.3739; True; True; 0.9975398; -0.04084861; 0.05697158; -0.02100855; -0.1699283; -0.01270112; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.1434937; 1.717247; 0.6763142; 3.554669; 12.16788; 87.4043; 359.3739; True; True; 0.9975398; -0.04084861; 0.05697158; -0.02100855; -0.1699283; -0.01270112; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.1635132; 1.717499; 0.6765824; 3.555397; 12.1317; 87.35695; 359.3993; True; True; 0.9976109; -0.03741106; 0.05807557; -0.0209837; -0.1727485; -0.01299187; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.1835327; 1.717499; 0.6765824; 3.555397; 12.1317; 87.35695; 359.3993; True; True; 0.9976109; -0.03741106; 0.05807557; -0.0209837; -0.1727485; -0.01299187; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.2034912; 1.720777; 0.6787994; 3.559827; 11.77915; 87.30126; 359.4509; True; True; 0.9976577; -0.03414673; 0.05927234; -0.01980168; -0.1699931; -0.01317935; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.2235107; 1.720777; 0.6787994; 3.559827; 11.77915; 87.30126; 359.4509; True; True; 0.9976577; -0.03414673; 0.05927234; -0.01980168; -0.1699931; -0.01317935; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.2435303; 1.724316; 0.6788044; 3.563022; 11.54009; 87.2578; 359.5256; True; True; 0.9976577; -0.03414673; 0.05927234; -0.01899451; -0.1659068; -0.01239734; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.2634888; 1.724316; 0.6788044; 3.563022; 11.54009; 87.2578; 359.5256; True; True; 0.9976577; -0.03414673; 0.05927234; -0.01899451; -0.1659068; -0.01239734; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.2835083; 1.729566; 0.6777335; 3.567174; 11.43653; 87.10547; 359.793; True; True; 0.9975723; -0.03926665; 0.05751092; -0.01867771; -0.1590156; -0.008016061; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.3035278; 1.73538; 0.6760045; 3.571386; 11.42258; 86.93182; 359.9848; True; True; 0.9973232; -0.04622543; 0.05665536; -0.0185349; -0.1518183; -0.004191291; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.3234863; 1.73538; 0.6760045; 3.571386; 11.42258; 86.93182; 359.9848; True; True; 0.9973232; -0.04622543; 0.05665536; -0.0185349; -0.1518183; -0.004191291; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.3435059; 1.741373; 0.6738305; 3.576359; 12.16616; 86.87237; 0.1752865; True; True; 0.9969944; -0.05361926; 0.05592125; -0.02090991; -0.1571282; -0.002586234; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.3635254; 1.741373; 0.6738305; 3.576359; 12.16616; 86.87237; 0.1752865; True; True; 0.9969944; -0.05361926; 0.05592125; -0.02090991; -0.1571282; -0.002586234; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.3834839; 1.747075; 0.6716602; 3.582597; 13.07788; 86.89011; 0.4279354; True; True; 0.9965827; -0.06141424; 0.0552372; -0.0239538; -0.1648611; -0.00239303; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.4035034; 1.752489; 0.6707853; 3.589569; 13.95054; 86.80362; 0.7749493; True; True; 0.9960912; -0.06947508; 0.05454621; -0.02709675; -0.1716091; -0.000432469; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.4235229; 1.752489; 0.6707853; 3.589569; 13.95054; 86.80362; 0.7749493; True; True; 0.9960912; -0.06947508; 0.05454621; -0.02709675; -0.1716091; -0.000432469; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.4434814; 1.75865; 0.6708869; 3.596895; 14.29104; 86.73635; 1.036956; True; True; 0.9955335; -0.07756732; 0.05381913; -0.02805072; -0.1692801; 0.001349736; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.463501; 1.75865; 0.6708869; 3.596895; 14.29104; 86.73635; 1.036956; True; True; 0.9955335; -0.07756732; 0.05381913; -0.02805072; -0.1692801; 0.001349736; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.4835205; 1.764967; 0.6696373; 3.605073; 14.0242; 86.69243; 1.314084; True; True; 0.9949249; -0.0854948; 0.05305772; -0.02634758; -0.1568369; 0.002918493; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.503479; 1.76901; 0.6665306; 3.612864; 13.97201; 86.58063; 1.478783; True; True; 0.9942857; -0.09310313; 0.05222826; -0.02559948; -0.1483448; 0.005651008; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.5234985; 1.76901; 0.6665306; 3.612864; 13.97201; 86.58063; 1.478783; True; True; 0.9942857; -0.09310313; 0.05222826; -0.02559948; -0.1483448; 0.005651008; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.5435181; 1.77493; 0.6633251; 3.621604; 13.95141; 86.4865; 1.725583; True; True; 0.9936188; -0.1004039; 0.05138912; -0.02494234; -0.140695; 0.008086778; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.5634766; 1.77493; 0.6633251; 3.621604; 13.95141; 86.4865; 1.725583; True; True; 0.9936188; -0.1004039; 0.05138912; -0.02494234; -0.140695; 0.008086778; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.5834961; 1.780985; 0.6596015; 3.630286; 14.15561; 86.38622; 2.008441; True; True; 0.9929387; -0.1073631; 0.05045561; -0.02523148; -0.1371932; 0.01066102; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.6035156; 1.788886; 0.6572461; 3.639078; 14.1978; 86.15966; 2.402449; True; True; 0.9625626; -0.2698632; 0.02543759; 0.004715383; 0.02459311; 0.03949302; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.6234741; 1.788886; 0.6572461; 3.639078; 14.1978; 86.15966; 2.402449; True; True; 0.9625626; -0.2698632; 0.02543759; 0.004715383; 0.02459311; 0.03949302; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.6434937; 1.80079; 0.6565402; 3.646902; 14.01838; 85.87168; 2.881195; True; True; 0.9625694; -0.2698399; 0.02542801; 0.005131245; 0.02760668; 0.04441838; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.6635132; 1.80079; 0.6565402; 3.646902; 14.01838; 85.87168; 2.881195; True; True; 0.9625694; -0.2698399; 0.02542801; 0.005131245; 0.02760668; 0.04441838; False; False; False; False
Fixed; No Cues; Layout 6; Forward; 0.6835327; 1.809547; 0.6538471; 3.65177; 15.21031; 85.86983; 3.043394; True; True; 0.9625759; -0.2698272; 0.02531762; -0.0001125336; 0.007464379; 0.04418187; False; False; False; False
