Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Direction,Layout,Control Time,Order,PPWS,Errors,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition
OA01,Yes,None,No,13.5,1.11,Control (first),Forward,4,16.78,1,80.44%,0,2,2,2,2,2,N/A
OA01,Yes,None,No,13.5,1.11,Control (first),Backward,4,16.27,1,82.96%,0,2,2,2,2,2,N/A
OA01,Yes,None,No,13.5,1.11,No Cues,Forward,2,,2,78.68%,0,3,3,3,3,3,N/A
OA01,Yes,None,No,13.5,1.11,No Cues,Backward,2,,2,85.85%,0,3,3,3,3,3,N/A
OA01,Yes,None,No,13.5,1.11,Collocated,Forward,8,,4,77.77%,2,5.5,6,5,6,5,No
OA01,Yes,None,No,13.5,1.11,Collocated,Backward,8,,4,89.21%,0,5.5,6,5,6,5,No
OA01,Yes,None,No,13.5,1.11,HUD,Forward,5,,3,77.94%,0,4.5,4,5,4,6,No
OA01,Yes,None,No,13.5,1.11,HUD,Backward,5,,3,87.77%,0,4.5,4,5,4,6,No
OA01,Yes,None,No,13.5,1.11,Combined,Forward,7,,5,90.41%,0,7,7,7,7,7,Yes
OA01,Yes,None,No,13.5,1.11,Combined,Backward,7,,5,93.30%,1,7,7,7,7,7,Yes
OA01,Yes,None,No,13.5,1.11,Control (last),Forward,1,14.43,6,93.54%,0,6,6,6,6,6,N/A
OA01,Yes,None,No,13.5,1.11,Control (last),Backward,1,14.34,6,94.12%,0,6,6,6,6,6,N/A
OA02,Yes,None,Yes,11.68,1.28,Control (first),Forward,8,26.11,1,44.73%,1,5.5,5,6,7,5,N/A
OA02,Yes,None,Yes,11.68,1.28,Control (first),Backward,8,20.16,1,57.94%,0,5.5,5,6,7,5,N/A
OA02,Yes,None,Yes,11.68,1.28,No Cues,Forward,5,,4,52.90%,1,4,4,4,4,4,N/A
OA02,Yes,None,Yes,11.68,1.28,No Cues,Backward,5,,4,57.83%,1,4,4,4,4,4,N/A
OA02,Yes,None,Yes,11.68,1.28,Collocated,Forward,2,,5,38.93%,1,3.5,3,3,4,4,Yes
OA02,Yes,None,Yes,11.68,1.28,Collocated,Backward,2,,5,49.84%,0,3.5,3,3,4,4,Yes
OA02,Yes,None,Yes,11.68,1.28,HUD,Forward,6,,2,41.96%,2,2.5,3,3,2,2,No
OA02,Yes,None,Yes,11.68,1.28,HUD,Backward,6,,2,39.17%,1,2.5,3,3,2,2,No
OA02,Yes,None,Yes,11.68,1.28,Combined,Forward,1,,3,41.44%,2,3,3,3,4,2,No
OA02,Yes,None,Yes,11.68,1.28,Combined,Backward,1,,3,42.33%,1,3,3,3,4,2,No
OA02,Yes,None,Yes,11.68,1.28,Control (last),Forward,7,18.89,6,61.83%,1,6,6,6,5,6,N/A
OA02,Yes,None,Yes,11.68,1.28,Control (last),Backward,7,18,6,64.89%,1,6,6,6,5,6,N/A
OA03,Yes,None,No,10.09,1.49,Control (first),Forward,7,17.17,1,58.75%,0,5,6,3,5,5,N/A
OA03,Yes,None,No,10.09,1.49,Control (first),Backward,7,17.39,1,58.01%,0,5,6,3,5,5,N/A
OA03,Yes,None,No,10.09,1.49,No Cues,Forward,3,,5,53.85%,0,3,2,3,3,3,N/A
OA03,Yes,None,No,10.09,1.49,No Cues,Backward,3,,5,62.58%,0,3,2,3,3,3,N/A
OA03,Yes,None,No,10.09,1.49,Collocated,Forward,2,,4,45.69%,0,6,6,6,6,4,Yes
OA03,Yes,None,No,10.09,1.49,Collocated,Backward,2,,4,57.11%,0,6,6,6,6,4,Yes
OA03,Yes,None,No,10.09,1.49,HUD,Forward,6,,3,37.89%,0,3,3,4,2,3,No
OA03,Yes,None,No,10.09,1.49,HUD,Backward,6,,3,39.25%,0,3,3,4,2,3,No
OA03,Yes,None,No,10.09,1.49,Combined,Forward,4,,2,39.33%,0,4.5,4,5,5,3,No
OA03,Yes,None,No,10.09,1.49,Combined,Backward,4,,2,38.04%,0,4.5,4,5,5,3,No
OA03,Yes,None,No,10.09,1.49,Control (last),Forward,5,14.91,6,67.66%,0,5.5,6,3,5,6,N/A
OA03,Yes,None,No,10.09,1.49,Control (last),Backward,5,13.96,6,72.26%,0,5.5,6,3,5,6,N/A
OA04,Yes,None,Yes,10.51,1.43,Control (first),Forward,6,22.05,1,47.68%,0,6,5,7,6,6,N/A
OA04,Yes,None,Yes,10.51,1.43,Control (first),Backward,6,18.94,1,55.50%,0,6,5,7,6,6,N/A
OA04,Yes,None,Yes,10.51,1.43,No Cues,Forward,5,,2,46.36%,1,3,3,3,4,3,N/A
OA04,Yes,None,Yes,10.51,1.43,No Cues,Backward,5,,2,55.20%,0,3,3,3,4,3,N/A
OA04,Yes,None,Yes,10.51,1.43,Collocated,Forward,3,,5,48.17%,0,6,5,6,7,6,Yes
OA04,Yes,None,Yes,10.51,1.43,Collocated,Backward,3,,5,55.66%,1,6,5,6,7,6,Yes
OA04,Yes,None,Yes,10.51,1.43,HUD,Forward,7,,4,35.67%,0,3,3,2,3,3,No
OA04,Yes,None,Yes,10.51,1.43,HUD,Backward,7,,4,36.95%,1,3,3,2,3,3,No
OA04,Yes,None,Yes,10.51,1.43,Combined,Forward,8,,3,40.19%,2,2.5,2,2,6,3,No
OA04,Yes,None,Yes,10.51,1.43,Combined,Backward,8,,3,42.23%,0,2.5,2,2,6,3,No
OA04,Yes,None,Yes,10.51,1.43,Control (last),Forward,2,17.29,6,60.80%,1,6,6,6,5,7,N/A
OA04,Yes,None,Yes,10.51,1.43,Control (last),Backward,2,14.95,6,70.32%,0,6,6,6,5,7,N/A
OA05,Yes,None,No,11.23,1.34,Control (first),Forward,4,17.74,1,63.32%,1,5,5,4,5,6,N/A
OA05,Yes,None,No,11.23,1.34,Control (first),Backward,4,17.61,1,63.78%,0,5,5,4,5,6,N/A
OA05,Yes,None,No,11.23,1.34,No Cues,Forward,2,,2,55.13%,0,3,3,4,3,2,N/A
OA05,Yes,None,No,11.23,1.34,No Cues,Backward,2,,2,51.75%,0,3,3,4,3,2,N/A
OA05,Yes,None,No,11.23,1.34,Collocated,Forward,5,,3,53.21%,0,5,5,5,6,5,No
OA05,Yes,None,No,11.23,1.34,Collocated,Backward,5,,3,60.61%,0,5,5,5,6,5,No
OA05,Yes,None,No,11.23,1.34,HUD,Forward,1,,4,50.94%,1,4,4,5,4,4,Yes
OA05,Yes,None,No,11.23,1.34,HUD,Backward,1,,4,57.09%,1,4,4,5,4,4,Yes
OA05,Yes,None,No,11.23,1.34,Combined,Forward,6,,5,63.87%,0,5,5,4,5,5,No
OA05,Yes,None,No,11.23,1.34,Combined,Backward,6,,5,66.49%,0,5,5,4,5,5,No
OA05,Yes,None,No,11.23,1.34,Control (last),Forward,7,14.58,6,77.04%,0,6,5,6,6,7,N/A
OA05,Yes,None,No,11.23,1.34,Control (last),Backward,7,15.02,6,74.78%,0,6,5,6,6,7,N/A
OA06,No,None,Yes,10.32,1.45,Control (first),Forward,7,23.58,1,43.77%,3,5.5,6,5,2,6,N/A
OA06,No,None,Yes,10.32,1.45,Control (first),Backward,7,20.36,1,50.69%,2,5.5,6,5,2,6,N/A
OA06,No,None,Yes,10.32,1.45,No Cues,Forward,4,,5,51.44%,2,4,4,4,3,4,N/A
OA06,No,None,Yes,10.32,1.45,No Cues,Backward,4,,5,58.06%,2,4,4,4,3,4,N/A
OA06,No,None,Yes,10.32,1.45,Collocated,Forward,6,,3,42.91%,0,6.5,7,6,7,3,Yes
OA06,No,None,Yes,10.32,1.45,Collocated,Backward,6,,3,47.03%,1,6.5,7,6,7,3,Yes
OA06,No,None,Yes,10.32,1.45,HUD,Forward,3,,2,36.02%,2,5,6,6,4,2,No
OA06,No,None,Yes,10.32,1.45,HUD,Backward,3,,2,36.92%,0,5,6,6,4,2,No
OA06,No,None,Yes,10.32,1.45,Combined,Forward,2,,4,41.58%,0,7,7,7,7,3,No
OA06,No,None,Yes,10.32,1.45,Combined,Backward,2,,4,44.16%,2,7,7,7,7,3,No
OA06,No,None,Yes,10.32,1.45,Control (last),Forward,1,18.42,6,56.03%,2,5.5,6,5,2,6,N/A
OA06,No,None,Yes,10.32,1.45,Control (last),Backward,1,17.93,6,57.56%,2,5.5,6,5,2,6,N/A
OA07,No,None,Yes,13.19,1.14,Control (first),Forward,3,47.18,1,27.96%,2,4.5,5,3,4,5,N/A
OA07,No,None,Yes,13.19,1.14,Control (first),Backward,3,39.62,1,33.30%,2,4.5,5,3,4,5,N/A
OA07,No,None,Yes,13.19,1.14,No Cues,Forward,1,,4,27.02%,2,2,2,2,2,3,N/A
OA07,No,None,Yes,13.19,1.14,No Cues,Backward,1,,4,31.23%,2,2,2,2,2,3,N/A
OA07,No,None,Yes,13.19,1.14,Collocated,Forward,8,,3,23.77%,2,5,5,5,5,4,No
OA07,No,None,Yes,13.19,1.14,Collocated,Backward,8,,3,29.40%,2,5,5,5,5,4,No
OA07,No,None,Yes,13.19,1.14,HUD,Forward,5,,5,32.94%,2,4.5,5,5,3,4,Yes
OA07,No,None,Yes,13.19,1.14,HUD,Backward,5,,5,35.82%,3,4.5,5,5,3,4,Yes
OA07,No,None,Yes,13.19,1.14,Combined,Forward,2,,2,20.41%,3,5,6,5,5,5,No
OA07,No,None,Yes,13.19,1.14,Combined,Backward,2,,2,25.84%,2,5,6,5,5,5,No
OA07,No,None,Yes,13.19,1.14,Control (last),Forward,7,30.07,6,43.87%,2,4.5,6,5,4,4,N/A
OA07,No,None,Yes,13.19,1.14,Control (last),Backward,7,25.26,6,52.23%,0,4.5,6,5,4,4,N/A
OA08,Yes,None,Yes,11.69,1.28,Control (first),Forward,1,28.56,1,40.92%,2,3,3,3,1,7,N/A
OA08,Yes,None,Yes,11.69,1.28,Control (first),Backward,1,27.7,1,42.19%,1,3,3,3,1,7,N/A
