Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Order,Layout,Forward or Backward,Time,PPWS,Errors,Total Distance,Total Time (Calibrated),Average Velocity,X Rotation (Pitch),Y Rotation (Yaw),Z Rotation (Roll),Total Rotation,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition
OA01,Yes,None,No,13.5,1.11,Control (first),1,4,Forward,16.78,80.44%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,2,2,2,N/A
OA01,Yes,None,No,13.5,1.11,Control (first),1,4,Backward,16.27,82.96%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,2,2,2,N/A
OA01,Yes,None,No,13.5,1.11,No Cues,2,2,Forward,17.15,78.68%,0,15.8,17.14,0.92,436.61,321.94,247.76,"1,006.31",3,3,3,3,3,N/A
OA01,Yes,None,No,13.5,1.11,No Cues,2,2,Backward,15.72,85.85%,0,15.4,15.72,0.98,441.97,299.72,256.69,998.39,3,3,3,3,3,N/A
OA01,Yes,None,No,13.5,1.11,Collocated,4,8,Forward,17.36,77.77%,2,16.37,17.34,0.94,466.21,319.41,248.41,"1,034.04",5.5,6,5,6,5,No
OA01,Yes,None,No,13.5,1.11,Collocated,4,8,Backward,15.13,89.21%,0,15.18,15.12,1,412.75,320.01,240.15,972.92,5.5,6,5,6,5,No
OA01,Yes,None,No,13.5,1.11,HUD,3,5,Forward,17.32,77.94%,0,15.8,17.3,0.91,457.08,341.9,246.83,"1,045.81",4.5,4,5,4,6,No
OA01,Yes,None,No,13.5,1.11,HUD,3,5,Backward,15.38,87.77%,0,15.46,15.36,1.01,451.04,328.74,253.76,"1,033.53",4.5,4,5,4,6,No
OA01,Yes,None,No,13.5,1.11,Combined,5,7,Forward,14.93,90.41%,0,15.86,14.92,1.06,475.54,345.14,278.14,"1,098.81",7,7,7,7,7,Yes
OA01,Yes,None,No,13.5,1.11,Combined,5,7,Backward,14.47,93.30%,1,15.45,14.46,1.07,507.94,353.17,277.73,"1,138.85",7,7,7,7,7,Yes
OA01,Yes,None,No,13.5,1.11,Control (last),6,1,Forward,14.43,93.54%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,6,6,6,6,N/A
OA01,Yes,None,No,13.5,1.11,Control (last),6,1,Backward,14.34,94.12%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,6,6,6,6,N/A
OA02,Yes,None,Yes,11.68,1.28,Control (first),1,8,Forward,26.11,44.73%,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.5,5,6,7,5,N/A
OA02,Yes,None,Yes,11.68,1.28,Control (first),1,8,Backward,20.16,57.94%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.5,5,6,7,5,N/A
OA02,Yes,None,Yes,11.68,1.28,No Cues,4,5,Forward,22.08,52.90%,1,15.87,22.08,0.72,475.18,277.59,262.86,"1,015.63",4,4,4,4,4,N/A
OA02,Yes,None,Yes,11.68,1.28,No Cues,4,5,Backward,20.2,57.83%,1,15.64,20.18,0.78,389.46,265.78,218.09,873.33,4,4,4,4,4,N/A
OA02,Yes,None,Yes,11.68,1.28,Collocated,5,2,Forward,30.01,38.93%,1,17.39,30,0.58,747.3,374.06,344.71,"1,466.06",3.5,3,3,4,4,Yes
OA02,Yes,None,Yes,11.68,1.28,Collocated,5,2,Backward,23.43,49.84%,0,15.64,23.42,0.67,758.85,387.25,362.2,"1,508.30",3.5,3,3,4,4,Yes
OA02,Yes,None,Yes,11.68,1.28,HUD,2,6,Forward,27.83,41.96%,2,16.05,27.82,0.58,637.2,448.27,237.98,"1,323.44",2.5,3,3,2,2,No
OA02,Yes,None,Yes,11.68,1.28,HUD,2,6,Backward,29.82,39.17%,1,16.16,29.82,0.54,788.94,506.58,352.6,"1,648.11",2.5,3,3,2,2,No
OA02,Yes,None,Yes,11.68,1.28,Combined,3,1,Forward,28.19,41.44%,2,16.88,28.18,0.6,641.8,416.06,336.75,"1,394.61",3,3,3,4,2,No
OA02,Yes,None,Yes,11.68,1.28,Combined,3,1,Backward,27.59,42.33%,1,16.55,27.58,0.6,789.33,504.8,437.31,"1,731.44",3,3,3,4,2,No
