"","Participant.ID","Eye.calibration.success","HUD.adjustment","White.Cane","PWS.average.time","Preferred.Walking.Speed..m.s.","Condition","Forward.or.Backward","Layout","Calibrated.Distance","Calibrated.Time","Average.Speed","X.Pitch","Y.Yaw","Z.Roll","Total.Rotation","Order","PPWS","Errors","Median.Rating","Confidence","Obstacle.location","Obstacle.size","Awareness","Preferred.Condition","rotSpeedX","rotSpeedY","rotSpeedZ","Percent.Stopped","Percent.Slowed","Speed.Variance","Speed.Variance.Corrected"
"1","OA01","Yes","None","No",13.5,1.11,"Control","Combined",4,9999,15.455,9999,9999,9999,9999,9999,1,87.765,0,4,4,4,4,4,"N/A",9999,9999,9999,9999,9999,9999,9999
"2","OA01","Yes","None","No",13.5,1.11,"No Cues","Combined",2,15.334345,16.18,0.95,429.245,304.435,247.7,981.38,2,82.265,0,-1,-1,-1,-1,-1,"N/A",26.586073875,18.82243096,15.345596035,0.449657869,1.348973607,0.104795406,0.1099391465
"3","OA01","Yes","None","No",13.5,1.11,"Collocated","Combined",8,15.316765,15.79,0.97,427.5,308.63,237.755,973.89,4,83.49,1,1.5,2,1,2,1,"No",27.083222835,19.61180664,15.090921475,0,1.455791391,0.100243459,0.103139845
"4","OA01","Yes","None","No",13.5,1.11,"HUD","Combined",5,15.213965,15.94,0.96,433.91,325.6,243.615,1003.12,3,82.855,0,0.5,0,1,0,2,"No",27.309702825,20.48316864,15.34553289,0.3937007875,2.0555723805,0.0869848665,0.0914044675
"5","OA01","Yes","None","No",13.5,1.11,"Combined","Combined",7,15.247525,14.35,1.065,485.215,344.625,266.27,1096.115,5,91.855,0.5,3,3,3,3,3,"Yes",33.82234511,24.019253145,18.55979329,0,0.8949837605,0.0757917035,0.0708995775
"6","OA02","Yes","None","Yes",11.68,1.28,"Control","Combined",8,9999,20.79,9999,9999,9999,9999,9999,1,57.3475,0.75,5.75,5.5,6,6,5.5,"N/A",9999,9999,9999,9999,9999,9999,9999
"7","OA02","Yes","None","Yes",11.68,1.28,"No Cues","Combined",5,15.48865,20.8,0.75,428.35,264.78,237.735,930.865,4,55.365,1,0,0,0,0,0,"N/A",20.551025965,12.74072171,11.407793415,0.420531849,2.9499072355,0.089782063,0.1193585955
"8","OA02","Yes","None","Yes",11.68,1.28,"Collocated","Combined",2,16.12285,26.16,0.62,740.55,369.215,347.375,1457.14,5,44.385,0.5,-0.5,-1,-1,0,0,"Yes",28.69657141,14.34328495,13.4861673,2.482719218,13.3153997,0.08558363,0.136500958
"9","OA02","Yes","None","Yes",11.68,1.28,"HUD","Combined",6,15.856175,28.48,0.555,703.585,472.015,292.475,1468.08,2,40.565,1.5,-1.5,-1,-1,-2,-2,"No",24.623192455,16.555750745,10.196495885,2.058637862,11.5774707155,0.0550280905,0.099002254
"10","OA02","Yes","None","Yes",11.68,1.28,"Combined","Combined",1,16.32595,27.35,0.6,706.31,449.63,381.575,1537.52,3,41.885,1.5,-1,-1,-1,0,-2,"No",25.82161571,16.437753135,13.94937673,0.5924170615,11.492890995,0.0652169575,0.1091024445
"11","OA03","Yes","None","No",10.09,1.49,"Control","Combined",7,9999,15.8575,9999,9999,9999,9999,9999,1,64.17,0,5.25,6,3,5,5.5,"N/A",9999,9999,9999,9999,9999,9999,9999
"12","OA03","Yes","None","No",10.09,1.49,"No Cues","Combined",3,15.48048,17.2,0.9,326.675,225.88,221.31,773.865,5,58.215,0,-1,-2,-1,-1,-1,"N/A",19.200421755,13.21627998,13.023565055,0,0.6220591,0.129553655,0.1421336435
"13","OA03","Yes","None","No",10.09,1.49,"Collocated","Combined",2,15.61718,19.65,0.805,314.725,249.715,193.995,758.435,4,51.4,0,2,2,2,2,0,"Yes",16.12515098,12.772317215,10.0101004175,0.654450262,2.2602747305,0.0991821095,0.122117769
